mission_duration_requested_h,strategy,mean_solver_runtime,max_solver_runtime,fleet_rows
12.0,baseline_shared_STD,288.5174970626831,326.3576309680939,3
12.0,role_swap_of_vehicle_specific_6040,559.7739386558533,559.7739386558533,1
12.0,role_swap_of_vehicle_specific_7030,502.9090597629547,517.7897605895996,2
12.0,vehicle_specific_00100,141.44177524248758,142.24825739860535,3
12.0,vehicle_specific_2575,303.07463296254474,331.0647246837616,3
12.0,vehicle_specific_5050,475.33975489934284,501.4090690612793,3
12.0,vehicle_specific_6040,528.085563659668,563.9725656509399,3
12.0,vehicle_specific_7030,535.1820725599924,588.741357088089,3
12.0,vehicle_specific_8020,536.4831786155701,590.761323928833,3
12.0,vehicle_specific_9010,565.0345976352692,637.7242057323456,3
24.0,baseline_shared_STD,307.0126286347707,334.4328978061676,3
24.0,role_swap_of_vehicle_specific_5050,441.29193902015686,441.29193902015686,1
24.0,role_swap_of_vehicle_specific_6040,559.2846287488937,572.538167476654,2
24.0,vehicle_specific_00100,141.49132442474365,142.85757637023926,3
24.0,vehicle_specific_2575,308.5137073993683,333.5438063144684,3
24.0,vehicle_specific_5050,483.7905413309733,508.2509846687317,3
24.0,vehicle_specific_6040,547.5799530347189,584.7447028160095,3
24.0,vehicle_specific_7030,543.8987975120544,615.7441091537476,3
24.0,vehicle_specific_8020,556.0145206451416,605.9985482692719,3
24.0,vehicle_specific_9010,584.3369963963827,658.0888097286224,3
48.0,baseline_shared_STD,380.4799767335256,401.6205880641937,3
48.0,role_swap_of_vehicle_specific_6040,562.5551388263702,613.781378030777,3
48.0,vehicle_specific_00100,141.24876515070596,142.7746512889862,3
48.0,vehicle_specific_2575,348.9264024098714,378.07379245758057,3
48.0,vehicle_specific_5050,522.1604537169138,542.8771140575409,3
48.0,vehicle_specific_6040,591.5513443152109,618.7961015701294,3
48.0,vehicle_specific_7030,593.6889651616415,655.685959815979,3
48.0,vehicle_specific_8020,585.5551102161407,638.6969883441925,3
48.0,vehicle_specific_9010,644.1546760400137,723.1295263767242,3
