run_id,strategy,case_id,vehicle_id,mission_duration_requested_h,solver_status,solver_runtime,collected_STD,collected_region_A,collected_region_B,collected_boundary,fraction_path_region_A,fraction_path_region_B,fraction_path_boundary_core,crossing_count,regions_visited,trajectory_length,mission_duration,sampled_cells
C06_representative__proxy_12h__vehicle_specific_8020__AUV2_region_B,vehicle_specific_8020,C06_representative,2,12.0,REUSED,297.6867666244507,83.2635726928711,21.0,0.0,118.86865234375,0.1304347813129425,0.0,0.1304347813129425,0,1,36.965,10.583333333333334,161
C06_representative__proxy_12h__vehicle_specific_7030__AUV1_region_A,vehicle_specific_7030,C06_representative,1,12.0,REUSED,274.6014144420624,75.39899444580078,75.0,0.0,106.516357421875,0.5244755148887634,0.0,0.03496503457427025,0,1,35.992,10.3,143
C06_representative__proxy_12h__vehicle_specific_7030__AUV2_region_B,vehicle_specific_7030,C06_representative,2,12.0,REUSED,314.1399426460266,46.83312225341797,0.0,80.0,45.69751739501953,0.0,0.5755395889282227,0.0,0,1,36.388,10.5,139
C06_representative__proxy_12h__vehicle_specific_6040__AUV1_region_A,vehicle_specific_6040,C06_representative,1,12.0,REUSED,262.4329934120178,82.99771118164062,85.0,0.0,115.95378112792969,0.5448718070983887,0.0,0.03205128386616707,0,1,36.091,10.333333333333334,156
C06_representative__proxy_12h__vehicle_specific_6040__AUV2_region_B,vehicle_specific_6040,C06_representative,2,12.0,REUSED,301.5395722389221,47.665000915527344,0.0,97.0,46.31791687011719,0.0,0.6554054021835327,0.0,0,1,36.59,10.483333333333333,148
C06_representative__proxy_12h__vehicle_specific_5050__AUV1_region_A,vehicle_specific_5050,C06_representative,1,12.0,REUSED,225.64028000831604,80.07196044921875,91.0,0.0,115.16663360595703,0.5833333134651184,0.0,0.03205128386616707,0,1,36.016,10.333333333333334,156
C06_representative__proxy_12h__vehicle_specific_5050__AUV2_region_B,vehicle_specific_5050,C06_representative,2,12.0,REUSED,275.76878905296326,46.49211883544922,0.0,97.0,57.4696044921875,0.0,0.6339869499206543,0.0,0,1,38.981,11.116666666666667,153
C06_representative__proxy_12h__vehicle_specific_2575__AUV1_region_A,vehicle_specific_2575,C06_representative,1,12.0,REUSED,162.0335648059845,71.52076721191406,79.0,0.0,109.93046569824219,0.5374149680137634,0.0,0.027210883796215057,0,1,36.388,10.466666666666667,147
C06_representative__proxy_12h__vehicle_specific_2575__AUV2_region_B,vehicle_specific_2575,C06_representative,2,12.0,REUSED,169.0311598777771,49.66119384765625,0.0,100.0,58.90290832519531,0.0,0.6211180090904236,0.0,0,1,38.347,10.983333333333333,161
October_control__multi_auv_12h__baseline_shared_STD,baseline_shared_STD,October_control,1,12.0,REUSED,232.15893840789795,92.00331115722656,0.0,82.0,34.87681579589844,0.0,0.49696969985961914,0.0,0,1,39.218,11.2,165
October_control__multi_auv_12h__baseline_shared_STD,baseline_shared_STD,October_control,2,12.0,REUSED,232.15893840789795,86.26296997070312,0.0,99.0,23.359596252441406,0.0,0.6689189076423645,0.0,0,1,36.881,10.65,148
C06_representative__proxy_12h__vehicle_specific_00100__AUV1_region_A,vehicle_specific_00100,C06_representative,1,12.0,REUSED,69.33978486061096,79.1773681640625,62.0,0.0,116.22740173339844,0.4000000059604645,0.0,0.025806451216340065,0,1,36.0,10.1,155
C06_representative__proxy_12h__vehicle_specific_00100__AUV2_region_B,vehicle_specific_00100,C06_representative,2,12.0,REUSED,72.49935412406921,45.312843322753906,0.0,84.0,60.66895294189453,0.0,0.5600000023841858,0.0,0,1,37.903,10.7,150
October_control__proxy_12h__vehicle_specific_9010__AUV1_region_A,vehicle_specific_9010,October_control,1,12.0,REUSED,245.1109583377838,93.55828094482422,0.0,104.0,26.713829040527344,0.0,0.6341463327407837,0.0,0,1,38.86,11.066666666666666,164
October_control__proxy_12h__vehicle_specific_9010__AUV2_region_B,vehicle_specific_9010,October_control,2,12.0,REUSED,225.2081699371338,85.659912109375,0.0,113.0,22.690670013427734,0.0,0.7635135054588318,0.0,0,1,37.675,10.8,148
October_control__proxy_12h__vehicle_specific_8020__AUV1_region_A,vehicle_specific_8020,October_control,1,12.0,REUSED,259.1789174079895,93.49459838867188,0.0,92.0,26.825237274169922,0.0,0.5679012537002563,0.0,0,1,37.926,10.916666666666666,162
October_control__proxy_12h__vehicle_specific_8020__AUV2_region_B,vehicle_specific_8020,October_control,2,12.0,REUSED,229.07535243034363,87.3160400390625,0.0,104.0,24.640806198120117,0.0,0.6887417435646057,0.0,0,1,38.07,10.983333333333333,151
October_control__proxy_12h__vehicle_specific_7030__AUV1_region_A,vehicle_specific_7030,October_control,1,12.0,REUSED,256.3967926502228,56.84149169921875,113.0,0.0,98.64254760742188,0.7197452187538147,0.0,0.0,0,1,37.207,10.733333333333333,157
October_control__proxy_12h__vehicle_specific_7030__AUV2_region_B,vehicle_specific_7030,October_control,2,12.0,REUSED,237.80907464027405,87.71820068359375,0.0,100.0,22.006961822509766,0.0,0.6578947305679321,0.0,0,1,37.868,10.8,152
October_control__proxy_12h__vehicle_specific_6040__AUV1_region_A,vehicle_specific_6040,October_control,1,12.0,REUSED,277.32616996765137,63.66118240356445,73.0,0.0,75.73773956298828,0.4740259647369385,0.0,0.0,0,1,38.466,10.95,154
October_control__proxy_12h__vehicle_specific_6040__AUV2_region_B,vehicle_specific_6040,October_control,2,12.0,REUSED,197.99168992042542,90.86685180664062,0.0,115.0,25.86026382446289,0.0,0.7142857313156128,0.0,0,1,37.276,10.75,161
October_control__proxy_12h__vehicle_specific_5050__AUV1_region_A,vehicle_specific_5050,October_control,1,12.0,REUSED,243.7715196609497,49.657005310058594,99.0,0.0,90.3526382446289,0.6875,0.0,0.0,0,1,36.769,10.566666666666666,144
October_control__proxy_12h__vehicle_specific_5050__AUV2_region_B,vehicle_specific_5050,October_control,2,12.0,REUSED,197.81788754463196,92.62843322753906,0.0,117.0,24.543193817138672,0.0,0.731249988079071,0.0,0,1,38.536,11.0,160
October_control__proxy_12h__vehicle_specific_2575__AUV1_region_A,vehicle_specific_2575,October_control,1,12.0,REUSED,158.41539978981018,49.68880081176758,105.0,0.0,99.37806701660156,0.7046979665756226,0.0,0.00671140942722559,0,1,37.405,10.7,149
October_control__proxy_12h__vehicle_specific_2575__AUV2_region_B,vehicle_specific_2575,October_control,2,12.0,REUSED,147.82010698318481,86.88088989257812,0.0,111.0,24.81645393371582,0.0,0.702531635761261,0.0,0,1,37.156,10.666666666666666,158
C01_representative__multi_auv_24h__baseline_shared_STD,baseline_shared_STD,C01_representative,1,24.0,REUSED,325.9245355129242,184.44815063476562,0.0,108.0,181.34474182128906,0.0,0.3529411852359772,0.10130719095468521,0,1,76.145,22.066666666666666,306
C01_representative__multi_auv_24h__baseline_shared_STD,baseline_shared_STD,C01_representative,2,24.0,REUSED,325.9245355129242,177.03646850585938,35.0,0.0,266.1166687011719,0.11551155149936676,0.0,0.3465346395969391,0,1,74.753,21.616666666666667,303
October_control__proxy_12h__vehicle_specific_00100__AUV1_region_A,vehicle_specific_00100,October_control,1,12.0,REUSED,71.82827854156494,62.27068328857422,69.0,0.0,80.97662353515625,0.43396225571632385,0.0,0.0,0,1,38.715,10.916666666666666,159
October_control__proxy_12h__vehicle_specific_00100__AUV2_region_B,vehicle_specific_00100,October_control,2,12.0,REUSED,70.4199788570404,83.49433135986328,0.0,111.0,27.06063461303711,0.0,0.7254902124404907,0.0,0,1,37.715,10.666666666666666,153
C01_representative__proxy_24h__vehicle_specific_9010__AUV1_region_A,vehicle_specific_9010,C01_representative,1,24.0,REUSED,308.60566759109497,185.64688110351562,33.0,0.0,257.6350402832031,0.10443037748336792,0.0,0.2531645596027374,0,1,75.494,21.916666666666668,316
C01_representative__proxy_24h__vehicle_specific_9010__AUV2_region_B,vehicle_specific_9010,C01_representative,2,24.0,REUSED,299.9756336212158,175.0917205810547,0.0,111.0,190.78192138671875,0.0,0.37123745679855347,0.07023411244153976,0,1,76.091,21.933333333333334,299
C01_representative__proxy_24h__vehicle_specific_8020__AUV1_region_A,vehicle_specific_8020,C01_representative,1,24.0,REUSED,297.8699758052826,192.6007080078125,18.0,9.0,244.93582153320312,0.0573248416185379,0.02866242080926895,0.23885349929332733,1,2,74.945,21.633333333333333,314
C01_representative__proxy_24h__vehicle_specific_8020__AUV2_region_B,vehicle_specific_8020,C01_representative,2,24.0,REUSED,250.32370448112488,167.07467651367188,0.0,202.0,149.0263214111328,0.0,0.6710963249206543,0.039867110550403595,0,1,75.26,21.8,301
C01_representative__proxy_24h__vehicle_specific_7030__AUV1_region_A,vehicle_specific_7030,C01_representative,1,24.0,REUSED,270.44857120513916,161.62249755859375,124.0,0.0,264.03228759765625,0.4065573811531067,0.0,0.2295081913471222,0,1,74.209,21.433333333333334,305
C01_representative__proxy_24h__vehicle_specific_7030__AUV2_region_B,vehicle_specific_7030,C01_representative,2,24.0,REUSED,262.159471988678,157.59506225585938,0.0,244.0,144.3111572265625,0.0,0.7746031880378723,0.0,0,1,76.069,21.933333333333334,315
C01_representative__proxy_24h__vehicle_specific_6040__AUV1_region_A,vehicle_specific_6040,C01_representative,1,24.0,REUSED,281.865430355072,142.7923583984375,215.0,0.0,269.24169921875,0.6782334446907043,0.0,0.05678233504295349,0,1,75.184,21.75,317
C01_representative__proxy_24h__vehicle_specific_6040__AUV2_region_B,vehicle_specific_6040,C01_representative,2,24.0,REUSED,270.022545337677,159.501708984375,0.0,243.0,144.98951721191406,0.0,0.7813504934310913,0.0,0,1,75.79,21.9,311
C01_representative__proxy_24h__vehicle_specific_5050__AUV1_region_A,vehicle_specific_5050,C01_representative,1,24.0,REUSED,252.45587420463562,111.33720397949219,249.0,0.0,256.0407409667969,0.8084415793418884,0.0,0.003246753243729472,0,1,74.235,21.466666666666665,308
C01_representative__proxy_24h__vehicle_specific_5050__AUV2_region_B,vehicle_specific_5050,C01_representative,2,24.0,REUSED,248.14875388145447,157.67982482910156,0.0,253.0,143.4608154296875,0.0,0.803174614906311,0.0,0,1,75.6,21.816666666666666,315
C01_representative__proxy_24h__vehicle_specific_2575__AUV1_region_A,vehicle_specific_2575,C01_representative,1,24.0,REUSED,139.93692898750305,111.14458465576172,251.0,0.0,250.16064453125,0.8366666436195374,0.0,0.0,0,1,75.344,21.683333333333334,300
C01_representative__proxy_24h__vehicle_specific_2575__AUV2_region_B,vehicle_specific_2575,C01_representative,2,24.0,REUSED,138.7340545654297,152.46243286132812,0.0,248.0,140.94931030273438,0.0,0.800000011920929,0.0,0,1,75.435,21.766666666666666,310
C06_representative__multi_auv_24h__baseline_shared_STD,baseline_shared_STD,C06_representative,1,24.0,REUSED,334.4328978061676,166.88185119628906,200.0,0.0,218.02413940429688,0.6578947305679321,0.0,0.009868420660495758,0,1,74.569,21.5,304
C06_representative__multi_auv_24h__baseline_shared_STD,baseline_shared_STD,C06_representative,2,24.0,REUSED,334.4328978061676,159.8369598388672,9.0,0.0,232.63290405273438,0.029702970758080482,0.0,0.4455445408821106,0,1,76.06,21.916666666666668,303
C01_representative__proxy_24h__vehicle_specific_00100__AUV1_region_A,vehicle_specific_00100,C01_representative,1,24.0,REUSED,69.43047976493835,96.94937896728516,176.0,0.0,214.1303253173828,0.6929134130477905,0.0,0.05511811003088951,0,1,63.726,17.966666666666665,254
C01_representative__proxy_24h__vehicle_specific_00100__AUV2_region_B,vehicle_specific_00100,C01_representative,2,24.0,REUSED,70.99389386177063,133.402099609375,0.0,246.0,149.33758544921875,0.0,0.8039215803146362,0.0,0,1,72.409,20.483333333333334,306
C06_representative__proxy_24h__vehicle_specific_9010__AUV1_region_A,vehicle_specific_9010,C06_representative,1,24.0,REUSED,317.6090085506439,183.4346923828125,212.0,0.0,237.06527709960938,0.650306761264801,0.0,0.061349693685770035,0,1,74.609,21.533333333333335,326
C06_representative__proxy_24h__vehicle_specific_9010__AUV2_region_B,vehicle_specific_9010,C06_representative,2,24.0,REUSED,340.4798011779785,180.21141052246094,132.0,0.0,241.5886993408203,0.4177215099334717,0.0,0.2848101258277893,0,1,73.597,21.25,316
C06_representative__proxy_24h__vehicle_specific_8020__AUV1_region_A,vehicle_specific_8020,C06_representative,1,24.0,REUSED,294.1497938632965,166.64035034179688,230.0,0.0,215.10382080078125,0.7692307829856873,0.0,0.02675585262477398,0,1,72.404,20.933333333333334,299
C06_representative__proxy_24h__vehicle_specific_8020__AUV2_region_B,vehicle_specific_8020,C06_representative,2,24.0,REUSED,311.84875440597534,139.9425048828125,68.0,106.0,170.59677124023438,0.21451103687286377,0.33438485860824585,0.08832807838916779,1,2,73.116,21.016666666666666,317
C06_representative__proxy_24h__vehicle_specific_7030__AUV1_region_A,vehicle_specific_7030,C06_representative,1,24.0,REUSED,290.2475914955139,160.55953979492188,225.0,0.0,212.37132263183594,0.755033552646637,0.0,0.00671140942722559,0,1,75.252,21.7,298
C06_representative__proxy_24h__vehicle_specific_7030__AUV2_region_B,vehicle_specific_7030,C06_representative,2,24.0,REUSED,325.49651765823364,100.77130126953125,0.0,242.0,94.92684173583984,0.0,0.7806451320648193,0.0,0,1,76.269,22.016666666666666,310
