distance_rank_asc,global_image_idx_0_based,global_image_z_1_based,distance_to_prototype_rmse_norm,png_path
1,104,105,0.0662754476070404,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z105.png
2,14,15,0.07592923194169998,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z015.png
3,13,14,0.08717360347509384,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z014.png
4,17,18,0.08900443464517593,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z018.png
5,107,108,0.09294846653938293,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z108.png
6,15,16,0.10850026458501816,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z016.png
7,22,23,0.1149059310555458,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z023.png
8,23,24,0.1165243461728096,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z024.png
9,2,3,0.12044425308704376,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z003.png
10,35,36,0.12326111644506454,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z036.png
11,1,2,0.12328077107667923,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z002.png
12,34,35,0.12778496742248535,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z035.png
13,126,127,0.12787938117980957,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z127.png
14,0,1,0.12957844138145447,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z001.png
15,21,22,0.12974165380001068,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z022.png
16,137,138,0.13241368532180786,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z138.png
17,40,41,0.13704544305801392,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z041.png
18,138,139,0.13911737501621246,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z139.png
19,33,34,0.13990867137908936,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z034.png
20,136,137,0.1475948989391327,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z137.png
21,151,152,0.15067698061466217,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z152.png
22,18,19,0.153513565659523,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z019.png
23,112,113,0.15380170941352844,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z113.png
24,12,13,0.15460103750228882,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z013.png
25,16,17,0.15672600269317627,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z017.png
26,109,110,0.15904715657234192,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z110.png
27,3,4,0.1602584272623062,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z004.png
28,41,42,0.16429148614406586,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z042.png
29,108,109,0.16772399842739105,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z109.png
30,24,25,0.16977283358573914,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z025.png
31,253,254,0.16988597810268402,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z254.png
32,139,140,0.1701125204563141,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z140.png
33,42,43,0.17718753218650818,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z043.png
34,39,40,0.17913304269313812,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z040.png
35,150,151,0.18009117245674133,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z151.png
36,47,48,0.18055790662765503,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z048.png
37,32,33,0.1867455393075943,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z033.png
38,43,44,0.18777649104595184,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z044.png
39,135,136,0.1888984888792038,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z136.png
40,25,26,0.18925200402736664,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z026.png
41,142,143,0.19332700967788696,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z143.png
42,38,39,0.19637839496135712,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z039.png
43,143,144,0.19683797657489777,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z144.png
44,37,38,0.19928406178951263,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z038.png
45,125,126,0.1993769109249115,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z126.png
46,51,52,0.1999298334121704,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z052.png
47,44,45,0.20074772834777832,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z045.png
48,52,53,0.20239345729351044,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z053.png
49,250,251,0.20297908782958984,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z251.png
50,20,21,0.20508863031864166,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z021.png
51,26,27,0.20511497557163239,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z027.png
52,48,49,0.20531772077083588,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z049.png
53,36,37,0.20670026540756226,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z037.png
54,50,51,0.20702722668647766,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z051.png
55,113,114,0.20800474286079407,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z114.png
56,249,250,0.2129581719636917,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z250.png
57,110,111,0.21506327390670776,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z111.png
58,102,103,0.22036385536193848,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z103.png
59,27,28,0.22126023471355438,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z028.png
60,46,47,0.22330763936042786,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z047.png
61,246,247,0.22595012187957764,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z247.png
62,134,135,0.23084111511707306,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z135.png
63,45,46,0.23141393065452576,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z046.png
64,28,29,0.2357790768146515,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z029.png
65,29,30,0.2362995743751526,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z030.png
66,19,20,0.23885367810726166,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z020.png
67,140,141,0.2388901561498642,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z141.png
68,127,128,0.2390201985836029,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z128.png
69,49,50,0.2407742291688919,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z050.png
70,124,125,0.2416285276412964,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z125.png
71,257,258,0.25069659948349,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z258.png
72,11,12,0.2630663216114044,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z012.png
73,30,31,0.2660248875617981,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z031.png
74,146,147,0.2683899402618408,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z147.png
75,31,32,0.27150607109069824,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z032.png
76,251,252,0.27988508343696594,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z252.png
77,105,106,0.2835499346256256,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z106.png
78,111,112,0.2858223617076874,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z112.png
79,4,5,0.28675416111946106,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z005.png
80,133,134,0.2958044111728668,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z134.png
81,149,150,0.2998710572719574,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z150.png
82,123,124,0.3037855923175812,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z124.png
83,53,54,0.30565106868743896,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z054.png
84,141,142,0.3072817027568817,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z142.png
85,252,253,0.3089926242828369,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z253.png
86,258,259,0.30943402647972107,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z259.png
87,256,257,0.31008604168891907,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z257.png
88,248,249,0.31341519951820374,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z249.png
89,106,107,0.32015708088874817,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z107.png
90,103,104,0.3417266309261322,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z104.png
91,101,102,0.345139741897583,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z102.png
92,165,166,0.3478316068649292,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z166.png
93,10,11,0.36871686577796936,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z011.png
94,163,164,0.37161046266555786,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z164.png
95,132,133,0.3770250976085663,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z133.png
96,247,248,0.38169559836387634,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z248.png
97,148,149,0.3826318383216858,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z149.png
98,131,132,0.38304272294044495,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z132.png
99,54,55,0.38457465171813965,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z055.png
100,147,148,0.3944491147994995,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z148.png
101,8,9,0.3976682126522064,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z009.png
102,259,260,0.39952877163887024,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z260.png
103,5,6,0.4029693305492401,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z006.png
104,9,10,0.40472710132598877,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z010.png
105,254,255,0.41013357043266296,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z255.png
