date,expected_filename,file_found,path,variables,dimensions,STD_shape,TEMPpred_shape,LAT_shape,LON_shape,BATHY_shape,STD_dims,TEMPpred_dims,day_values,time_values,depth_value_m
2024-10-11,11-10-2024_predModel_1.nc,True,C:\Users\pedro\Documents\Filipa_dados\data\dadosParaPedro_Fresnel\02.Simulations\HighRes\Daily_dpt_20241010\11-10-2024_predModel_1.nc,TEMP;LAT;LON;BATHY;DEPT;TIME;STD;TEMPpred,"{""DEPT"": 17, ""LAT"": 180, ""LON"": 240, ""TIME"": 14, ""day"": 2, ""depth"": 17, ""lat"": 180, ""lon"": 240, ""seconds since 1970-01-01"": 14}","(2, 180, 240)","(2, 180, 240)","(180,)","(240,)","(180, 240)","('day', 'LAT', 'LON')","('day', 'LAT', 'LON')",[],"[1727395200.0, 1727481600.0, 1727568000.0, 1727654400.0, 1727740800.0, 1727827200.0, 1727913600.0, 1728000000.0, 1728086400.0, 1728172800.0, 1728259200.0, 1728345600.0, 1728432000.0, 1728518400.0]",0.4940253794193268
2024-10-12,12-10-2024_predModel_1.nc,True,C:\Users\pedro\Documents\Filipa_dados\data\dadosParaPedro_Fresnel\02.Simulations\HighRes\Daily_dpt_20241011\12-10-2024_predModel_1.nc,TEMP;LAT;LON;BATHY;DEPT;TIME;STD;TEMPpred,"{""DEPT"": 17, ""LAT"": 180, ""LON"": 240, ""TIME"": 14, ""day"": 2, ""depth"": 17, ""lat"": 180, ""lon"": 240, ""seconds since 1970-01-01"": 14}","(2, 180, 240)","(2, 180, 240)","(180,)","(240,)","(180, 240)","('day', 'LAT', 'LON')","('day', 'LAT', 'LON')",[],"[1727481600.0, 1727568000.0, 1727654400.0, 1727740800.0, 1727827200.0, 1727913600.0, 1728000000.0, 1728086400.0, 1728172800.0, 1728259200.0, 1728345600.0, 1728432000.0, 1728518400.0, 1728604800.0]",0.4940253794193268
2024-10-13,13-10-2024_predModel_1.nc,True,C:\Users\pedro\Documents\Filipa_dados\data\dadosParaPedro_Fresnel\02.Simulations\HighRes\Daily_dpt_20241012\13-10-2024_predModel_1.nc,TEMP;LAT;LON;BATHY;DEPT;TIME;STD;TEMPpred,"{""DEPT"": 17, ""LAT"": 180, ""LON"": 240, ""TIME"": 14, ""day"": 2, ""depth"": 17, ""lat"": 180, ""lon"": 240, ""seconds since 1970-01-01"": 14}","(2, 180, 240)","(2, 180, 240)","(180,)","(240,)","(180, 240)","('day', 'LAT', 'LON')","('day', 'LAT', 'LON')",[],"[1727568000.0, 1727654400.0, 1727740800.0, 1727827200.0, 1727913600.0, 1728000000.0, 1728086400.0, 1728172800.0, 1728259200.0, 1728345600.0, 1728432000.0, 1728518400.0, 1728604800.0, 1728691200.0]",0.4940253794193268
2024-10-14,14-10-2024_predModel_1.nc,True,C:\Users\pedro\Documents\Filipa_dados\data\dadosParaPedro_Fresnel\02.Simulations\HighRes\Daily_dpt_20241013\14-10-2024_predModel_1.nc,TEMP;LAT;LON;BATHY;DEPT;TIME;STD;TEMPpred,"{""DEPT"": 17, ""LAT"": 180, ""LON"": 240, ""TIME"": 14, ""day"": 2, ""depth"": 17, ""lat"": 180, ""lon"": 240, ""seconds since 1970-01-01"": 14}","(2, 180, 240)","(2, 180, 240)","(180,)","(240,)","(180, 240)","('day', 'LAT', 'LON')","('day', 'LAT', 'LON')",[],"[1727654400.0, 1727740800.0, 1727827200.0, 1727913600.0, 1728000000.0, 1728086400.0, 1728172800.0, 1728259200.0, 1728345600.0, 1728432000.0, 1728518400.0, 1728604800.0, 1728691200.0, 1728777600.0]",0.4940253794193268
2024-10-15,15-10-2024_predModel_1.nc,True,C:\Users\pedro\Documents\Filipa_dados\data\dadosParaPedro_Fresnel\02.Simulations\HighRes\Daily_dpt_20241014\15-10-2024_predModel_1.nc,TEMP;LAT;LON;BATHY;DEPT;TIME;STD;TEMPpred,"{""DEPT"": 17, ""LAT"": 180, ""LON"": 240, ""TIME"": 14, ""day"": 2, ""depth"": 17, ""lat"": 180, ""lon"": 240, ""seconds since 1970-01-01"": 14}","(2, 180, 240)","(2, 180, 240)","(180,)","(240,)","(180, 240)","('day', 'LAT', 'LON')","('day', 'LAT', 'LON')",[],"[1727740800.0, 1727827200.0, 1727913600.0, 1728000000.0, 1728086400.0, 1728172800.0, 1728259200.0, 1728345600.0, 1728432000.0, 1728518400.0, 1728604800.0, 1728691200.0, 1728777600.0, 1728864000.0]",0.4940253794193268
2024-10-16,16-10-2024_predModel_1.nc,True,C:\Users\pedro\Documents\Filipa_dados\data\dadosParaPedro_Fresnel\02.Simulations\HighRes\Daily_dpt_20241015\16-10-2024_predModel_1.nc,TEMP;LAT;LON;BATHY;DEPT;TIME;STD;TEMPpred,"{""DEPT"": 17, ""LAT"": 180, ""LON"": 240, ""TIME"": 14, ""day"": 2, ""depth"": 17, ""lat"": 180, ""lon"": 240, ""seconds since 1970-01-01"": 14}","(2, 180, 240)","(2, 180, 240)","(180,)","(240,)","(180, 240)","('day', 'LAT', 'LON')","('day', 'LAT', 'LON')",[],"[1727827200.0, 1727913600.0, 1728000000.0, 1728086400.0, 1728172800.0, 1728259200.0, 1728345600.0, 1728432000.0, 1728518400.0, 1728604800.0, 1728691200.0, 1728777600.0, 1728864000.0, 1728950400.0]",0.4940253794193268
2024-10-17,17-10-2024_predModel_1.nc,True,C:\Users\pedro\Documents\Filipa_dados\data\dadosParaPedro_Fresnel\02.Simulations\HighRes\Daily_dpt_20241016\17-10-2024_predModel_1.nc,TEMP;LAT;LON;BATHY;DEPT;TIME;STD;TEMPpred,"{""DEPT"": 17, ""LAT"": 180, ""LON"": 240, ""TIME"": 14, ""day"": 2, ""depth"": 17, ""lat"": 180, ""lon"": 240, ""seconds since 1970-01-01"": 14}","(2, 180, 240)","(2, 180, 240)","(180,)","(240,)","(180, 240)","('day', 'LAT', 'LON')","('day', 'LAT', 'LON')",[],"[1727913600.0, 1728000000.0, 1728086400.0, 1728172800.0, 1728259200.0, 1728345600.0, 1728432000.0, 1728518400.0, 1728604800.0, 1728691200.0, 1728777600.0, 1728864000.0, 1728950400.0, 1729036800.0]",0.4940253794193268
2024-10-18,18-10-2024_predModel_1.nc,True,C:\Users\pedro\Documents\Filipa_dados\data\dadosParaPedro_Fresnel\02.Simulations\HighRes\Daily_dpt_20241017\18-10-2024_predModel_1.nc,TEMP;LAT;LON;BATHY;DEPT;TIME;STD;TEMPpred,"{""DEPT"": 17, ""LAT"": 180, ""LON"": 240, ""TIME"": 14, ""day"": 2, ""depth"": 17, ""lat"": 180, ""lon"": 240, ""seconds since 1970-01-01"": 14}","(2, 180, 240)","(2, 180, 240)","(180,)","(240,)","(180, 240)","('day', 'LAT', 'LON')","('day', 'LAT', 'LON')",[],"[1728000000.0, 1728086400.0, 1728172800.0, 1728259200.0, 1728345600.0, 1728432000.0, 1728518400.0, 1728604800.0, 1728691200.0, 1728777600.0, 1728864000.0, 1728950400.0, 1729036800.0, 1729123200.0]",0.4940253794193268
2024-10-19,19-10-2024_predModel_1.nc,True,C:\Users\pedro\Documents\Filipa_dados\data\dadosParaPedro_Fresnel\02.Simulations\HighRes\Daily_dpt_20241018\19-10-2024_predModel_1.nc,TEMP;LAT;LON;BATHY;DEPT;TIME;STD;TEMPpred,"{""DEPT"": 17, ""LAT"": 180, ""LON"": 240, ""TIME"": 14, ""day"": 2, ""depth"": 17, ""lat"": 180, ""lon"": 240, ""seconds since 1970-01-01"": 14}","(2, 180, 240)","(2, 180, 240)","(180,)","(240,)","(180, 240)","('day', 'LAT', 'LON')","('day', 'LAT', 'LON')",[],"[1728086400.0, 1728172800.0, 1728259200.0, 1728345600.0, 1728432000.0, 1728518400.0, 1728604800.0, 1728691200.0, 1728777600.0, 1728864000.0, 1728950400.0, 1729036800.0, 1729123200.0, 1729209600.0]",0.4940253794193268
2024-10-20,20-10-2024_predModel_1.nc,True,C:\Users\pedro\Documents\Filipa_dados\data\dadosParaPedro_Fresnel\02.Simulations\HighRes\Daily_dpt_20241019\20-10-2024_predModel_1.nc,TEMP;LAT;LON;BATHY;DEPT;TIME;STD;TEMPpred,"{""DEPT"": 17, ""LAT"": 180, ""LON"": 240, ""TIME"": 14, ""day"": 2, ""depth"": 17, ""lat"": 180, ""lon"": 240, ""seconds since 1970-01-01"": 14}","(2, 180, 240)","(2, 180, 240)","(180,)","(240,)","(180, 240)","('day', 'LAT', 'LON')","('day', 'LAT', 'LON')",[],"[1728172800.0, 1728259200.0, 1728345600.0, 1728432000.0, 1728518400.0, 1728604800.0, 1728691200.0, 1728777600.0, 1728864000.0, 1728950400.0, 1729036800.0, 1729123200.0, 1729209600.0, 1729296000.0]",0.4940253794193268
