method_family,method_name,interpolation,domain_tested,mask_mode,rmse,mae,mean_bias,max_abs_error,pearson,spearman,nrmse,ssim,ncc,contour_score,gradient_corr,exact_match_possible,valid_cells_used,valid_fraction,notes,composite_score,rank
B_linear_registration,affine_manual_aniso_sx0.95_sy1.05,linear,roi,masked,0.8514913892721409,0.7435984859878555,0.7435984859878555,1.389511154174805,-0.7473280452668868,-0.7532921473812971,1.0524583020482563,0.6410472633405367,-0.7473280452668871,0.1321255867778656,0.1009422698150557,False,8296,0.9673507462686567,manual affine,0.9393457451522664,638
B_linear_registration,affine_manual_aniso_sx0.95_sy1.05,lanczos,roi,masked,0.8515184318162903,0.7436087674154725,0.7436087674154725,1.3894386749267582,-0.747314856783057,-0.7532918912289481,1.0524917271074608,0.6409672707684818,-0.7473148567830569,0.13277791490267116,0.10044884812051555,False,8296,0.9673507462686567,manual affine,0.9393561408856661,639
B_linear_registration,affine_manual_aniso_sx0.95_sy1.05,bicubic,roi,masked,0.8515406236926618,0.7436187931811223,0.7436187931811223,1.3895988922119145,-0.7472681478652264,-0.7532732442701485,1.0525191566561556,0.64088874962873,-0.7472681478652266,0.13050771980084594,0.10037199059418563,False,8296,0.9673507462686567,manual affine,0.9394588340345593,640
A_discrete_basic,integer_offset_dx8_dy-2,linear,roi,masked,0.7922569702642912,0.6541666138545067,0.6541666138545067,1.5031615081787102,-0.958069185115348,-0.9023841156659458,0.9792435205046561,0.5958065153828085,-0.958069185115348,0.16165294538644415,0.2156695091326287,False,8296,0.9673507462686567,integer translation,0.9397156856849052,641
B_linear_registration,similarity_manual_rot_-2.0deg,nearest,roi,nomask,0.8119552352543553,0.6726079789866263,0.6726079789866263,1.4994841400146477,-0.9596973040663239,-0.9027828730908902,1.0035909217654733,0.6380921700143695,-0.9596973040663235,0.20993184798347184,0.2906986801264711,False,8576,1.0,manual similarity,0.9397514434106957,642
A_discrete_basic,integer_offset_dx4_dy-8,linear,roi,masked,0.7947018662976884,0.6558128120646758,0.6558128120646758,1.4762812438964836,-0.9578714636727327,-0.8989248787422356,0.9822654549134036,0.597251529352859,-0.9578714636727333,0.18332193056624252,0.2157219523963775,False,8296,0.9673507462686567,integer translation,0.9398086885739994,643
A_discrete_basic,scale_only_center_s0.95,bicubic,roi,nomask,0.8395751409932227,0.722011176271581,0.722011176271581,1.3931879974365238,-0.8112038937299045,-0.786178402237644,1.0377296100280868,0.6557469279711027,-0.8112038937299046,0.11712445479191419,0.08394224995823091,False,8576,1.0,scale only,0.9400383751185153,644
B_linear_registration,affine_manual_shear_shx+0.00_shy-0.06,nearest,roi,masked,0.798281751954097,0.6617666380677182,0.6617666380677182,1.4697345245361326,-0.9517542521539151,-0.8929280684864487,0.986690256416906,0.6010050330074196,-0.951754252153915,0.20631348200167146,0.2024798010871125,False,8296,0.9673507462686567,manual affine shear,0.9400686361376889,645
A_discrete_basic,scale_only_center_s0.95,linear,roi,nomask,0.8395344287966235,0.7219950710076005,0.7219950710076005,1.393064019775391,-0.8113259074664562,-0.7862431325849475,1.0376792890385322,0.6558314026123669,-0.811325907466456,0.1140097651679059,0.08527864037478378,False,8576,1.0,scale only,0.940103513932958,646
B_linear_registration,affine_manual_shear_shx+0.00_shy-0.06,bicubic,roi,masked,0.7982938597443486,0.6617718979908163,0.6617718979908163,1.4697364318847654,-0.951786444707876,-0.8929605583146343,0.9867052218581663,0.6010391981761833,-0.9517864447078754,0.19780205849998506,0.20329899007649896,False,8296,0.9673507462686567,manual affine shear,0.9403866253225472,647
B_linear_registration,affine_manual_shear_shx+0.00_shy-0.06,linear,roi,masked,0.7982945978785677,0.6617758871911692,0.6617758871911692,1.4697364318847654,-0.9517833696478298,-0.8929634548035383,0.9867061342050164,0.6010297608327448,-0.9517833696478301,0.19754678805618067,0.20334692502755808,False,8296,0.9673507462686567,manual affine shear,0.9403957973358648,648
A_discrete_basic,integer_offset_dx6_dy-8,linear,roi,nomask,0.8105624458321743,0.6696354624356797,0.6696354624356797,1.4933691802978508,-0.9640829055025689,-0.9058061056280254,1.0018694095941847,0.6397095623776362,-0.964082905502569,0.17252506186870095,0.3056847921438937,False,8576,1.0,integer translation,0.9404875815076399,649
B_linear_registration,affine_manual_shear_shx+0.06_shy+0.00,nearest,roi,nomask,0.8151064642694446,0.6761778003550288,0.6761778003550288,1.4988241973876946,-0.9534682074695241,-0.8998248881484693,1.0074858961367597,0.6390133915349426,-0.9534682074695242,0.1996777152408919,0.2927508602116624,False,8576,1.0,manual affine shear,0.9407446527582604,650
B_linear_registration,similarity_manual_rot_-2.0deg,lanczos,roi,nomask,0.8120587062579054,0.6727060826717918,0.6727060826717918,1.4982767883300774,-0.9596485550654911,-0.9027013882989714,1.0037188137419273,0.6387626253799847,-0.9596485550654905,0.18033612683818748,0.2954424817713161,False,8576,1.0,manual similarity,0.940749339113696,651
B_linear_registration,similarity_manual_rot_-2.0deg,bicubic,roi,nomask,0.8120743732423955,0.6727146163666426,0.6727146163666426,1.4981146636962883,-0.9596435188810108,-0.9027006562719339,1.0037381784097352,0.6388290105914628,-0.9596435188810112,0.1794063372767878,0.29555884882192085,False,8576,1.0,manual similarity,0.9407852921669072,652
