scope,prototype_key,prototype_name,row,col,lat,lon,temp_mean,temp_std,region_label,region_label_id,boundary_score,gradient_magnitude,gradient_direction,distance_to_boundary,region_id
global,class_03,prototype_class_03,0,36,39.38888931274414,-9.348348617553711,0.56688046,0.51915264,high,1,0.96326065,5.0685315,2.5379684,4.0,2
global,class_03,prototype_class_03,0,37,39.38888931274414,-9.342592239379883,0.54285806,0.51585126,high,1,0.9720671,5.075864,2.5356324,3.0,2
global,class_03,prototype_class_03,0,38,39.38888931274414,-9.336836814880371,0.5188357,0.51263595,high,1,0.9811212,5.0852013,2.5335796,2.0,2
global,class_03,prototype_class_03,0,39,39.38888931274414,-9.33108139038086,0.49481353,0.5095078,high,1,0.99042976,5.092313,2.5312266,1.0,2
global,class_03,prototype_class_03,0,40,39.38888931274414,-9.325325012207031,0.47079092,0.5064688,high,1,1.0,5.102578,2.5293014,0.0,2
global,class_03,prototype_class_03,0,41,39.38888931274414,-9.31956958770752,0.44676888,0.50352037,low,0,1.0,5.1116886,2.5272276,0.0,1
global,class_03,prototype_class_03,0,42,39.38888931274414,-9.313814163208008,0.42274645,0.50066423,low,0,0.99042976,5.1243258,2.525645,1.0,1
global,class_03,prototype_class_03,0,43,39.38888931274414,-9.30805778503418,0.39857146,0.49779862,low,0,0.9865427,5.170087,2.5289934,1.4142135,1
global,class_03,prototype_class_03,0,44,39.38888931274414,-9.302302360534668,0.37405375,0.49478588,low,0,0.9789611,5.201001,2.5311642,2.236068,1
global,class_03,prototype_class_03,0,45,39.38888931274414,-9.296546936035156,0.349536,0.49185562,low,0,0.9736028,5.2035947,2.5295136,2.828427,1
global,class_03,prototype_class_03,0,46,39.38888931274414,-9.290790557861328,0.32501796,0.48900965,low,0,0.96670526,5.2097034,2.5283139,3.6055512,1
global,class_03,prototype_class_03,0,47,39.38888931274414,-9.285035133361816,0.3005002,0.48624885,low,0,0.9591869,5.2131557,2.5267816,4.472136,1
global,class_03,prototype_class_03,0,48,39.38888931274414,-9.279279708862305,0.27598235,0.48357508,low,0,0.9514587,5.2190022,2.5255542,5.3851647,1
global,class_03,prototype_class_03,0,49,39.38888931274414,-9.273523330688477,0.2514644,0.4809897,low,0,0.94370884,5.2233734,2.524137,6.3245554,1
global,class_03,prototype_class_03,0,50,39.38888931274414,-9.267767906188965,0.22694664,0.4784941,low,0,0.9376925,5.2306366,2.5231156,7.071068,1
global,class_03,prototype_class_03,0,51,39.38888931274414,-9.262012481689453,0.20242879,0.47608998,low,0,0.93185675,5.189526,2.5154278,7.81025,1
global,class_03,prototype_class_03,0,52,39.38888931274414,-9.256256103515625,0.17854618,0.47386894,low,0,0.92663085,5.124392,2.507711,8.485281,1
global,class_03,prototype_class_03,0,53,39.38888931274414,-9.250500679016113,0.1548542,0.47175992,low,0,0.9210565,5.110295,2.5082653,9.219544,1
global,class_03,prototype_class_03,0,54,39.38888931274414,-9.244745254516602,0.131162,0.4697346,low,0,0.9159946,5.103202,2.5098217,9.899495,1
global,class_03,prototype_class_03,0,55,39.38888931274414,-9.238988876342773,0.10747004,0.46779472,low,0,0.9106606,5.0947256,2.5111856,10.630146,1
global,class_03,prototype_class_03,0,56,39.38888931274414,-9.233233451843262,0.08377785,0.46594095,low,0,0.9057672,5.089017,2.512946,11.313708,1
global,class_03,prototype_class_03,0,57,39.38888931274414,-9.227477073669434,0.060086112,0.4641749,low,0,0.90065753,5.081925,2.5145316,12.0415945,1
global,class_03,prototype_class_03,0,58,39.38888931274414,-9.221721649169922,0.03639367,0.46249703,low,0,0.89593315,5.0771112,2.5164137,12.727922,1
global,class_03,prototype_class_03,0,59,39.38888931274414,-9.21596622467041,0.012701971,0.4609081,low,0,0.8910345,5.0338554,2.512823,13.453624,1
global,class_03,prototype_class_03,0,60,39.38888931274414,-9.210209846496582,-0.010479633,0.45949265,low,0,0.8864771,4.871059,2.492751,14.142136,1
global,class_03,prototype_class_03,0,61,39.38888931274414,-9.20445442199707,-0.031959325,0.458437,low,0,0.8698585,4.728554,2.480313,14.866069,1
global,class_03,prototype_class_03,0,62,39.38888931274414,-9.198698997497559,-0.053439204,0.45746118,low,0,0.86140555,4.701465,2.4864535,15.6205,1
global,class_03,prototype_class_03,0,63,39.38888931274414,-9.19294261932373,-0.07491897,0.45656613,low,0,0.85404575,4.6829414,2.4940143,16.40122,1
global,class_03,prototype_class_03,0,64,39.38888931274414,-9.187187194824219,-0.096398525,0.4557518,low,0,0.8458502,4.6584673,2.5006614,17.20465,1
global,class_03,prototype_class_03,0,65,39.38888931274414,-9.181431770324707,-0.117878325,0.4550187,low,0,0.83747864,4.632748,2.5071313,18.027756,1
global,class_03,prototype_class_03,0,66,39.38888931274414,-9.175675392150879,-0.13935816,0.4543676,low,0,0.8295176,4.609981,2.5140986,18.867962,1
global,class_03,prototype_class_03,0,67,39.38888931274414,-9.169919967651367,-0.16083789,0.45379865,low,0,0.8214069,4.5858917,2.5209146,19.723083,1
global,class_03,prototype_class_03,0,68,39.38888931274414,-9.164164543151855,-0.18231776,0.45331216,low,0,0.7959697,4.4330897,2.5071385,20.59126,1
global,class_03,prototype_class_03,0,69,39.38888931274414,-9.158408164978027,-0.2019466,0.45329198,low,0,0.7622377,4.215647,2.4846683,21.400934,1
global,class_03,prototype_class_03,0,70,39.38888931274414,-9.152652740478516,-0.22075345,0.45350993,low,0,0.74581325,4.1254683,2.4859638,22.203604,1
global,class_03,prototype_class_03,0,71,39.38888931274414,-9.146897315979004,-0.23956023,0.45379275,low,0,0.7364975,4.0878634,2.4971416,23.021729,1
global,class_03,prototype_class_03,0,72,39.38888931274414,-9.141140937805176,-0.2583671,0.4541407,low,0,0.7270987,4.049452,2.5082774,23.853722,1
global,class_03,prototype_class_03,0,73,39.38888931274414,-9.135385513305664,-0.2771737,0.45455334,low,0,0.71872115,4.018349,2.5208564,24.698177,1
