row_id,date,expected_class,predicted_class,direct_gradient_mean_minus_assigned,direct_boundary_score_minus_assigned,direct_heterogeneity_minus_assigned,direct_cold_fraction_minus_assigned,direct_warm_fraction_minus_assigned,residual_rmse_vs_predicted_prototype,residual_rmse_vs_expected_prototype
0,2024-06-18,1,6,-0.006423780694603906,-0.43837563619799524,0.16485200822353363,0.13705647176411792,0.029610194902548737,0.37987563000081337,0.30360221194923714
1,2024-06-20,1,2,-0.008124539628624871,-0.33662517295069594,0.0392229706048966,0.0,0.0,0.30232197250152365,0.3051219060057357
2,2024-06-27,1,1,-0.037027882412075996,-0.5620036564845553,0.31357182562351227,0.12493753123438281,0.041729135432283904,0.25504053792376125,0.25504053792376125
3,2024-06-29,1,2,-0.0031185075640677955,-0.33662517295069594,-0.0012035816907882135,0.0,0.00012493753123438145,0.32829541760261505,0.24435756032416647
4,2024-07-03,1,2,-0.004134994000196412,-0.33662517295069594,0.06781961023807531,0.0,0.0,0.1518895827045698,0.3225807186118082
5,2024-07-04,1,1,-0.03483249619603157,-0.5620036564845553,0.27280379831790924,0.12493753123438281,0.041729135432283904,0.07614199291369153,0.07614199291369153
6,2024-07-05,1,1,-0.03266758844256401,-0.5620036564845553,0.299784854054451,0.12493753123438281,0.041729135432283904,0.08940386430567525,0.08940386430567525
7,2024-07-26,1,2,0.0015063323080540154,-0.33662517295069594,0.07501764595508581,0.0,0.00012493753123438145,0.2915149483794236,0.6948424834808363
8,2024-08-08,1,1,-0.026551108807325363,-0.5620036564845553,0.48540712893009186,0.12493753123438281,0.041729135432283904,0.33108592331537134,0.33108592331537134
9,2024-08-24,1,1,-0.024530574679374695,-0.5620036564845553,0.37832410633563995,0.12493753123438281,0.041729135432283904,0.22333574435009237,0.22333574435009237
10,2023-12-16,6,6,-0.019655755721032606,-0.43837563619799524,0.08997055888175966,0.13705647176411792,0.029610194902548737,0.17963100190248874,0.17963100190248874
11,2023-12-17,6,6,-0.019250828772783266,-0.43837563619799524,0.10721123218536378,0.13705647176411792,0.029610194902548737,0.12754914316265872,0.12754914316265872
12,2023-12-18,6,6,-0.01919139642268418,-0.43837563619799524,0.09607839584350587,0.13705647176411792,0.029610194902548737,0.12042309228464061,0.12042309228464061
13,2023-12-19,6,6,-0.018994840793311582,-0.43837563619799524,0.06423228979110719,0.13705647176411792,0.029735132433783118,0.144037400312264,0.144037400312264
14,2023-12-21,6,6,-0.022654149681329713,-0.43837563619799524,-0.041964963078498826,0.13705647176411792,0.0298600699650175,0.2215442488342369,0.2215442488342369
15,2023-12-22,6,6,-0.02144865598529576,-0.43837563619799524,-0.008831731975078569,0.1371814092953523,0.029735132433783118,0.14556573946231957,0.14556573946231957
16,2024-05-22,6,6,-0.010713605210185037,-0.43837563619799524,0.18699760735034943,0.13705647176411792,0.029610194902548737,0.1784819985938605,0.1784819985938605
17,2024-05-26,6,6,-0.014220360666513429,-0.43837563619799524,0.13726291060447693,0.1371814092953523,0.029735132433783118,0.2410556377556599,0.2410556377556599
18,2024-06-12,6,2,-0.004600524902343705,-0.33662517295069594,-0.07059254497289652,0.0,0.00012493753123438145,0.3689879555204661,0.6795198060984581
19,2024-06-15,6,6,-0.0049988776445388655,-0.43837563619799524,0.2334083467721939,0.13705647176411792,0.029610194902548737,0.2619504415082886,0.2619504415082886
