row_id,date,day_index_370,expected_class,expected_class_label,predicted_class,predicted_class_label,match_expected,transition,confidence_score,nearest_centroid_distance,notes
0,2024-06-18,235,1,C01,6,C06,False,C01->C06,0.11349309235811234,76.30914306640625,changed_after_geostatistical_TEMPpred_generation
1,2024-06-20,237,1,C01,2,C02,False,C01->C02,0.4341040253639221,46.742591857910156,changed_after_geostatistical_TEMPpred_generation
2,2024-06-27,244,1,C01,1,C01,True,C01->C01,0.11611445248126984,139.11160278320312,preserved
3,2024-06-29,246,1,C01,2,C02,False,C01->C02,0.5276197791099548,40.54880905151367,changed_after_geostatistical_TEMPpred_generation
4,2024-07-03,250,1,C01,2,C02,False,C01->C02,0.6920154690742493,23.27616310119629,changed_after_geostatistical_TEMPpred_generation
5,2024-07-04,251,1,C01,1,C01,True,C01->C01,0.21831320226192474,75.97562408447266,preserved
6,2024-07-05,252,1,C01,1,C01,True,C01->C01,0.27488866448402405,77.07844543457031,preserved
7,2024-07-26,273,1,C01,2,C02,False,C01->C02,0.3619807958602905,42.2462158203125,changed_after_geostatistical_TEMPpred_generation
8,2024-08-08,286,1,C01,1,C01,True,C01->C01,0.23908087611198425,146.88104248046875,preserved
9,2024-08-24,302,1,C01,1,C01,True,C01->C01,0.25742021203041077,123.72013092041016,preserved
10,2023-12-16,50,6,C06,6,C06,True,C06->C06,0.25299516320228577,88.19496154785156,preserved
11,2023-12-17,51,6,C06,6,C06,True,C06->C06,0.2631829082965851,92.3141098022461,preserved
12,2023-12-18,52,6,C06,6,C06,True,C06->C06,0.32785457372665405,81.14734649658203,preserved
13,2023-12-19,53,6,C06,6,C06,True,C06->C06,0.42140141129493713,64.96834564208984,preserved
14,2023-12-21,55,6,C06,6,C06,True,C06->C06,0.6580178141593933,34.662025451660156,preserved
15,2023-12-22,56,6,C06,6,C06,True,C06->C06,0.6792120933532715,34.45479965209961,preserved
16,2024-05-22,208,6,C06,6,C06,True,C06->C06,0.03203023970127106,96.86689758300781,preserved
17,2024-05-26,212,6,C06,6,C06,True,C06->C06,0.23761770129203796,79.34861755371094,preserved
18,2024-06-12,229,6,C06,2,C02,False,C06->C02,0.5938360095024109,36.706886291503906,changed_after_geostatistical_TEMPpred_generation
19,2024-06-15,232,6,C06,6,C06,True,C06->C06,0.01949697732925415,108.7789077758789,preserved
