row_id,date,day_index_370,expected_class,predicted_class,match_expected,confidence_score,STD_variance_mean,STD_variance_max,STD_variance_p95,overlap_top10_STD_top10_interest,assigned_interest_mean,assigned_gradient_mean,assigned_boundary_score,planner_score
15,2023-12-22,56,6,6,True,0.6792120933532715,0.016966182738542557,0.032657112926244736,0.02385755442082882,0.02936031984007996,0.2259227782487869,0.0321187414228916,0.5384505987167358,0.44485457527978545
14,2023-12-21,55,6,6,True,0.6580178141593933,0.014953401871025562,0.031565044075250626,0.020877409726381302,0.01824087956021989,0.2259227782487869,0.0321187414228916,0.5384505987167358,0.42095075385465375
13,2023-12-19,53,6,6,True,0.42140141129493713,0.015483535826206207,0.03136253356933594,0.023118475452065468,0.02261369315342329,0.2259227782487869,0.0321187414228916,0.5384505987167358,0.3583884671579922
4,2024-07-03,250,1,2,False,0.6920154690742493,0.06393756717443466,0.19683614373207092,0.12177277356386185,0.06409295352323838,0.1722886860370636,0.026729779317975,0.4367001354694366,0.35288727641507783
12,2023-12-18,52,6,6,True,0.32785457372665405,0.013823489658534527,0.027081742882728577,0.020632151514291763,0.03260869565217391,0.2259227782487869,0.0321187414228916,0.5384505987167358,0.3457249023668144
9,2024-08-24,302,1,1,True,0.25742021203041077,0.1654733270406723,0.3178016245365143,0.23372553288936615,0.02348825587206397,0.3180355727672577,0.0650407075881958,0.6620786190032959,0.3386563395527468
3,2024-06-29,246,1,2,False,0.5276197791099548,0.07074739038944244,0.15068064630031586,0.10664555430412292,0.044852573713143426,0.1722886860370636,0.026729779317975,0.4367001354694366,0.3380390753429094
10,2023-12-16,50,6,6,True,0.25299516320228577,0.010138705372810364,0.018582314252853394,0.013563558459281921,0.02623688155922039,0.2259227782487869,0.0321187414228916,0.5384505987167358,0.3351772414634878
18,2024-06-12,229,6,2,False,0.5938360095024109,0.1065509021282196,0.3029848635196686,0.20526628196239471,0.049100449775112444,0.1722886860370636,0.026729779317975,0.4367001354694366,0.33148501308648837
8,2024-08-08,286,1,1,True,0.23908087611198425,0.15053489804267883,0.32259875535964966,0.2476184219121933,0.025612193903048475,0.3180355727672577,0.0650407075881958,0.6620786190032959,0.3303349785130659
6,2024-07-05,252,1,1,True,0.27488866448402405,0.11087638884782791,0.2413410246372223,0.177461177110672,0.01249375312343828,0.3180355727672577,0.0650407075881958,0.6620786190032959,0.32672334336999176
11,2023-12-17,51,6,6,True,0.2631829082965851,0.011734986677765846,0.023027019575238228,0.016836995258927345,0.038855572213893054,0.2259227782487869,0.0321187414228916,0.5384505987167358,0.3228880913893709
5,2024-07-04,251,1,1,True,0.21831320226192474,0.10016153752803802,0.23669782280921936,0.17296960949897766,0.00887056471764118,0.3180355727672577,0.0650407075881958,0.6620786190032959,0.30065267986428557
2,2024-06-27,244,1,1,True,0.11611445248126984,0.07734572142362595,0.1627323478460312,0.12048135697841644,0.019615192403798103,0.3180355727672577,0.0650407075881958,0.6620786190032959,0.29878833377170655
7,2024-07-26,273,1,2,False,0.3619807958602905,0.10108870267868042,0.18505559861660004,0.13107889890670776,0.01461769115442279,0.1722886860370636,0.026729779317975,0.4367001354694366,0.29378393157624055
1,2024-06-20,237,1,2,False,0.4341040253639221,0.04159614443778992,0.1122806966304779,0.07489295303821564,0.03798100949525238,0.1722886860370636,0.026729779317975,0.4367001354694366,0.29123314410686374
17,2024-05-26,212,6,6,True,0.23761770129203796,0.033685263246297836,0.09407899528741837,0.07016276568174362,0.009370314842578711,0.2259227782487869,0.0321187414228916,0.5384505987167358,0.2891076652240986
16,2024-05-22,208,6,6,True,0.03203023970127106,0.04798690229654312,0.09564182907342911,0.07238926738500595,0.012368815592203899,0.2259227782487869,0.0321187414228916,0.5384505987167358,0.26112856541102614
19,2024-06-15,232,6,6,True,0.01949697732925415,0.08305925875902176,0.15652459859848022,0.1212192252278328,0.027361319340329836,0.2259227782487869,0.0321187414228916,0.5384505987167358,0.2566641190900527
0,2024-06-18,235,1,6,False,0.11349309235811234,0.07969552278518677,0.14857149124145508,0.11285241693258286,0.021989005497251374,0.2259227782487869,0.0321187414228916,0.5384505987167358,0.23271740549627037
