row_id,date,expected_class,predicted_class,STD_variance_min,STD_variance_max,STD_variance_mean,STD_variance_std,STD_variance_p05,STD_variance_p50,STD_variance_p95,STD_variance_nan_fraction,overlap_top10_STD_top10_interest,overlap_top20_STD_top20_interest,overlap_top10_STD_top10_boundary,overlap_top10_STD_top10_gradient,std_top10_centroid_x_km,std_top10_centroid_y_km,interest_top10_centroid_x_km,interest_top10_centroid_y_km,std_interest_centroid_distance_km
0,2024-06-18,1,6,0.020660262554883957,0.14857149124145508,0.07969552278518677,0.023650432005524635,0.03679057955741882,0.08438505232334137,0.11285241693258286,0.04985754985754986,0.021989005497251374,0.07896051974012994,0.02361319340329835,0.018490754622688656,481.34871914562365,4387.0909647852295,482.52521353922833,4389.402858853191,2.594030308161166
1,2024-06-20,1,2,0.006742025725543499,0.1122806966304779,0.04159614443778992,0.019862251356244087,0.01283973641693592,0.04057968780398369,0.07489295303821564,0.04985754985754986,0.03798100949525238,0.09845077461269365,0.03973013493253373,0.03973013493253373,481.6146381963951,4380.895362730181,485.80368872557983,4382.482066484277,4.479483579535364
2,2024-06-27,1,1,0.00768056558445096,0.1627323478460312,0.07734572142362595,0.034520212560892105,0.015142038464546204,0.08816458284854889,0.12048135697841644,0.04985754985754986,0.019615192403798103,0.07496251874062969,0.021114442778610694,0.02136431784107946,481.9678448737784,4386.504433544983,480.58967234103125,4386.2367786116965,1.4039226094522659
3,2024-06-29,1,2,0.01751241832971573,0.15068064630031586,0.07074739038944244,0.022090492770075798,0.032904695719480515,0.07089798152446747,0.10664555430412292,0.04985754985754986,0.044852573713143426,0.1265617191404298,0.04422788605697151,0.04422788605697151,483.8611844142576,4383.715060154299,485.80368872557983,4382.482066484277,2.300781691038705
4,2024-07-03,1,2,0.02046511322259903,0.19683614373207092,0.06393756717443466,0.0270608551800251,0.035996466875076294,0.05471770465373993,0.12177277356386185,0.04985754985754986,0.06409295352323838,0.16616691654172913,0.06234382808595702,0.06234382808595702,486.8496456074804,4385.542429872815,485.80368872557983,4382.482066484277,3.2341691156611163
5,2024-07-04,1,1,0.02896949090063572,0.23669782280921936,0.10016153752803802,0.039244309067726135,0.053098175674676895,0.08898758888244629,0.17296960949897766,0.04985754985754986,0.00887056471764118,0.05409795102448776,0.005747126436781609,0.039230384807596205,485.7067310652334,4385.206564304385,480.58967234103125,4386.2367786116965,5.2197348118388325
6,2024-07-05,1,1,0.032192472368478775,0.2413410246372223,0.11087638884782791,0.03927648440003395,0.057875294238328934,0.10490027070045471,0.177461177110672,0.04985754985754986,0.01249375312343828,0.06284357821089455,0.01111944027986007,0.03510744627686157,484.57207718562245,4385.237896598977,480.58967234103125,4386.2367786116965,4.105765899507341
7,2024-07-26,1,2,0.03357517346739769,0.18505559861660004,0.10108870267868042,0.019148990511894226,0.06819386780261993,0.10187216848134995,0.13107889890670776,0.04985754985754986,0.01461769115442279,0.05422288855572214,0.016116941529235384,0.016116941529235384,479.793805259295,4388.379621298572,485.80368872557983,4382.482066484277,8.420204989543324
8,2024-08-08,1,1,0.024326393380761147,0.32259875535964966,0.15053489804267883,0.05898657813668251,0.06202971935272217,0.14433050155639648,0.2476184219121933,0.04985754985754986,0.025612193903048475,0.08908045977011494,0.029985007496251874,0.0008745627186406797,478.6803054333328,4386.445064397043,480.58967234103125,4386.2367786116965,1.9206938737319093
9,2024-08-24,1,1,0.04766368120908737,0.3178016245365143,0.1654733270406723,0.04230855032801628,0.09913323819637299,0.16597521305084229,0.23372553288936615,0.04985754985754986,0.02348825587206397,0.07471264367816093,0.026861569215392303,0.006871564217891054,475.777061014735,4385.57164811076,480.58967234103125,4386.2367786116965,4.858356343586857
10,2023-12-16,6,6,0.002326737390831113,0.018582314252853394,0.010138705372810364,0.0024345489218831062,0.004994537215679884,0.01044951006770134,0.013563558459281921,0.04985754985754986,0.02623688155922039,0.06509245377311344,0.02923538230884558,0.01686656671664168,475.9147468785966,4387.069776061174,482.52521353922833,4389.402858853191,7.010103051006493
11,2023-12-17,6,6,0.003917303867638111,0.023027019575238228,0.011734986677765846,0.002843694295734167,0.0070420121774077415,0.011560086160898209,0.016836995258927345,0.04985754985754986,0.038855572213893054,0.10169915042478761,0.03710644677661169,0.03023488255872064,479.3159279507793,4384.171692732717,482.52521353922833,4389.402858853191,6.137150231843864
12,2023-12-18,6,6,0.003909722901880741,0.027081742882728577,0.013823489658534527,0.0036683569196611643,0.008623755536973476,0.013194810599088669,0.020632151514291763,0.04985754985754986,0.03260869565217391,0.10719640179910045,0.031609195402298854,0.02798600699650175,479.4256373106615,4383.164784863647,482.52521353922833,4389.402858853191,6.965697373251723
13,2023-12-19,6,6,0.005987499374896288,0.03136253356933594,0.015483535826206207,0.004055938683450222,0.010329975746572018,0.014451693743467331,0.023118475452065468,0.04985754985754986,0.02261369315342329,0.09057971014492754,0.017991004497751123,0.027361319340329836,481.3323427121737,4383.239334011197,482.52521353922833,4389.402858853191,6.277896087696831
14,2023-12-21,6,6,0.006241057999432087,0.031565044075250626,0.014953401871025562,0.0031636888161301613,0.010669327341020107,0.014459626749157906,0.020877409726381302,0.04985754985754986,0.01824087956021989,0.05859570214892554,0.018115942028985508,0.023113443278360818,484.00280224517934,4388.868764508232,482.52521353922833,4389.402858853191,1.57115408323669
15,2023-12-22,6,6,0.006271528545767069,0.032657112926244736,0.016966182738542557,0.00397492665797472,0.01129490602761507,0.016520682722330093,0.02385755442082882,0.04985754985754986,0.02936031984007996,0.08183408295852074,0.02948525737131434,0.030484757621189407,484.3078727198302,4388.546408054385,482.52521353922833,4389.402858853191,1.97772134664091
16,2024-05-22,6,6,0.007289009168744087,0.09564182907342911,0.04798690229654312,0.017849305644631386,0.014669075608253479,0.05187404155731201,0.07238926738500595,0.04985754985754986,0.012368815592203899,0.04047976011994003,0.01511744127936032,0.006871564217891054,475.2912431543091,4386.096103015761,482.52521353922833,4389.402858853191,7.953927438584248
17,2024-05-26,6,6,0.004175330977886915,0.09407899528741837,0.033685263246297836,0.02222122624516487,0.009561929851770401,0.024443797767162323,0.07016276568174362,0.04985754985754986,0.009370314842578711,0.06296851574212893,0.004622688655672164,0.01924037981009495,484.6597595976831,4385.512265551849,482.52521353922833,4389.402858853191,4.437679924477698
18,2024-06-12,6,2,0.026050807908177376,0.3029848635196686,0.1065509021282196,0.049694377928972244,0.047891803085803986,0.09446783363819122,0.20526628196239471,0.04985754985754986,0.049100449775112444,0.14392803598200898,0.04597701149425287,0.04597701149425287,486.71231978246186,4386.872051415223,485.80368872557983,4382.482066484277,4.48303224296448
19,2024-06-15,6,6,0.023959387093782425,0.15652459859848022,0.08305925875902176,0.023783717304468155,0.04578215628862381,0.08337128907442093,0.1212192252278328,0.04985754985754986,0.027361319340329836,0.07658670664667666,0.031734132933533235,0.018615692153923037,478.45617233828807,4387.10693298416,482.52521353922833,4389.402858853191,4.672084319769268
