row_id,date,expected_class,predicted_class,best_corr_class,best_rmse_class,corr_C01,corr_C02,corr_C03,corr_C04,corr_C05,corr_C06,rmse_C01,rmse_C02,rmse_C03,rmse_C04,rmse_C05,rmse_C06
0,2024-06-18,1,6,4,1,0.964407742023468,0.91789311170578,0.5743096470832825,0.9691025614738464,0.9658735394477844,0.9534403085708618,0.3036022186279297,0.6753726601600647,1.4623347520828247,1.250909686088562,0.685856819152832,0.37987563014030457
1,2024-06-20,1,2,5,2,0.7522952556610107,0.5604520440101624,0.18484121561050415,0.6398165225982666,0.7693419456481934,0.7091304659843445,0.30512189865112305,0.3023219704627991,1.0457004308700562,1.6719473600387573,1.1160283088684082,0.804455578327179
2,2024-06-27,1,1,5,1,0.9476112127304077,0.8784310221672058,0.4714902341365814,0.9481781125068665,0.9608659148216248,0.9352824091911316,0.2550405263900757,0.6779470443725586,1.4436360597610474,1.3408774137496948,0.7729541063308716,0.5008857250213623
3,2024-06-29,1,2,5,1,0.9115563631057739,0.831633985042572,0.5303620100021362,0.8881218433380127,0.9240538477897644,0.9030581116676331,0.24435755610466003,0.32829540967941284,1.1070128679275513,1.5903784036636353,1.0339330434799194,0.7173851728439331
4,2024-07-03,1,2,6,2,0.9755702614784241,0.9659832119941711,0.7056167125701904,0.9641216993331909,0.9649010300636292,0.9802954196929932,0.3225807249546051,0.15188957750797272,0.9113284349441528,1.799406886100769,1.2372249364852905,0.9214130640029907
5,2024-07-04,1,1,1,1,0.9872218370437622,0.956454873085022,0.6807490587234497,0.9669322371482849,0.9779805541038513,0.9847315549850464,0.07614199072122574,0.5013297200202942,1.2631100416183472,1.4962068796157837,0.9260759353637695,0.6289316415786743
6,2024-07-05,1,1,1,1,0.9841914176940918,0.9216061234474182,0.5782271027565002,0.9468462467193604,0.9770837426185608,0.976584792137146,0.08940386772155762,0.5139946341514587,1.2672947645187378,1.5091689825057983,0.938323974609375,0.6459406018257141
7,2024-07-26,1,2,2,2,0.5635164380073547,0.7033673524856567,0.5780144929885864,0.6641004085540771,0.5386670827865601,0.601158857345581,0.6948424577713013,0.29151496291160583,0.6007505655288696,2.133064031600952,1.5836284160614014,1.266273021697998
8,2024-08-08,1,1,1,1,0.9816786050796509,0.9431986212730408,0.6457551717758179,0.9657315611839294,0.9778693318367004,0.9726682901382446,0.3310859203338623,0.49567872285842896,1.1008086204528809,1.8042855262756348,1.2354182004928589,0.9570104479789734
9,2024-08-24,1,1,1,1,0.9145254492759705,0.8151894807815552,0.4387751817703247,0.8462740182876587,0.9109688997268677,0.89887535572052,0.22333574295043945,0.5871874094009399,1.3121663331985474,1.5167485475540161,0.9515262842178345,0.6765956878662109
10,2023-12-16,6,6,6,6,0.8606908917427063,0.8411319851875305,0.6125479936599731,0.8176171183586121,0.8510309457778931,0.8718629479408264,0.5379218459129333,0.8810446262359619,1.6659386157989502,1.0324597358703613,0.48282554745674133,0.17963099479675293
11,2023-12-17,6,6,6,6,0.885578989982605,0.8599529266357422,0.5300054550170898,0.8478783965110779,0.8850740194320679,0.9015085101127625,0.5878674983978271,0.9442085027694702,1.7310733795166016,0.9714797735214233,0.41855600476264954,0.12754914164543152
12,2023-12-18,6,6,6,6,0.8799037337303162,0.8796566128730774,0.5653019547462463,0.8528768420219421,0.8774011731147766,0.9063792824745178,0.594142496585846,0.9459215998649597,1.7329094409942627,0.966741144657135,0.4161604940891266,0.1204230934381485
13,2023-12-19,6,6,6,6,0.8626620173454285,0.8795576095581055,0.6277074217796326,0.8425182104110718,0.8571175932884216,0.8932138085365295,0.5754891037940979,0.9127184748649597,1.6983106136322021,0.9951850175857544,0.44967588782310486,0.1440373957157135
14,2023-12-21,6,6,6,6,0.7806255221366882,0.7632924914360046,0.3291068971157074,0.7422670125961304,0.7806669473648071,0.8209843635559082,0.5722788572311401,0.8624210953712463,1.6417871713638306,1.04684579372406,0.521085262298584,0.22154425084590912
15,2023-12-22,6,6,2,6,0.841048002243042,0.9067786335945129,0.5500016212463379,0.867124080657959,0.8381559252738953,0.8851276636123657,0.6223147511482239,0.9366188049316406,1.7198596000671387,0.9672899842262268,0.43816709518432617,0.14556573331356049
16,2024-05-22,6,6,5,6,0.9780304431915283,0.9165688753128052,0.5084840655326843,0.9557255506515503,0.983849048614502,0.9785377979278564,0.7778874635696411,1.172698974609375,1.9623804092407227,0.7635866403579712,0.19663134217262268,0.17848199605941772
17,2024-05-26,6,6,6,6,0.9578337073326111,0.9149261116981506,0.6250592470169067,0.9213674068450928,0.9544440507888794,0.9606448411941528,0.43850091099739075,0.8065006136894226,1.593977451324463,1.112137794494629,0.5489293336868286,0.24105563759803772
18,2024-06-12,6,2,6,1,0.8107991218566895,0.7807475328445435,0.5546537041664124,0.7566507458686829,0.8067181706428528,0.8128071427345276,0.3027164936065674,0.36898794770240784,1.1441060304641724,1.5454819202423096,0.9983152151107788,0.6795198321342468
19,2024-06-15,6,6,5,6,0.971442699432373,0.903226375579834,0.5556950569152832,0.9482204914093018,0.9804980754852295,0.9606284499168396,0.44111764430999756,0.8486298322677612,1.6334258317947388,1.1041505336761475,0.5336828827857971,0.26195043325424194
