row_id,date,expected_class,predicted_class,nearest_distance,second_distance,margin,confidence_score,confidence_q25_threshold,winner_distance_canonical_p90_threshold,low_confidence_flag
0,2024-06-18,1,6,76.30914306640625,86.07845306396484,9.769309997558594,0.11349309235811234,0.23279157280921936,114.83741130448658,True
1,2024-06-20,1,2,46.742591857910156,82.5992660522461,35.85667419433594,0.4341040253639221,0.23279157280921936,84.91324580033663,False
2,2024-06-27,1,1,139.11160278320312,157.38644409179688,18.27484130859375,0.11611445248126984,0.23279157280921936,149.7798148389924,True
3,2024-06-29,1,2,40.54880905151367,85.83934783935547,45.2905387878418,0.5276197791099548,0.23279157280921936,84.91324580033663,False
4,2024-07-03,1,2,23.27616310119629,75.57574462890625,52.299583435058594,0.6920154690742493,0.23279157280921936,84.91324580033663,False
5,2024-07-04,1,1,75.97562408447266,97.1944580078125,21.218833923339844,0.21831320226192474,0.23279157280921936,149.7798148389924,True
6,2024-07-05,1,1,77.07844543457031,106.29877471923828,29.22032928466797,0.27488866448402405,0.23279157280921936,149.7798148389924,False
7,2024-07-26,1,2,42.2462158203125,66.21464538574219,23.968429565429688,0.3619807958602905,0.23279157280921936,84.91324580033663,False
8,2024-08-08,1,1,146.88104248046875,193.0310821533203,46.15003967285156,0.23908087611198425,0.23279157280921936,149.7798148389924,False
9,2024-08-24,1,1,123.72013092041016,166.60853576660156,42.888404846191406,0.25742021203041077,0.23279157280921936,149.7798148389924,False
10,2023-12-16,6,6,88.19496154785156,118.06478118896484,29.86981964111328,0.25299516320228577,0.23279157280921936,114.83741130448658,False
11,2023-12-17,6,6,92.3141098022461,125.28768920898438,32.97357940673828,0.2631829082965851,0.23279157280921936,114.83741130448658,False
12,2023-12-18,6,6,81.14734649658203,120.72885131835938,39.581504821777344,0.32785457372665405,0.23279157280921936,114.83741130448658,False
13,2023-12-19,6,6,64.96834564208984,112.28569793701172,47.317352294921875,0.42140141129493713,0.23279157280921936,114.83741130448658,False
14,2023-12-21,6,6,34.662025451660156,101.35623931884766,66.6942138671875,0.6580178141593933,0.23279157280921936,114.83741130448658,False
15,2023-12-22,6,6,34.45479965209961,107.40679931640625,72.95199584960938,0.6792120933532715,0.23279157280921936,114.83741130448658,False
16,2024-05-22,6,6,96.86689758300781,100.07223510742188,3.2053375244140625,0.03203023970127106,0.23279157280921936,114.83741130448658,True
17,2024-05-26,6,6,79.34861755371094,104.07982635498047,24.73120880126953,0.23761770129203796,0.23279157280921936,114.83741130448658,False
18,2024-06-12,6,2,36.706886291503906,90.37454986572266,53.66766357421875,0.5938360095024109,0.23279157280921936,84.91324580033663,False
19,2024-06-15,6,6,108.7789077758789,110.94194030761719,2.1630325317382812,0.01949697732925415,0.23279157280921936,114.83741130448658,True
