kind,date,class_id,depth,expected_path,exists_now
hres_input,2023-12-16,,,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10b_matlab_pilot_generation_20260516_140623\hres\CMEMSnaza_20231216_HResNew.nc,False
hres_input,2023-12-18,,,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10b_matlab_pilot_generation_20260516_140623\hres\CMEMSnaza_20231218_HResNew.nc,False
hres_input,2023-12-21,,,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10b_matlab_pilot_generation_20260516_140623\hres\CMEMSnaza_20231221_HResNew.nc,False
hres_input,2023-12-23,,,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10b_matlab_pilot_generation_20260516_140623\hres\CMEMSnaza_20231223_HResNew.nc,False
hres_input,2024-07-02,,,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10b_matlab_pilot_generation_20260516_140623\hres\CMEMSnaza_20240702_HResNew.nc,False
hres_input,2024-07-03,,,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10b_matlab_pilot_generation_20260516_140623\hres\CMEMSnaza_20240703_HResNew.nc,False
hres_input,2024-07-04,,,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10b_matlab_pilot_generation_20260516_140623\hres\CMEMSnaza_20240704_HResNew.nc,False
hres_input,2024-07-05,,,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10b_matlab_pilot_generation_20260516_140623\hres\CMEMSnaza_20240705_HResNew.nc,False
predmodel,2024-07-03,1,1,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10b_matlab_pilot_generation_20260516_140623\simulations\HighRes\Daily_dpt_20240702\03-07-2024_predModel_1.nc,False
predmodel,2024-07-03,1,2,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10b_matlab_pilot_generation_20260516_140623\simulations\HighRes\Daily_dpt_20240702\03-07-2024_predModel_2.nc,False
predmodel,2024-07-03,1,3,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10b_matlab_pilot_generation_20260516_140623\simulations\HighRes\Daily_dpt_20240702\03-07-2024_predModel_3.nc,False
predmodel,2024-07-03,1,4,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10b_matlab_pilot_generation_20260516_140623\simulations\HighRes\Daily_dpt_20240702\03-07-2024_predModel_4.nc,False
predmodel,2024-07-03,1,5,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10b_matlab_pilot_generation_20260516_140623\simulations\HighRes\Daily_dpt_20240702\03-07-2024_predModel_5.nc,False
predmodel,2024-07-03,1,6,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10b_matlab_pilot_generation_20260516_140623\simulations\HighRes\Daily_dpt_20240702\03-07-2024_predModel_6.nc,False
predmodel,2024-07-03,1,7,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10b_matlab_pilot_generation_20260516_140623\simulations\HighRes\Daily_dpt_20240702\03-07-2024_predModel_7.nc,False
predmodel,2024-07-03,1,8,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10b_matlab_pilot_generation_20260516_140623\simulations\HighRes\Daily_dpt_20240702\03-07-2024_predModel_8.nc,False
predmodel,2024-07-03,1,9,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10b_matlab_pilot_generation_20260516_140623\simulations\HighRes\Daily_dpt_20240702\03-07-2024_predModel_9.nc,False
