path,exists,date,class_id,depth
C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10b_matlab_pilot_generation_20260516_140623\simulations\HighRes\Daily_dpt_20240702\03-07-2024_predModel_1.nc,False,2024-07-03,1.0,1.0
C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10b_matlab_pilot_generation_20260516_140623\simulations\HighRes\Daily_dpt_20240702\03-07-2024_predModel_2.nc,False,2024-07-03,1.0,2.0
C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10b_matlab_pilot_generation_20260516_140623\simulations\HighRes\Daily_dpt_20240702\03-07-2024_predModel_3.nc,False,2024-07-03,1.0,3.0
C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10b_matlab_pilot_generation_20260516_140623\simulations\HighRes\Daily_dpt_20240702\03-07-2024_predModel_4.nc,False,2024-07-03,1.0,4.0
C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10b_matlab_pilot_generation_20260516_140623\simulations\HighRes\Daily_dpt_20240702\03-07-2024_predModel_5.nc,False,2024-07-03,1.0,5.0
C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10b_matlab_pilot_generation_20260516_140623\simulations\HighRes\Daily_dpt_20240702\03-07-2024_predModel_6.nc,False,2024-07-03,1.0,6.0
C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10b_matlab_pilot_generation_20260516_140623\simulations\HighRes\Daily_dpt_20240702\03-07-2024_predModel_7.nc,False,2024-07-03,1.0,7.0
C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10b_matlab_pilot_generation_20260516_140623\simulations\HighRes\Daily_dpt_20240702\03-07-2024_predModel_8.nc,False,2024-07-03,1.0,8.0
C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10b_matlab_pilot_generation_20260516_140623\simulations\HighRes\Daily_dpt_20240702\03-07-2024_predModel_9.nc,False,2024-07-03,1.0,9.0
C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10b_matlab_pilot_generation_20260516_140623\simulations\HighRes\Daily_dpt_20240702\03-07-2024_predModel_10.nc,False,2024-07-03,1.0,10.0
C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10b_matlab_pilot_generation_20260516_140623\simulations\HighRes\Daily_dpt_20240702\03-07-2024_predModel_11.nc,False,2024-07-03,1.0,11.0
C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10b_matlab_pilot_generation_20260516_140623\simulations\HighRes\Daily_dpt_20240702\03-07-2024_predModel_12.nc,False,2024-07-03,1.0,12.0
C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10b_matlab_pilot_generation_20260516_140623\simulations\HighRes\Daily_dpt_20240702\03-07-2024_predModel_13.nc,False,2024-07-03,1.0,13.0
C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10b_matlab_pilot_generation_20260516_140623\simulations\HighRes\Daily_dpt_20240702\03-07-2024_predModel_14.nc,False,2024-07-03,1.0,14.0
