dictionary_size,executed_runs,patch_w,patch_h,include_valid_mask,mask_encoding,feature_mode,patches_per_image,total_patches,patch_vector_length,feature_vector_length,mean_icv_mean,mean_icv_std,std_icv_mean,std_icv_std,min_class_size_mean,min_class_size_min,mean_class_size_mean,max_class_size_mean,runtime_mean_seconds,runtime_std_seconds,requested_runs,reduced_seed_count,rank_mean_icv,rank_icv_spread,rank_std_icv,rank_min_class,rank_runtime,balanced_score
2,5,72,40,True,concat,raw,1025,307500,5760,2050,1535.472671508789,19.24869112613619,757.0603921558479,80.81607431939683,63.0,39,75.0,85.0,245.31091224000085,93.10669663420808,1,False,1.0,1.0,5.0,2.0,1.0,2.0
8,5,72,40,True,concat,raw,1025,307500,5760,8200,1646.8601379394531,249.2029260406186,696.8583155795222,289.5703920828166,42.6,34,75.0,117.4,567.8454766800002,268.9398665638552,1,False,2.0,5.0,2.0,3.0,9.0,3.5
10,5,72,40,True,concat,raw,1025,307500,5760,10250,1722.824691772461,202.06385879815633,630.3849051132257,185.27119413067902,36.8,20,75.0,135.4,523.2067818000003,223.0092391714061,1,False,5.0,4.0,1.0,7.0,7.0,4.6000000000000005
4,5,72,40,True,concat,raw,1025,307500,5760,4100,1654.883004760742,327.4184513882899,788.8112139097728,177.02615734087945,49.2,33,75.0,110.8,248.08026602000209,13.75763277906946,1,False,3.0,8.0,6.0,4.0,2.0,4.7
11,5,72,40,True,concat,raw,1025,307500,5760,11275,1741.5054901123046,158.6065364605252,722.1154585621849,432.220461747197,34.8,23,75.0,138.4,497.98244483999986,175.02847994135948,1,False,6.0,3.0,4.0,6.0,6.0,5.0
12,5,72,40,True,concat,raw,1025,307500,5760,12300,1699.8497329711913,109.41843549887724,842.8346649612901,306.6320629792452,22.6,14,75.0,140.0,684.3583661799996,306.66419184155757,1,False,4.0,2.0,8.0,9.0,10.0,6.0
5,5,72,40,True,concat,raw,1025,307500,5760,5125,1782.3685424804687,314.61630328236197,792.7070031691096,220.94239977471952,40.0,26,75.0,131.2,284.163410259999,35.36184374746583,1,False,8.0,7.0,7.0,5.0,3.0,6.5
3,5,72,40,True,concat,raw,1025,307500,5760,3075,1753.2138916015624,332.7928199185278,936.8321570940388,350.72088562504223,47.2,40,75.0,116.8,1266.4786372399994,2268.2961341531736,1,False,7.0,9.0,10.0,1.0,11.0,7.200000000000001
9,5,72,40,True,concat,raw,1025,307500,5760,9225,1876.6386444091797,304.71688191318844,716.5568987015256,256.56192678029527,32.6,11,75.0,125.0,527.0843888799998,240.450413259373,1,False,11.0,6.0,3.0,11.0,8.0,8.1
6,5,72,40,True,concat,raw,1025,307500,5760,6150,1850.6134368896485,334.5213802780689,886.7976958831874,321.27487257673766,30.2,16,75.0,136.2,329.3857835799998,61.96607895246579,1,False,9.0,10.0,9.0,8.0,4.0,8.5
7,5,72,40,True,concat,raw,1025,307500,5760,7175,1876.5832641601562,463.92292164263256,963.3870247047586,360.8382678349663,28.6,12,75.0,124.0,366.70929903999934,126.69999370625655,1,False,10.0,11.0,11.0,10.0,5.0,9.9
