y_index_1based,lat_inferred,y_km_inferred
1,39.478584076439205,4369.93390206069
2,39.481347898182385,4370.240632554554
3,39.484111719925565,4370.547363194212
4,39.486875541668745,4370.854093979666
5,39.48963936341193,4371.160824910919
6,39.49240318515511,4371.467555987972
7,39.49516700689829,4371.77428721083
8,39.49793082864147,4372.081018579496
9,39.50069465038465,4372.387750093973
10,39.50345847212783,4372.694481754261
11,39.50622229387101,4373.001213560367
12,39.50898611561419,4373.307945512291
13,39.51174993735738,4373.614677610037
14,39.51451375910056,4373.921409853608
15,39.51727758084374,4374.228142243004
16,39.52004140258691,4374.534874778233
17,39.5228052243301,4374.841607459292
18,39.52556904607328,4375.148340286191
19,39.52833286781646,4375.455073258925
20,39.53109668955965,4375.761806377504
21,39.53386051130283,4376.068539641924
22,39.53662433304601,4376.375273052195
23,39.53938815478918,4376.682006608311
24,39.54215197653237,4376.988740310283
25,39.54491579827554,4377.295474158109
26,39.54767962001873,4377.602208151797
27,39.55044344176191,4377.908942291344
28,39.55320726350509,4378.215676576755
29,39.5559709857962,4378.522399970644
30,39.558734470620124,4378.829097155791
31,39.56149791282173,4379.135789756461
32,39.56426135502333,4379.442482502966
33,39.56702479722494,4379.749175395308
34,39.56978823942654,4380.055868433492
35,39.572551681628156,4380.362561617522
36,39.57531512382976,4380.669254947396
37,39.578078566031365,4380.97594842312
38,39.58084200823297,4381.282642044698
39,39.58360553669403,4381.589345385422
40,39.586369309725995,4381.8960760151285
41,39.589133131469175,4382.202812196831
42,39.591896953212355,4382.509548524436
43,39.594660774955535,4382.816284997946
44,39.597424596698716,4383.123021617368
45,39.600188418441896,4383.429758382699
46,39.602952240185076,4383.736495293948
47,39.60571606192826,4384.043232351113
48,39.60847988367144,4384.3499695542
49,39.61124370541462,4384.656706903208
50,39.6140075271578,4384.963444398144
51,39.61677134890098,4385.2701820390075
52,39.61953517064416,4385.576919825803
53,39.62229899238734,4385.883657758533
54,39.62506281413053,4386.190395837201
55,39.62782663587371,4386.4971340618085
56,39.63059045761689,4386.803872432359
57,39.63335427936007,4387.110610948854
58,39.63611810110325,4387.417349611297
59,39.63888192284643,4387.7240884196935
60,39.64164574458961,4388.030827374041
61,39.6444095663328,4388.337566474347
62,39.64717338807598,4388.644305720613
63,39.64993720981916,4388.951045112842
64,39.65270103156234,4389.257784651033
