x_index_1based,lon_inferred,x_km_inferred
1,-9.480706721668962,458.70812265264726
2,-9.477648235507832,458.9708424984457
3,-9.474589749346704,459.23356232192407
4,-9.471531263185575,459.49628212322546
5,-9.468472777024445,459.7590019024931
6,-9.465414290863317,460.0217216598693
7,-9.462355804702188,460.28444139549714
8,-9.45929731854106,460.54716110951966
9,-9.45623883237993,460.8098808020798
10,-9.4531803462188,461.07260047332
11,-9.450121860057672,461.3353201233836
12,-9.447063373896542,461.59803975241323
13,-9.444004887735414,461.86075936055187
14,-9.440946401574285,462.12347894794243
15,-9.437887915413155,462.38619851472777
16,-9.434829429252027,462.64891806105067
17,-9.431770943090898,462.911637587054
18,-9.428712456929768,463.174357092881
19,-9.42565397076864,463.4370765786742
20,-9.42259548460751,463.69979604457643
21,-9.41953699844638,463.96251549073105
22,-9.416478512285252,464.2252349172805
23,-9.413420026124124,464.4879543243677
24,-9.410361539962995,464.7506737121358
25,-9.407303053801865,465.0133930807275
26,-9.404244567640736,465.27611243028576
27,-9.401186081479608,465.5388317609535
28,-9.398127595318478,465.8015510728735
29,-9.39506910915735,466.0642703661888
30,-9.39201062299622,466.326989641042
31,-9.388952117422972,466.5897105650476
32,-9.385893547825676,466.8524369704436
33,-9.382834956659357,467.1151652105508
34,-9.379776365493038,467.37789343276665
35,-9.37671777432672,467.6406216372338
36,-9.3736591831604,467.90334982409524
37,-9.37060059199408,468.16607799349424
38,-9.367542000827763,468.42880614557293
39,-9.364483409661444,468.6915342804748
40,-9.36142483337775,468.9542611199491
41,-9.358366321549484,469.2169824059141
42,-9.355307835388356,469.4797014703659
43,-9.352249349227225,469.74242051821363
44,-9.349190863066097,470.00513954960013
45,-9.346132376904968,470.2678585646682
46,-9.34307389074384,470.53057756356094
47,-9.340015404582712,470.7932965464212
48,-9.336956918421583,471.0560155133917
49,-9.333898432260453,471.31873446461583
50,-9.330839946099324,471.5814534002359
51,-9.327781459938194,471.84417232039544
52,-9.324722973777066,472.1068912252368
53,-9.321664487615937,472.36961011490297
54,-9.318606001454807,472.6323289895373
55,-9.315547515293678,472.89504784928226
56,-9.31248902913255,473.15776669428084
57,-9.309430542971421,473.4204855246761
58,-9.306372056810293,473.6832043406107
59,-9.303313570649163,473.945923142228
60,-9.300255084488034,474.2086419296706
61,-9.297196598326906,474.47136070308125
62,-9.294138112165776,474.7340794626033
63,-9.291079626004647,474.99679820837935
64,-9.288021139843519,475.25951694055226
65,-9.284962653682388,475.5222356592654
66,-9.28190416752126,475.7849543646611
67,-9.278845681360131,476.04767305688256
68,-9.275787195199003,476.3103917360728
69,-9.272728709037874,476.5731104023745
70,-9.269670222876744,476.8358290559309
71,-9.266611736715614,477.0985476968848
72,-9.263553250554486,477.3612663253787
73,-9.260494764393357,477.62398494155605
74,-9.257436278232229,477.88670354555944
75,-9.254377792071098,478.1494221375322
76,-9.25131930590997,478.41214071761686
77,-9.248260819748841,478.67485928595636
78,-9.245202333587711,478.937577842694
79,-9.242143847426583,479.2002963879721
80,-9.239085361265454,479.4630149219342
81,-9.236026875104326,479.7257334447228
82,-9.232968388943195,479.988451956481
83,-9.229909902782067,480.25117045735175
84,-9.226851416620939,480.5138889474779
85,-9.223792930459808,480.7766074270023
86,-9.22073444429868,481.0393258960681
87,-9.217675958137551,481.30204435481784
88,-9.214617471976421,481.56476280339507
89,-9.211558985815293,481.82748124194217
90,-9.208500499654164,482.09019967060203
91,-9.205442013493036,482.352918089518
92,-9.202383527331907,482.6156364988327
93,-9.199325041170777,482.8783548986894
94,-9.196266555009649,483.14107328923063
95,-9.19320806884852,483.4037916705994
96,-9.190149582687392,483.6665100429388
97,-9.187091096526261,483.9292284063918
98,-9.184032610365131,484.19194676110106
99,-9.180974124204003,484.4546651072097
100,-9.177915638042872,484.71738344486073
101,-9.174857151881744,484.98010177419667
102,-9.171798665720615,485.2428200953609
103,-9.168740179559487,485.505538408496
104,-9.165681693398358,485.7682567137453
105,-9.162623207237228,486.03097501125166
106,-9.1595647210761,486.2936933011575
107,-9.156506234914971,486.55641158360635
108,-9.153447748753843,486.8191298587408
109,-9.150389262592713,487.08184812670413
110,-9.147330776431584,487.3445663876389
111,-9.144272290270456,487.60728464168807
112,-9.141213804109325,487.870002888995
