class_id,image_idx_0_based,day_index,date
4,179,180,2024-04-24
4,180,181,2024-04-25
4,181,182,2024-04-26
4,182,183,2024-04-27
4,183,184,2024-04-28
4,184,185,2024-04-29
4,185,186,2024-04-30
4,186,187,2024-05-01
4,187,188,2024-05-02
4,188,189,2024-05-03
4,189,190,2024-05-04
4,190,191,2024-05-05
4,191,192,2024-05-06
4,192,193,2024-05-07
4,213,214,2024-05-28
4,214,215,2024-05-29
4,215,216,2024-05-30
4,216,217,2024-05-31
4,313,314,2024-09-05
4,314,315,2024-09-06
4,319,320,2024-09-11
4,320,321,2024-09-12
4,321,322,2024-09-13
4,322,323,2024-09-14
5,60,61,2023-12-27
5,61,62,2023-12-28
5,62,63,2023-12-29
5,63,64,2023-12-30
5,64,65,2023-12-31
5,79,80,2024-01-15
5,80,81,2024-01-16
5,83,84,2024-01-19
5,99,100,2024-02-04
5,100,101,2024-02-05
5,101,102,2024-02-06
5,105,106,2024-02-10
5,106,107,2024-02-11
5,170,171,2024-04-15
5,174,175,2024-04-19
5,175,176,2024-04-20
5,200,201,2024-05-15
5,201,202,2024-05-16
5,202,203,2024-05-17
5,203,204,2024-05-18
5,204,205,2024-05-19
5,205,206,2024-05-20
5,208,209,2024-05-23
5,209,210,2024-05-24
5,212,213,2024-05-27
5,312,313,2024-09-04
5,315,316,2024-09-07
5,316,317,2024-09-08
5,323,324,2024-09-15
5,324,325,2024-09-16
6,35,36,2023-12-02
6,36,37,2023-12-03
6,37,38,2023-12-04
6,38,39,2023-12-05
6,39,40,2023-12-06
6,44,45,2023-12-11
6,45,46,2023-12-12
6,46,47,2023-12-13
6,47,48,2023-12-14
6,48,49,2023-12-15
6,49,50,2023-12-16
6,50,51,2023-12-17
6,51,52,2023-12-18
6,52,53,2023-12-19
6,53,54,2023-12-20
6,54,55,2023-12-21
6,55,56,2023-12-22
6,56,57,2023-12-23
6,57,58,2023-12-24
6,58,59,2023-12-25
6,59,60,2023-12-26
6,81,82,2024-01-17
6,82,83,2024-01-18
6,102,103,2024-02-07
6,103,104,2024-02-08
6,104,105,2024-02-09
6,107,108,2024-02-12
6,108,109,2024-02-13
6,109,110,2024-02-14
6,110,111,2024-02-15
6,111,112,2024-02-16
6,112,113,2024-02-17
6,113,114,2024-02-18
6,114,115,2024-02-19
