run_id,command,returncode,runtime_s,status,error,input_nc
October_control__single_auv_12h__baseline_STD,REUSED_EXISTING,0,0.0,REUSED,,C:\Users\pedro\Documents\Filipa_dados\results\fossum_roi_x490_step11z_minimal_prototype_based_rerun_20260606_130654\planner_inputs\October_control__single_auv_12h__baseline__5cbed14e7a.nc
October_control__single_auv_12h__prototype_boundary_alpha050,REUSED_EXISTING,0,0.0,REUSED_FAILED,,C:\Users\pedro\Documents\Filipa_dados\results\fossum_roi_x490_step11z_minimal_prototype_based_rerun_20260606_130654\planner_inputs\October_control__single_auv_12h__prototype__377074ac76.nc
October_control__single_auv_12h__prototype_crossing_gamma025,REUSED_EXISTING,0,0.0,REUSED_FAILED,,C:\Users\pedro\Documents\Filipa_dados\results\fossum_roi_x490_step11z_minimal_prototype_based_rerun_20260606_130654\planner_inputs\October_control__single_auv_12h__prototype__229d7dcf5a.nc
October_control__multi_auv_12h__baseline_STD,REUSED_EXISTING,0,0.0,REUSED,,C:\Users\pedro\Documents\Filipa_dados\results\fossum_roi_x490_step11z_minimal_prototype_based_rerun_20260606_130654\planner_inputs\October_control__multi_auv_12h__baseline_S__1a0b822f0e.nc
October_control__multi_auv_12h__prototype_vehicle_specific_maps__AUV1,REUSED_EXISTING,0,0.0,REUSED_FAILED,,C:\Users\pedro\Documents\Filipa_dados\results\fossum_roi_x490_step11z_minimal_prototype_based_rerun_20260606_130654\planner_inputs\October_control__multi_auv_12h__prototype__4fbfaa178b.nc
October_control__multi_auv_12h__prototype_vehicle_specific_maps__AUV2,REUSED_EXISTING,0,0.0,REUSED_FAILED,,C:\Users\pedro\Documents\Filipa_dados\results\fossum_roi_x490_step11z_minimal_prototype_based_rerun_20260606_130654\planner_inputs\October_control__multi_auv_12h__prototype__6ade005179.nc
October_control__multi_auv_12h__prototype_vehicle_specific_with_boundary__AUV1,REUSED_EXISTING,0,0.0,REUSED,,C:\Users\pedro\Documents\Filipa_dados\results\fossum_roi_x490_step11z_minimal_prototype_based_rerun_20260606_130654\planner_inputs\October_control__multi_auv_12h__prototype__f4ca1d8705.nc
October_control__multi_auv_12h__prototype_vehicle_specific_with_boundary__AUV2,REUSED_EXISTING,0,0.0,REUSED_FAILED,,C:\Users\pedro\Documents\Filipa_dados\results\fossum_roi_x490_step11z_minimal_prototype_based_rerun_20260606_130654\planner_inputs\October_control__multi_auv_12h__prototype__679eb55629.nc
