patch_w,patch_h,executed_runs,dictionary_size,include_valid_mask,mask_encoding,feature_mode,patches_per_image,total_patches,patch_vector_length,feature_vector_length,mean_icv_mean,mean_icv_std,std_icv_mean,std_icv_std,min_class_size_mean,min_class_size_min,mean_class_size_mean,max_class_size_mean,runtime_mean_seconds,runtime_std_seconds,requested_runs,reduced_seed_count
16,16,2,4,True,concat,raw,4753,1425900,512,19012,1564.4472198486328,219.89788723356043,570.023493527945,272.0215264800981,56.5,55,75.0,104.0,584.2463412500001,0.4678383220226108,2,False
24,16,2,4,True,concat,raw,4361,1308300,768,17444,1437.7938766479492,47.21378175114913,737.7131000733223,51.24461353957993,59.5,51,75.0,97.0,518.7769497999998,21.184350509076882,2,False
32,20,2,4,True,concat,raw,3645,1093500,1280,14580,1632.3493728637695,199.35669203240982,875.7911887685423,200.7501093108467,51.5,36,75.0,96.0,426.17442500000016,2.971935011673141,2,False
40,24,2,4,True,concat,raw,2993,897900,1920,11972,1831.0320434570312,58.28283622389785,460.981098701695,130.4724879879802,46.5,45,75.0,135.0,582.7734319499996,204.00165093586324,2,False
48,32,2,4,True,concat,raw,2145,643500,3072,8580,1528.9604034423828,6.01329925106829,718.9203610445757,201.03808736958015,50.5,46,75.0,121.0,418.47678414999973,15.82743094503967,2,False
56,32,2,4,True,concat,raw,1881,564300,3584,7524,1556.671516418457,38.73976471223098,747.1100731275548,157.61216668088966,43.5,40,75.0,132.0,385.98327339999923,36.794370231242034,2,False
64,36,2,4,True,concat,raw,1421,426300,4608,5684,1585.583267211914,298.2381672466445,814.2986250162126,141.27964660333362,40.5,29,75.0,127.5,342.81205884999963,28.021162400325693,2,False
72,40,2,4,True,concat,raw,1025,307500,5760,4100,1527.657943725586,47.74332419673407,818.2949345334753,84.66831635427792,55.0,52,75.0,108.5,394.48253425000075,120.28010226020278,2,False
80,44,2,4,True,concat,raw,693,207900,7040,2772,1952.5336990356445,72.37295521872102,946.46406226308,185.34158951130846,45.0,40,75.0,142.0,235.13890834999802,181.2937339320768,2,False
