kind,time_idx,dept_idx,depth_m,filepath
time_dept,1.0,2,2.6456689834594727,results/plots/temp_20241029_time_dept/TEMP_t01_d02_2.646m.png
time_dept,1.0,3,3.8194949626922607,results/plots/temp_20241029_time_dept/TEMP_t01_d03_3.819m.png
time_dept,1.0,4,5.078224182128906,results/plots/temp_20241029_time_dept/TEMP_t01_d04_5.078m.png
time_dept,1.0,5,6.440614223480225,results/plots/temp_20241029_time_dept/TEMP_t01_d05_6.441m.png
time_dept,1.0,6,7.92956018447876,results/plots/temp_20241029_time_dept/TEMP_t01_d06_7.930m.png
time_dept,1.0,7,9.572997093200684,results/plots/temp_20241029_time_dept/TEMP_t01_d07_9.573m.png
time_dept,1.0,8,11.404999732971191,results/plots/temp_20241029_time_dept/TEMP_t01_d08_11.405m.png
time_dept,1.0,9,13.467140197753906,results/plots/temp_20241029_time_dept/TEMP_t01_d09_13.467m.png
time_dept,1.0,10,15.810070037841797,results/plots/temp_20241029_time_dept/TEMP_t01_d10_15.810m.png
time_dept,1.0,11,18.495559692382812,results/plots/temp_20241029_time_dept/TEMP_t01_d11_18.496m.png
time_dept,1.0,12,21.598819732666016,results/plots/temp_20241029_time_dept/TEMP_t01_d12_21.599m.png
time_dept,1.0,13,25.211410522460938,results/plots/temp_20241029_time_dept/TEMP_t01_d13_25.211m.png
time_dept,1.0,14,29.444730758666992,results/plots/temp_20241029_time_dept/TEMP_t01_d14_29.445m.png
time_dept,1.0,15,34.43415069580078,results/plots/temp_20241029_time_dept/TEMP_t01_d15_34.434m.png
time_dept,1.0,16,40.344051361083984,results/plots/temp_20241029_time_dept/TEMP_t01_d16_40.344m.png
time_dept,2.0,0,0.49402499198913574,results/plots/temp_20241029_time_dept/TEMP_t02_d00_0.494m.png
time_dept,2.0,1,1.5413750410079956,results/plots/temp_20241029_time_dept/TEMP_t02_d01_1.541m.png
time_dept,2.0,2,2.6456689834594727,results/plots/temp_20241029_time_dept/TEMP_t02_d02_2.646m.png
time_dept,2.0,3,3.8194949626922607,results/plots/temp_20241029_time_dept/TEMP_t02_d03_3.819m.png
time_dept,2.0,4,5.078224182128906,results/plots/temp_20241029_time_dept/TEMP_t02_d04_5.078m.png
time_dept,2.0,5,6.440614223480225,results/plots/temp_20241029_time_dept/TEMP_t02_d05_6.441m.png
time_dept,2.0,6,7.92956018447876,results/plots/temp_20241029_time_dept/TEMP_t02_d06_7.930m.png
time_dept,2.0,7,9.572997093200684,results/plots/temp_20241029_time_dept/TEMP_t02_d07_9.573m.png
time_dept,2.0,8,11.404999732971191,results/plots/temp_20241029_time_dept/TEMP_t02_d08_11.405m.png
time_dept,2.0,9,13.467140197753906,results/plots/temp_20241029_time_dept/TEMP_t02_d09_13.467m.png
time_dept,2.0,10,15.810070037841797,results/plots/temp_20241029_time_dept/TEMP_t02_d10_15.810m.png
time_dept,2.0,11,18.495559692382812,results/plots/temp_20241029_time_dept/TEMP_t02_d11_18.496m.png
time_dept,2.0,12,21.598819732666016,results/plots/temp_20241029_time_dept/TEMP_t02_d12_21.599m.png
time_dept,2.0,13,25.211410522460938,results/plots/temp_20241029_time_dept/TEMP_t02_d13_25.211m.png
time_dept,2.0,14,29.444730758666992,results/plots/temp_20241029_time_dept/TEMP_t02_d14_29.445m.png
time_dept,2.0,15,34.43415069580078,results/plots/temp_20241029_time_dept/TEMP_t02_d15_34.434m.png
time_dept,2.0,16,40.344051361083984,results/plots/temp_20241029_time_dept/TEMP_t02_d16_40.344m.png
time_dept,3.0,0,0.49402499198913574,results/plots/temp_20241029_time_dept/TEMP_t03_d00_0.494m.png
time_dept,3.0,1,1.5413750410079956,results/plots/temp_20241029_time_dept/TEMP_t03_d01_1.541m.png
time_dept,3.0,2,2.6456689834594727,results/plots/temp_20241029_time_dept/TEMP_t03_d02_2.646m.png
time_dept,3.0,3,3.8194949626922607,results/plots/temp_20241029_time_dept/TEMP_t03_d03_3.819m.png
time_dept,3.0,4,5.078224182128906,results/plots/temp_20241029_time_dept/TEMP_t03_d04_5.078m.png
time_dept,3.0,5,6.440614223480225,results/plots/temp_20241029_time_dept/TEMP_t03_d05_6.441m.png
time_dept,3.0,6,7.92956018447876,results/plots/temp_20241029_time_dept/TEMP_t03_d06_7.930m.png
time_dept,3.0,7,9.572997093200684,results/plots/temp_20241029_time_dept/TEMP_t03_d07_9.573m.png
time_dept,3.0,8,11.404999732971191,results/plots/temp_20241029_time_dept/TEMP_t03_d08_11.405m.png
time_dept,3.0,9,13.467140197753906,results/plots/temp_20241029_time_dept/TEMP_t03_d09_13.467m.png
time_dept,3.0,10,15.810070037841797,results/plots/temp_20241029_time_dept/TEMP_t03_d10_15.810m.png
time_dept,3.0,11,18.495559692382812,results/plots/temp_20241029_time_dept/TEMP_t03_d11_18.496m.png
time_dept,3.0,12,21.598819732666016,results/plots/temp_20241029_time_dept/TEMP_t03_d12_21.599m.png
time_dept,3.0,13,25.211410522460938,results/plots/temp_20241029_time_dept/TEMP_t03_d13_25.211m.png
time_dept,3.0,14,29.444730758666992,results/plots/temp_20241029_time_dept/TEMP_t03_d14_29.445m.png
time_dept,3.0,15,34.43415069580078,results/plots/temp_20241029_time_dept/TEMP_t03_d15_34.434m.png
time_dept,3.0,16,40.344051361083984,results/plots/temp_20241029_time_dept/TEMP_t03_d16_40.344m.png
time_dept,4.0,0,0.49402499198913574,results/plots/temp_20241029_time_dept/TEMP_t04_d00_0.494m.png
time_dept,4.0,1,1.5413750410079956,results/plots/temp_20241029_time_dept/TEMP_t04_d01_1.541m.png
time_dept,4.0,2,2.6456689834594727,results/plots/temp_20241029_time_dept/TEMP_t04_d02_2.646m.png
time_dept,4.0,3,3.8194949626922607,results/plots/temp_20241029_time_dept/TEMP_t04_d03_3.819m.png
time_dept,4.0,4,5.078224182128906,results/plots/temp_20241029_time_dept/TEMP_t04_d04_5.078m.png
time_dept,4.0,5,6.440614223480225,results/plots/temp_20241029_time_dept/TEMP_t04_d05_6.441m.png
time_dept,4.0,6,7.92956018447876,results/plots/temp_20241029_time_dept/TEMP_t04_d06_7.930m.png
time_dept,4.0,7,9.572997093200684,results/plots/temp_20241029_time_dept/TEMP_t04_d07_9.573m.png
time_dept,4.0,8,11.404999732971191,results/plots/temp_20241029_time_dept/TEMP_t04_d08_11.405m.png
time_dept,4.0,9,13.467140197753906,results/plots/temp_20241029_time_dept/TEMP_t04_d09_13.467m.png
time_dept,4.0,10,15.810070037841797,results/plots/temp_20241029_time_dept/TEMP_t04_d10_15.810m.png
time_dept,4.0,11,18.495559692382812,results/plots/temp_20241029_time_dept/TEMP_t04_d11_18.496m.png
time_dept,4.0,12,21.598819732666016,results/plots/temp_20241029_time_dept/TEMP_t04_d12_21.599m.png
time_dept,4.0,13,25.211410522460938,results/plots/temp_20241029_time_dept/TEMP_t04_d13_25.211m.png
time_dept,4.0,14,29.444730758666992,results/plots/temp_20241029_time_dept/TEMP_t04_d14_29.445m.png
time_dept,4.0,15,34.43415069580078,results/plots/temp_20241029_time_dept/TEMP_t04_d15_34.434m.png
time_dept,4.0,16,40.344051361083984,results/plots/temp_20241029_time_dept/TEMP_t04_d16_40.344m.png
time_dept,5.0,0,0.49402499198913574,results/plots/temp_20241029_time_dept/TEMP_t05_d00_0.494m.png
time_dept,5.0,1,1.5413750410079956,results/plots/temp_20241029_time_dept/TEMP_t05_d01_1.541m.png
time_dept,5.0,2,2.6456689834594727,results/plots/temp_20241029_time_dept/TEMP_t05_d02_2.646m.png
time_dept,5.0,3,3.8194949626922607,results/plots/temp_20241029_time_dept/TEMP_t05_d03_3.819m.png
time_dept,5.0,4,5.078224182128906,results/plots/temp_20241029_time_dept/TEMP_t05_d04_5.078m.png
time_dept,5.0,5,6.440614223480225,results/plots/temp_20241029_time_dept/TEMP_t05_d05_6.441m.png
time_dept,5.0,6,7.92956018447876,results/plots/temp_20241029_time_dept/TEMP_t05_d06_7.930m.png
time_dept,5.0,7,9.572997093200684,results/plots/temp_20241029_time_dept/TEMP_t05_d07_9.573m.png
time_dept,5.0,8,11.404999732971191,results/plots/temp_20241029_time_dept/TEMP_t05_d08_11.405m.png
time_dept,5.0,9,13.467140197753906,results/plots/temp_20241029_time_dept/TEMP_t05_d09_13.467m.png
time_dept,5.0,10,15.810070037841797,results/plots/temp_20241029_time_dept/TEMP_t05_d10_15.810m.png
time_dept,5.0,11,18.495559692382812,results/plots/temp_20241029_time_dept/TEMP_t05_d11_18.496m.png
time_dept,5.0,12,21.598819732666016,results/plots/temp_20241029_time_dept/TEMP_t05_d12_21.599m.png
time_dept,5.0,13,25.211410522460938,results/plots/temp_20241029_time_dept/TEMP_t05_d13_25.211m.png
time_dept,5.0,14,29.444730758666992,results/plots/temp_20241029_time_dept/TEMP_t05_d14_29.445m.png
time_dept,5.0,15,34.43415069580078,results/plots/temp_20241029_time_dept/TEMP_t05_d15_34.434m.png
time_dept,5.0,16,40.344051361083984,results/plots/temp_20241029_time_dept/TEMP_t05_d16_40.344m.png
time_dept,6.0,0,0.49402499198913574,results/plots/temp_20241029_time_dept/TEMP_t06_d00_0.494m.png
time_dept,6.0,1,1.5413750410079956,results/plots/temp_20241029_time_dept/TEMP_t06_d01_1.541m.png
time_dept,6.0,2,2.6456689834594727,results/plots/temp_20241029_time_dept/TEMP_t06_d02_2.646m.png
time_dept,6.0,3,3.8194949626922607,results/plots/temp_20241029_time_dept/TEMP_t06_d03_3.819m.png
time_dept,6.0,4,5.078224182128906,results/plots/temp_20241029_time_dept/TEMP_t06_d04_5.078m.png
time_dept,6.0,5,6.440614223480225,results/plots/temp_20241029_time_dept/TEMP_t06_d05_6.441m.png
time_dept,6.0,6,7.92956018447876,results/plots/temp_20241029_time_dept/TEMP_t06_d06_7.930m.png
time_dept,6.0,7,9.572997093200684,results/plots/temp_20241029_time_dept/TEMP_t06_d07_9.573m.png
time_dept,6.0,8,11.404999732971191,results/plots/temp_20241029_time_dept/TEMP_t06_d08_11.405m.png
time_dept,6.0,9,13.467140197753906,results/plots/temp_20241029_time_dept/TEMP_t06_d09_13.467m.png
time_dept,6.0,10,15.810070037841797,results/plots/temp_20241029_time_dept/TEMP_t06_d10_15.810m.png
time_dept,6.0,11,18.495559692382812,results/plots/temp_20241029_time_dept/TEMP_t06_d11_18.496m.png
time_dept,6.0,12,21.598819732666016,results/plots/temp_20241029_time_dept/TEMP_t06_d12_21.599m.png
time_dept,6.0,13,25.211410522460938,results/plots/temp_20241029_time_dept/TEMP_t06_d13_25.211m.png
time_dept,6.0,14,29.444730758666992,results/plots/temp_20241029_time_dept/TEMP_t06_d14_29.445m.png
time_dept,6.0,15,34.43415069580078,results/plots/temp_20241029_time_dept/TEMP_t06_d15_34.434m.png
time_dept,6.0,16,40.344051361083984,results/plots/temp_20241029_time_dept/TEMP_t06_d16_40.344m.png
time_dept,7.0,0,0.49402499198913574,results/plots/temp_20241029_time_dept/TEMP_t07_d00_0.494m.png
time_dept,7.0,1,1.5413750410079956,results/plots/temp_20241029_time_dept/TEMP_t07_d01_1.541m.png
time_dept,7.0,2,2.6456689834594727,results/plots/temp_20241029_time_dept/TEMP_t07_d02_2.646m.png
time_dept,7.0,3,3.8194949626922607,results/plots/temp_20241029_time_dept/TEMP_t07_d03_3.819m.png
time_dept,7.0,4,5.078224182128906,results/plots/temp_20241029_time_dept/TEMP_t07_d04_5.078m.png
time_dept,7.0,5,6.440614223480225,results/plots/temp_20241029_time_dept/TEMP_t07_d05_6.441m.png
time_dept,7.0,6,7.92956018447876,results/plots/temp_20241029_time_dept/TEMP_t07_d06_7.930m.png
time_dept,7.0,7,9.572997093200684,results/plots/temp_20241029_time_dept/TEMP_t07_d07_9.573m.png
time_dept,7.0,8,11.404999732971191,results/plots/temp_20241029_time_dept/TEMP_t07_d08_11.405m.png
time_dept,7.0,9,13.467140197753906,results/plots/temp_20241029_time_dept/TEMP_t07_d09_13.467m.png
time_dept,7.0,10,15.810070037841797,results/plots/temp_20241029_time_dept/TEMP_t07_d10_15.810m.png
time_dept,7.0,11,18.495559692382812,results/plots/temp_20241029_time_dept/TEMP_t07_d11_18.496m.png
time_dept,7.0,12,21.598819732666016,results/plots/temp_20241029_time_dept/TEMP_t07_d12_21.599m.png
time_dept,7.0,13,25.211410522460938,results/plots/temp_20241029_time_dept/TEMP_t07_d13_25.211m.png
time_dept,7.0,14,29.444730758666992,results/plots/temp_20241029_time_dept/TEMP_t07_d14_29.445m.png
time_dept,7.0,15,34.43415069580078,results/plots/temp_20241029_time_dept/TEMP_t07_d15_34.434m.png
time_dept,7.0,16,40.344051361083984,results/plots/temp_20241029_time_dept/TEMP_t07_d16_40.344m.png
time_dept,8.0,0,0.49402499198913574,results/plots/temp_20241029_time_dept/TEMP_t08_d00_0.494m.png
time_dept,8.0,1,1.5413750410079956,results/plots/temp_20241029_time_dept/TEMP_t08_d01_1.541m.png
time_dept,8.0,2,2.6456689834594727,results/plots/temp_20241029_time_dept/TEMP_t08_d02_2.646m.png
time_dept,8.0,3,3.8194949626922607,results/plots/temp_20241029_time_dept/TEMP_t08_d03_3.819m.png
time_dept,8.0,4,5.078224182128906,results/plots/temp_20241029_time_dept/TEMP_t08_d04_5.078m.png
time_dept,8.0,5,6.440614223480225,results/plots/temp_20241029_time_dept/TEMP_t08_d05_6.441m.png
time_dept,8.0,6,7.92956018447876,results/plots/temp_20241029_time_dept/TEMP_t08_d06_7.930m.png
time_dept,8.0,7,9.572997093200684,results/plots/temp_20241029_time_dept/TEMP_t08_d07_9.573m.png
time_dept,8.0,8,11.404999732971191,results/plots/temp_20241029_time_dept/TEMP_t08_d08_11.405m.png
time_dept,8.0,9,13.467140197753906,results/plots/temp_20241029_time_dept/TEMP_t08_d09_13.467m.png
time_dept,8.0,10,15.810070037841797,results/plots/temp_20241029_time_dept/TEMP_t08_d10_15.810m.png
time_dept,8.0,11,18.495559692382812,results/plots/temp_20241029_time_dept/TEMP_t08_d11_18.496m.png
time_dept,8.0,12,21.598819732666016,results/plots/temp_20241029_time_dept/TEMP_t08_d12_21.599m.png
time_dept,8.0,13,25.211410522460938,results/plots/temp_20241029_time_dept/TEMP_t08_d13_25.211m.png
time_dept,8.0,14,29.444730758666992,results/plots/temp_20241029_time_dept/TEMP_t08_d14_29.445m.png
time_dept,8.0,15,34.43415069580078,results/plots/temp_20241029_time_dept/TEMP_t08_d15_34.434m.png
time_dept,8.0,16,40.344051361083984,results/plots/temp_20241029_time_dept/TEMP_t08_d16_40.344m.png
time_dept,9.0,0,0.49402499198913574,results/plots/temp_20241029_time_dept/TEMP_t09_d00_0.494m.png
time_dept,9.0,1,1.5413750410079956,results/plots/temp_20241029_time_dept/TEMP_t09_d01_1.541m.png
time_dept,9.0,2,2.6456689834594727,results/plots/temp_20241029_time_dept/TEMP_t09_d02_2.646m.png
time_dept,9.0,3,3.8194949626922607,results/plots/temp_20241029_time_dept/TEMP_t09_d03_3.819m.png
time_dept,9.0,4,5.078224182128906,results/plots/temp_20241029_time_dept/TEMP_t09_d04_5.078m.png
time_dept,9.0,5,6.440614223480225,results/plots/temp_20241029_time_dept/TEMP_t09_d05_6.441m.png
time_dept,9.0,6,7.92956018447876,results/plots/temp_20241029_time_dept/TEMP_t09_d06_7.930m.png
time_dept,9.0,7,9.572997093200684,results/plots/temp_20241029_time_dept/TEMP_t09_d07_9.573m.png
time_dept,9.0,8,11.404999732971191,results/plots/temp_20241029_time_dept/TEMP_t09_d08_11.405m.png
time_dept,9.0,9,13.467140197753906,results/plots/temp_20241029_time_dept/TEMP_t09_d09_13.467m.png
time_dept,9.0,10,15.810070037841797,results/plots/temp_20241029_time_dept/TEMP_t09_d10_15.810m.png
time_dept,9.0,11,18.495559692382812,results/plots/temp_20241029_time_dept/TEMP_t09_d11_18.496m.png
time_dept,9.0,12,21.598819732666016,results/plots/temp_20241029_time_dept/TEMP_t09_d12_21.599m.png
time_dept,9.0,13,25.211410522460938,results/plots/temp_20241029_time_dept/TEMP_t09_d13_25.211m.png
time_dept,9.0,14,29.444730758666992,results/plots/temp_20241029_time_dept/TEMP_t09_d14_29.445m.png
time_dept,9.0,15,34.43415069580078,results/plots/temp_20241029_time_dept/TEMP_t09_d15_34.434m.png
time_dept,9.0,16,40.344051361083984,results/plots/temp_20241029_time_dept/TEMP_t09_d16_40.344m.png
time_dept,10.0,0,0.49402499198913574,results/plots/temp_20241029_time_dept/TEMP_t10_d00_0.494m.png
time_dept,10.0,1,1.5413750410079956,results/plots/temp_20241029_time_dept/TEMP_t10_d01_1.541m.png
time_dept,10.0,2,2.6456689834594727,results/plots/temp_20241029_time_dept/TEMP_t10_d02_2.646m.png
time_dept,10.0,3,3.8194949626922607,results/plots/temp_20241029_time_dept/TEMP_t10_d03_3.819m.png
time_dept,10.0,4,5.078224182128906,results/plots/temp_20241029_time_dept/TEMP_t10_d04_5.078m.png
time_dept,10.0,5,6.440614223480225,results/plots/temp_20241029_time_dept/TEMP_t10_d05_6.441m.png
