descriptor,alpha,run_count,mean_iqr10_collected_total,mean_iqr10_collected_mean,mean_iqr10_collected_per_km,mean_percentage_path_in_top10_IQR10,mean_IQR10_retention_vs_baseline,mean_IQR10_gain_vs_baseline,mean_IQR10_gain_pct_vs_baseline,mean_collected_STD,mean_STD_retention,mean_collected_descriptor,mean_collected_information_score,mean_trajectory_length,mean_solver_runtime
boundary_distance_score_r1_cells,0.0,1,95.2975845336914,0.6228600144386292,2.5043382790763253,0.3202614379084967,1.0,0.0,0.0,90.6500473022461,1.0,17.033775329589844,90.6500473022461,38.053,1524.0095923999909
boundary_distance_score_r1_cells,0.25,1,,,,,,,,,,,,,1800.0
boundary_distance_score_r1_cells,0.5,1,,,,,,,,,,,,,1800.0
boundary_distance_score_r1_cells,0.75,1,76.66354370117188,0.507705569267273,1.9690135790720913,0.046357615894039736,0.80446470995357,-18.63404083251953,-0.19553529004643,84.84690856933594,0.9359830589656364,65.79833221435547,74.1672134399414,38.935,680.5242863000021
boundary_distance_score_r1_cells,1.0,1,45.999271392822266,0.4599927067756653,1.1733011450790019,0.0,0.48269084277324714,-49.29831314086914,-0.5173091572267529,56.245338439941406,0.620466730176188,90.07943725585938,90.07943725585938,39.205,129.99697700000252
boundary_distance_score_r3_cells,0.0,1,95.2975845336914,0.6228600144386292,2.5043382790763253,0.3202614379084967,1.0,0.0,0.0,90.6500473022461,1.0,42.84506988525391,90.6500473022461,38.053,1524.0095923999909
boundary_distance_score_r3_cells,0.25,1,76.08088684082031,0.5140600204467773,1.9650511878714858,0.0,0.7983506320028789,-19.216697692871094,-0.2016493679971211,86.64779663085938,0.955849436481347,113.56553649902344,104.88603973388672,38.717,1271.8441475
boundary_distance_score_r3_cells,0.5,1,80.86983489990234,0.49310874938964844,2.06785913112157,0.0,0.8486031969814692,-14.427749633789062,-0.15139680301853078,96.74420166015624,1.0672272606498592,126.11212158203124,123.4332046508789,39.108,949.7944231999865
boundary_distance_score_r3_cells,0.75,1,72.16889190673828,0.4626210927963257,1.8049442753786085,0.0,0.7573003267593186,-23.128692626953125,-0.24269967324068148,87.91519927978516,0.969830704959895,135.43460083007812,129.87030029296875,39.984,564.1563083000074
boundary_distance_score_r3_cells,1.0,1,77.81965637207031,0.4745101034641266,1.9400108785697983,0.0,0.8165963151412095,-17.477928161621094,-0.18340368485879058,94.48797607421876,1.0423378573557298,142.86666870117188,142.86666870117188,40.113,214.71580499998527
boundary_distance_score_r5_cells,0.0,1,95.2975845336914,0.6228600144386292,2.5043382790763253,0.3202614379084967,1.0,0.0,0.0,90.6500473022461,1.0,55.65923309326172,90.6500473022461,38.053,1524.0095923999909
boundary_distance_score_r5_cells,0.25,1,74.69993591308594,0.5260558724403381,1.959393975267179,0.0,0.783859698843433,-20.59764862060547,-0.21614030115656707,85.93846130371094,0.9480244507448988,118.62519073486328,103.78717803955078,38.124,1370.4995596999945
