mission_duration_requested_h,descriptor,alpha,mean_solver_runtime,max_solver_runtime,runs
12.0,boundary_distance_score_r1_cells,0.0,1524.0095923999907,1524.0095923999907,1
12.0,boundary_distance_score_r1_cells,0.25,1800.0,1800.0,1
12.0,boundary_distance_score_r1_cells,0.5,1800.0,1800.0,1
12.0,boundary_distance_score_r1_cells,0.75,680.5242863000021,680.5242863000021,1
12.0,boundary_distance_score_r1_cells,1.0,129.99697700000252,129.99697700000252,1
12.0,boundary_distance_score_r3_cells,0.0,1524.0095923999907,1524.0095923999907,1
12.0,boundary_distance_score_r3_cells,0.25,1271.8441475,1271.8441475,1
12.0,boundary_distance_score_r3_cells,0.5,949.7944231999863,949.7944231999863,1
12.0,boundary_distance_score_r3_cells,0.75,564.1563083000074,564.1563083000074,1
12.0,boundary_distance_score_r3_cells,1.0,214.71580499998527,214.71580499998527,1
12.0,boundary_distance_score_r5_cells,0.0,1524.0095923999907,1524.0095923999907,1
12.0,boundary_distance_score_r5_cells,0.25,1370.4995596999943,1370.4995596999943,1
12.0,boundary_distance_score_r5_cells,0.5,1128.910235599993,1128.910235599993,1
12.0,boundary_distance_score_r5_cells,0.75,625.5467343000055,625.5467343000055,1
12.0,boundary_distance_score_r5_cells,1.0,287.7381919999898,287.7381919999898,1
12.0,boundary_score,0.0,1524.0095923999907,1524.0095923999907,1
12.0,boundary_score,0.25,1501.3017230000114,1501.3017230000114,1
12.0,boundary_score,0.5,924.1077984000149,924.1077984000149,1
12.0,boundary_score,0.75,1173.4373592000047,1173.4373592000047,1
12.0,boundary_score,1.0,1023.5328992000141,1023.5328992000141,1
12.0,interest_map,0.0,1524.0095923999907,1524.0095923999907,1
12.0,interest_map,0.25,1652.19227639999,1652.19227639999,1
12.0,interest_map,0.5,1344.8490470999968,1344.8490470999968,1
12.0,interest_map,0.75,731.5585024000029,731.5585024000029,1
12.0,interest_map,1.0,370.32491490000393,370.32491490000393,1
