prototype_name,sigma,threshold,std_temp,iqr_temp,range_temp,low_ratio,high_ratio,min_region_ratio,inter_region_diff,coherence_low,coherence_high,coherence_min,mean_grad,p90_grad,front_area_ratio,threshold_method,multiotsu_thresholds,seed,scope,regime_label
prototype_class_01,1.0,-1.2506158351898193,0.09081811457872391,0.14210617542266846,0.3435105085372925,0.3574007220216607,0.6425992779783394,0.3574007220216607,0.16396498680114746,1.0,1.0,1.0,0.0036219891626387835,0.0052495189011096954,0.10007220216606498,otsu,"[-1.2975801229476929, -1.1902331113815308]",11,global,homogeneous
prototype_class_02,1.0,-0.4123326539993286,0.2420390099287033,0.40724053978919983,0.90247642993927,0.44072202166064983,0.5592779783393502,0.44072202166064983,0.4197225868701935,1.0,1.0,1.0,0.009413701482117176,0.010692484676837921,0.10007220216606498,otsu,"[-0.5498193502426147, -0.2677954137325287]",11,global,single_gradient
prototype_class_03,1.0,0.45949018001556396,0.6473730206489563,1.1770585775375366,2.197500705718994,0.45949458483754513,0.5405054151624549,0.45949458483754513,1.139560952782631,1.0,1.0,1.0,0.02381230518221855,0.027869416400790215,0.10007220216606498,otsu,"[0.0903787612915039, 0.8286016583442688]",11,global,single_gradient
prototype_class_04,1.0,0.5089282989501953,0.21924450993537903,0.28690794110298157,0.9702588319778442,0.32173285198555956,0.6782671480144404,0.32173285198555956,0.39186716079711914,1.0,1.0,1.0,0.00949530117213726,0.014162370003759861,0.10007220216606498,otsu,"[0.4407069683074951, 0.7211724519729614]",11,global,single_gradient
prototype_class_05,1.0,1.2860767841339111,0.22715821862220764,0.30780696868896484,0.9295467138290405,0.2935740072202166,0.7064259927797834,0.2935740072202166,0.4324924945831299,1.0,1.0,1.0,0.009714335203170776,0.0162188820540905,0.10007220216606498,otsu,"[1.1662523746490479, 1.4385805130004883]",11,global,single_gradient
