path,bytes
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\dendrogram\dendrogram_reference.png,59130
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\dendrogram\merge_distances.csv,7172
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\dendrogram\tree_info.json,692
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\ranking.csv,2289
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\REPORT.md,2674
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\run_fossum_step04_sd_probe_from_legacy.py,41193
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\runs.csv,2052
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_20pct\class_01_closest_to_prototype_panel.png,115050
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_20pct\class_01_distance_to_prototype.csv,1890
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_20pct\class_01_farthest_from_prototype_panel.png,115427
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_20pct\class_01_members_list.csv,1823
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_20pct\class_01_members_panel.png,114578
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_20pct\class_01_pixel_std_map.png,55291
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_20pct\class_02_closest_to_prototype_panel.png,230031
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_20pct\class_02_distance_to_prototype.csv,4439
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_20pct\class_02_farthest_from_prototype_panel.png,229047
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_20pct\class_02_members_list.csv,4329
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_20pct\class_02_members_panel.png,217314
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_20pct\class_02_pixel_std_map.png,55486
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_20pct\class_03_closest_to_prototype_panel.png,187732
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_20pct\class_03_distance_to_prototype.csv,10590
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_20pct\class_03_farthest_from_prototype_panel.png,200313
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_20pct\class_03_members_list.csv,7444
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_20pct\class_03_members_panel.png,303237
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_20pct\class_03_pixel_std_map.png,52173
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_20pct\class_04_closest_to_prototype_panel.png,181976
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_20pct\class_04_distance_to_prototype.csv,7550
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_20pct\class_04_farthest_from_prototype_panel.png,198088
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_20pct\class_04_members_list.csv,7415
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_20pct\class_04_members_panel.png,292601
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_20pct\class_04_pixel_std_map.png,50886
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_20pct\class_05_closest_to_prototype_panel.png,144622
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_20pct\class_05_distance_to_prototype.csv,7768
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_20pct\class_05_farthest_from_prototype_panel.png,145074
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_20pct\class_05_members_list.csv,7507
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_20pct\class_05_members_panel.png,219744
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_20pct\class_05_pixel_std_map.png,45819
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_20pct\class_06_closest_to_prototype_panel.png,151525
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_20pct\class_06_distance_to_prototype.csv,8468
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_20pct\class_06_farthest_from_prototype_panel.png,174492
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_20pct\class_06_members_list.csv,7423
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_20pct\class_06_members_panel.png,259649
