scope,prototype_key,prototype_name,region_id,region_label,n_pixels,temp_mean_avg,temp_std_avg,gradient_magnitude_avg,boundary_score_avg,distance_to_boundary_avg,lat_min,lat_max,lon_min,lon_max
global,class_01,prototype_class_01,1,low,2458,-1.3330721855163574,0.20772860944271088,0.9548834562301636,0.7611966729164124,17.447895050048828,39.38888931274414,39.86111068725586,-9.244745254516602,-8.916666984558105
global,class_01,prototype_class_01,2,high,4467,-1.1687730550765991,0.25292858481407166,0.4185236096382141,0.4630895256996155,31.718767166137695,39.38888931274414,39.86111068725586,-9.55555534362793,-9.1123628616333
global,class_02,prototype_class_02,1,low,3046,-0.6225287914276123,0.2752075791358948,2.0078372955322266,0.7680881023406982,20.28838348388672,39.38888931274414,39.86111068725586,-9.325325012207031,-8.916666984558105
global,class_02,prototype_class_02,2,high,3879,-0.20253178477287292,0.3840060234069824,1.2029634714126587,0.5954103469848633,26.305620193481445,39.38888931274414,39.86111068725586,-9.55555534362793,-9.118118286132812
global,class_03,prototype_class_03,1,low,3201,-0.10257261246442795,0.38534554839134216,4.974767684936523,0.7493540048599243,22.279983520507812,39.38888931274414,39.86111068725586,-9.31956958770752,-8.916666984558105
global,class_03,prototype_class_03,2,high,3724,1.0370584726333618,0.41235288977622986,3.091423988342285,0.6033294200897217,26.094213485717773,39.38888931274414,39.86111068725586,-9.55555534362793,-9.146897315979004
global,class_04,prototype_class_04,1,low,2230,0.3141805827617645,0.3942340612411499,2.6392035484313965,0.7762606143951416,16.368932723999023,39.38888931274414,39.86111068725586,-9.181431770324707,-8.916666984558105
global,class_04,prototype_class_04,2,high,4695,0.7061622738838196,0.2844335436820984,1.0651602745056152,0.4410107433795929,34.055789947509766,39.38888931274414,39.86111068725586,-9.55555534362793,-9.118118286132812
global,class_05,prototype_class_05,1,low,2031,1.07108473777771,0.4903334975242615,3.1482441425323486,0.8188349008560181,14.29935073852539,39.38888931274414,39.86111068725586,-9.20445442199707,-8.916666984558105
global,class_05,prototype_class_05,2,high,4894,1.5040202140808105,0.38661298155784607,0.949101448059082,0.39201924204826355,34.79579544067383,39.38888931274414,39.86111068725586,-9.55555534362793,-9.08358383178711
local_class02,k2::subclass_01,subclass_prototype_01,1,low,3077,-0.6728276014328003,0.2419348955154419,1.6932629346847534,0.7572113871574402,20.907987594604492,39.38888931274414,39.86111068725586,-9.31956958770752,-8.916666984558105
local_class02,k2::subclass_01,subclass_prototype_01,2,high,3848,-0.31173110008239746,0.25845471024513245,1.0607551336288452,0.6069349050521851,26.584869384765625,39.38888931274414,39.86111068725586,-9.55555534362793,-9.135385513305664
local_class02,k2::subclass_02,subclass_prototype_02,1,low,2959,-0.3149801790714264,0.20040805637836456,3.974824905395508,0.7865607142448425,18.784582138061523,39.38888931274414,39.86111068725586,-9.336836814880371,-8.916666984558105
local_class02,k2::subclass_02,subclass_prototype_02,2,high,3966,0.4745020866394043,0.3140270411968231,2.1740405559539795,0.5708677768707275,25.480409622192383,39.38888931274414,39.86111068725586,-9.55555534362793,-9.077828407287598
