dictionary_size,patch_w,patch_h,seed,patches_per_image,total_patches,patch_vector_length,number_of_classes,class_sizes,icv_class_01,icv_class_02,icv_class_03,icv_class_04,mean_icv,std_icv,min_class_size,mean_class_size,max_class_size,runtime_seconds,notes
2,72,40,11,1025,307500,2880,4,"[77, 71, 68, 84]",26857.73828125,5198.4443359375,11395.560546875,1757.130859375,11302.218505859375,9622.209537258892,68,75.0,84,72.61160809997818,ok
2,72,40,23,1025,307500,2880,4,"[96, 59, 127, 18]",10715.28515625,24065.91796875,2196.35546875,1200.17822265625,9544.434204101562,9163.313424519358,18,75.0,127,72.60927570000058,ok
2,72,40,37,1025,307500,2880,4,"[166, 88, 19, 27]",3148.89453125,17440.71484375,1299.41357421875,1499.828369140625,5847.212829589844,6731.8727020347105,19,75.0,166,75.31933189998381,ok
2,72,40,53,1025,307500,2880,4,"[152, 61, 31, 56]",2456.4775390625,20411.783203125,1920.60498046875,12234.8701171875,9255.933959960938,7638.172095176156,31,75.0,152,72.3729747000034,ok
2,72,40,71,1025,307500,2880,4,"[166, 87, 22, 25]",3148.89453125,17376.20703125,1206.03369140625,1685.401611328125,5854.134216308594,6690.658669515513,22,75.0,166,77.6231756999914,ok
3,72,40,11,1025,307500,2880,4,"[133, 53, 89, 25]",2278.7470703125,22533.3203125,11009.828125,1367.2008056640625,9297.27407836914,8518.67866438178,25,75.0,133,110.41053190000821,ok
3,72,40,23,1025,307500,2880,4,"[96, 63, 119, 22]",18920.11328125,8061.560546875,1930.69287109375,13141.0205078125,10513.346801757812,6269.999921837723,22,75.0,119,108.62481209999532,ok
3,72,40,37,1025,307500,2880,4,"[77, 55, 85, 83]",26857.73828125,2009.019287109375,10316.302734375,662.612060546875,9961.418090820312,10432.16204113109,55,75.0,85,112.7703258000256,ok
3,72,40,53,1025,307500,2880,4,"[122, 60, 56, 62]",4881.7080078125,30258.458984375,934.900146484375,15260.0673828125,12833.783630371094,11339.368356634719,56,75.0,122,117.37117969998508,ok
3,72,40,71,1025,307500,2880,4,"[57, 130, 87, 26]",1891.622314453125,1381.648193359375,17376.20703125,1402.974609375,5513.113037109375,6852.197344983244,26,75.0,130,113.06724470001063,ok
4,72,40,11,1025,307500,2880,4,"[81, 66, 72, 81]",25871.05859375,4755.7158203125,11079.1328125,1434.2490234375,10785.0390625,9373.693102833835,66,75.0,81,128.2034069999936,ok
4,72,40,23,1025,307500,2880,4,"[111, 86, 19, 84]",19084.2109375,5162.02880859375,1310.168212890625,1479.317138671875,6758.9312744140625,7280.555620651039,19,75.0,111,124.430892400007,ok
4,72,40,37,1025,307500,2880,4,"[58, 53, 84, 105]",20066.4921875,2088.79150390625,13466.2880859375,2023.650146484375,9411.305480957031,7716.419991859089,53,75.0,105,126.87811499999953,ok
4,72,40,53,1025,307500,2880,4,"[92, 88, 93, 27]",18953.09375,6233.4140625,1388.144775390625,1558.2490234375,7033.225402832031,7151.315634888151,27,75.0,93,130.13610760000302,ok
4,72,40,71,1025,307500,2880,4,"[57, 130, 87, 26]",1891.622314453125,1381.648193359375,17376.20703125,1402.974609375,5513.113037109375,6852.197344983244,26,75.0,130,124.0835769000114,ok
5,72,40,11,1025,307500,2880,4,"[72, 75, 60, 93]",27316.328125,1188.655029296875,14163.0234375,4846.603515625,11878.652526855469,10090.415478625031,60,75.0,93,136.95881909999298,ok
5,72,40,23,1025,307500,2880,4,"[70, 91, 86, 53]",28365.853515625,5928.70947265625,1467.0546875,14752.33203125,12628.487426757812,10266.93738105842,53,75.0,91,137.59169840000686,ok
5,72,40,37,1025,307500,2880,4,"[102, 149, 33, 16]",22996.41796875,2724.79541015625,1453.402587890625,1052.786865234375,7056.8507080078125,9223.393098886008,16,75.0,149,140.7133697999816,ok
5,72,40,53,1025,307500,2880,4,"[92, 46, 94, 68]",1504.2705078125,31994.59375,6168.8310546875,17185.0,14213.173828125,11739.232507871848,46,75.0,94,134.1714043999964,ok
5,72,40,71,1025,307500,2880,4,"[51, 136, 87, 26]",1912.306884765625,1713.100341796875,17376.20703125,1402.974609375,5601.147216796875,6800.756178048768,26,75.0,136,127.79854350001551,ok
6,72,40,11,1025,307500,2880,4,"[88, 46, 93, 73]",1293.711669921875,30570.947265625,5589.6396484375,17091.880859375,13636.544860839844,11355.742449815649,46,75.0,93,139.82473270001356,ok
6,72,40,23,1025,307500,2880,4,"[73, 102, 67, 58]",27857.76171875,4330.70703125,13267.1796875,1233.1993408203125,11672.211944580078,10336.665590592935,58,75.0,102,132.59507370000938,ok
6,72,40,37,1025,307500,2880,4,"[77, 62, 61, 100]",15147.173828125,2243.26953125,28830.68359375,2487.95703125,12177.27099609375,10939.87733240548,61,75.0,100,156.5037748000177,ok
6,72,40,53,1025,307500,2880,4,"[91, 59, 85, 65]",4247.794921875,30583.78515625,13879.78515625,1226.7034912109375,12484.517181396484,11446.748846404334,59,75.0,91,124.0199059000006,ok
6,72,40,71,1025,307500,2880,4,"[53, 134, 87, 26]",1796.608642578125,1649.62744140625,17376.20703125,1402.974609375,5556.354431152344,6825.644357844442,26,75.0,134,142.75222620001296,ok
7,72,40,11,1025,307500,2880,4,"[98, 65, 63, 74]",1535.0347900390625,4921.041015625,29587.978515625,13687.0478515625,12432.77554321289,10851.970986697435,63,75.0,98,139.02798879999318,ok
