dictionary_size,patch_w,patch_h,seed,patches_per_image,total_patches,patch_vector_length,number_of_classes,class_sizes,icv_class_01,icv_class_02,icv_class_03,icv_class_04,mean_icv,std_icv,min_class_size,mean_class_size,max_class_size,runtime_seconds,notes
7,72,40,23,1025,307500,2880,4,"[107, 118, 55, 20]",18737.306640625,4789.85888671875,1239.8369140625,1164.7890625,6482.9478759765625,7225.110462521729,20,75.0,118,143.44135780000943,ok
7,72,40,37,1025,307500,2880,4,"[89, 75, 54, 82]",15435.7685546875,2186.23046875,29075.31640625,621.6242065429688,11829.734909057617,11500.353073273176,54,75.0,89,157.4536056999932,ok
7,72,40,53,1025,307500,2880,4,"[109, 70, 56, 65]",2669.5146484375,27853.044921875,14521.6171875,3854.560546875,12224.684326171875,10135.109707470125,56,75.0,109,138.01833500000066,ok
7,72,40,71,1025,307500,2880,4,"[33, 133, 48, 86]",2133.63916015625,1530.8421630859375,1446.3447265625,17905.71484375,5754.135223388672,7020.721869074599,33,75.0,133,152.22169320000103,ok
8,72,40,11,1025,307500,2880,4,"[81, 62, 85, 72]",1733.62255859375,30004.76171875,12994.64453125,4007.94873046875,12185.244384765625,11116.371818498083,62,75.0,85,153.16584959998727,ok
8,72,40,23,1025,307500,2880,4,"[70, 82, 90, 58]",28286.345703125,3966.218017578125,11829.833984375,1233.1993408203125,11328.89926147461,10534.919997384568,58,75.0,90,154.01724370001466,ok
8,72,40,37,1025,307500,2880,4,"[74, 53, 67, 106]",13455.873046875,1974.5672607421875,28740.2578125,3069.6796875,11810.094451904297,10752.574854215463,53,75.0,106,159.97886959998868,ok
8,72,40,53,1025,307500,2880,4,"[110, 44, 63, 83]",1607.7034912109375,31389.478515625,4687.9287109375,16645.720703125,13582.70785522461,11715.171302655912,44,75.0,110,152.48241470000357,ok
8,72,40,71,1025,307500,2880,4,"[106, 128, 26, 40]",18109.248046875,1384.6162109375,1402.974609375,1208.33642578125,5526.2938232421875,7265.169438217505,26,75.0,128,150.80006419998244,ok
9,72,40,11,1025,307500,2880,4,"[82, 70, 82, 66]",1723.2115478515625,28286.345703125,4282.10595703125,13613.14453125,11976.201934814453,10404.605898320677,66,75.0,82,152.4690989999799,ok
9,72,40,23,1025,307500,2880,4,"[76, 71, 96, 57]",2496.6923828125,28020.19921875,11154.845703125,1742.0262451171875,10853.440887451172,10578.770708622622,57,75.0,96,147.9385476000025,ok
9,72,40,37,1025,307500,2880,4,"[123, 53, 21, 103]",16991.32421875,2043.144775390625,1256.0986328125,2664.328125,5738.723937988281,6515.8299100564855,21,75.0,123,172.55853390000993,ok
9,72,40,53,1025,307500,2880,4,"[112, 47, 64, 77]",1664.1475830078125,31544.283203125,5385.87109375,16402.00390625,13749.076446533203,11615.68031827732,47,75.0,112,160.63784539999324,ok
9,72,40,71,1025,307500,2880,4,"[116, 93, 58, 33]",1343.672607421875,19837.56640625,4084.603271484375,2516.239990234375,6945.520568847656,7506.47921270429,33,75.0,116,153.52372249998734,ok
10,72,40,11,1025,307500,2880,4,"[98, 67, 67, 68]",1465.9951171875,28490.109375,4887.35546875,13976.3857421875,12204.96142578125,10454.864204715788,67,75.0,98,160.67334859998664,ok
10,72,40,23,1025,307500,2880,4,"[68, 71, 71, 90]",2449.67919921875,28239.740234375,13091.671875,3461.80126953125,11810.72314453125,10354.794450028847,68,75.0,90,148.54383149999194,ok
10,72,40,37,1025,307500,2880,4,"[72, 63, 50, 115]",3282.8359375,19996.345703125,6220.830078125,2547.336181640625,8011.836975097656,7054.437874353623,50,75.0,115,172.02556310000364,ok
10,72,40,53,1025,307500,2880,4,"[112, 77, 64, 47]",1664.1475830078125,26820.19921875,5385.87109375,13927.11328125,11949.332794189453,9668.48421669039,47,75.0,112,149.4808320000011,ok
10,72,40,71,1025,307500,2880,4,"[116, 93, 60, 31]",1327.633544921875,19837.56640625,4235.00244140625,2261.51318359375,6915.428894042969,7534.067828139195,31,75.0,116,149.57123729999876,ok
11,72,40,11,1025,307500,2880,4,"[101, 34, 71, 94]",8758.79296875,2061.588623046875,28065.98828125,1353.866455078125,10060.05908203125,10789.811161064303,34,75.0,101,159.5911503000243,ok
11,72,40,23,1025,307500,2880,4,"[69, 70, 71, 90]",2783.87109375,28286.345703125,13157.603515625,2515.695068359375,11685.878845214844,10500.946218252318,69,75.0,90,144.11344519999693,ok
11,72,40,37,1025,307500,2880,4,"[30, 43, 141, 86]",2204.700927734375,32341.177734375,2827.72509765625,13301.017578125,12668.655334472656,12183.454655125957,30,75.0,141,167.75653479999164,ok
11,72,40,53,1025,307500,2880,4,"[61, 110, 70, 59]",30275.3125,1810.4072265625,5587.607421875,15135.36328125,13202.172607421875,10988.43998744143,59,75.0,110,159.2413014000049,ok
11,72,40,71,1025,307500,2880,4,"[127, 76, 40, 57]",22046.8515625,1349.448486328125,1683.7032470703125,2826.22998046875,6976.558319091797,8718.05086650826,40,75.0,127,162.82548930001212,ok
12,72,40,11,1025,307500,2880,4,"[79, 96, 40, 85]",6082.935546875,2603.89501953125,30839.21875,15744.9951171875,13817.761108398438,10943.29212686602,40,75.0,96,160.08789950000937,ok
12,72,40,23,1025,307500,2880,4,"[77, 55, 70, 98]",12868.787109375,2025.1724853515625,28286.345703125,2292.56396484375,11368.217315673828,10702.04125723096,55,75.0,98,147.7275000999798,ok
12,72,40,37,1025,307500,2880,4,"[102, 90, 50, 58]",23176.39453125,2248.5517578125,2626.0361328125,1307.60986328125,7339.6480712890625,9155.946463359138,50,75.0,102,162.49925319998874,ok
12,72,40,53,1025,307500,2880,4,"[100, 45, 77, 78]",5786.14990234375,32154.42578125,1220.05615234375,16728.43359375,13972.266357421875,11914.47383310222,45,75.0,100,161.82601580000482,ok
12,72,40,71,1025,307500,2880,4,"[114, 106, 20, 60]",21614.10546875,3129.95751953125,1260.258544921875,3212.99365234375,7304.328796386719,8298.567533548663,20,75.0,114,156.03425960001186,ok
