separation_distance,sd_fraction_of_max,max_merge_distance,number_of_classes,class_sizes,min_class_size,mean_class_size,max_class_size,singleton_count,mean_icv,std_icv,icv_per_class,behavior_label,behavior_reason,output_dir,seed,run_dir
208.7400160728831,0.2,1043.7000803644153,7,"[66, 76, 41, 20, 34, 34, 29]",20,42.85714285714285,76,0,1383.2488316127233,433.5609880290925,"[991.7652587890625, 761.7012939453125, 1504.5955810546875, 2071.759521484375, 1165.7445068359375, 1868.978515625, 1318.1971435546875]",plausivel,sem sinais fortes de fragmentacao/mistura,results/fossum/faithful_initial_sd_refined_local_probe/w72_h40_xds04_seed11_scalerON_refined_local_20260325/sd_20pct,11,w72_h40_xds04_seed11_scalerON_refined_local_20260325
229.61401768017137,0.22,1043.7000803644153,7,"[66, 76, 41, 20, 34, 34, 29]",20,42.85714285714285,76,0,1383.2488316127233,433.5609880290925,"[991.7652587890625, 761.7012939453125, 1504.5955810546875, 2071.759521484375, 1165.7445068359375, 1868.978515625, 1318.1971435546875]",plausivel,sem sinais fortes de fragmentacao/mistura,results/fossum/faithful_initial_sd_refined_local_probe/w72_h40_xds04_seed11_scalerON_refined_local_20260325/sd_22pct,11,w72_h40_xds04_seed11_scalerON_refined_local_20260325
250.48801928745965,0.24,1043.7000803644153,6,"[66, 76, 41, 20, 34, 63]",20,50.0,76,0,1457.8725992838542,547.1750125374199,"[991.7652587890625, 761.7012939453125, 1504.5955810546875, 2071.759521484375, 1165.7445068359375, 2251.66943359375]",plausivel,sem sinais fortes de fragmentacao/mistura,results/fossum/faithful_initial_sd_refined_local_probe/w72_h40_xds04_seed11_scalerON_refined_local_20260325/sd_24pct,11,w72_h40_xds04_seed11_scalerON_refined_local_20260325
271.362020894748,0.26,1043.7000803644153,5,"[66, 117, 20, 34, 63]",20,60.0,117,0,1601.5348876953126,492.1612146847112,"[991.7652587890625, 1526.7357177734375, 2071.759521484375, 1165.7445068359375, 2251.66943359375]",plausivel,sem sinais fortes de fragmentacao/mistura,results/fossum/faithful_initial_sd_refined_local_probe/w72_h40_xds04_seed11_scalerON_refined_local_20260325/sd_26pct,11,w72_h40_xds04_seed11_scalerON_refined_local_20260325
292.2360225020363,0.28,1043.7000803644153,5,"[66, 117, 20, 34, 63]",20,60.0,117,0,1601.5348876953126,492.1612146847112,"[991.7652587890625, 1526.7357177734375, 2071.759521484375, 1165.7445068359375, 2251.66943359375]",plausivel,sem sinais fortes de fragmentacao/mistura,results/fossum/faithful_initial_sd_refined_local_probe/w72_h40_xds04_seed11_scalerON_refined_local_20260325/sd_28pct,11,w72_h40_xds04_seed11_scalerON_refined_local_20260325
313.11002410932457,0.3,1043.7000803644153,5,"[66, 117, 20, 34, 63]",20,60.0,117,0,1601.5348876953126,492.1612146847112,"[991.7652587890625, 1526.7357177734375, 2071.759521484375, 1165.7445068359375, 2251.66943359375]",plausivel,sem sinais fortes de fragmentacao/mistura,results/fossum/faithful_initial_sd_refined_local_probe/w72_h40_xds04_seed11_scalerON_refined_local_20260325/sd_30pct,11,w72_h40_xds04_seed11_scalerON_refined_local_20260325
205.094645568196,0.2,1025.47322784098,9,"[52, 125, 7, 11, 29, 10, 40, 15, 11]",7,33.333333333333336,125,0,1042.8567877875437,467.22579731401584,"[533.4765014648438, 1205.234130859375, 370.4287109375, 478.2472229003906, 1608.7705078125, 805.8353881835938, 1479.9674072265625, 1505.844970703125, 1397.90625]",fragmenta demais,n_classes alto,results/fossum/faithful_initial_sd_refined_local_probe/w72_h40_xds04_seed23_scalerON_refined_local_20260325/sd_20pct,23,w72_h40_xds04_seed23_scalerON_refined_local_20260325
225.6041101250156,0.22,1025.47322784098,8,"[52, 125, 18, 29, 10, 40, 15, 11]",10,37.5,125,0,1213.984130859375,349.4457223437477,"[533.4765014648438, 1205.234130859375, 1174.837890625, 1608.7705078125, 805.8353881835938, 1479.9674072265625, 1505.844970703125, 1397.90625]",fragmenta demais,n_classes alto,results/fossum/faithful_initial_sd_refined_local_probe/w72_h40_xds04_seed23_scalerON_refined_local_20260325/sd_22pct,23,w72_h40_xds04_seed23_scalerON_refined_local_20260325
246.1135746818352,0.24,1025.47322784098,7,"[52, 125, 18, 29, 10, 40, 26]",10,42.85714285714285,125,0,1463.645751953125,875.4707395628748,"[533.4765014648438, 1205.234130859375, 1174.837890625, 1608.7705078125, 805.8353881835938, 1479.9674072265625, 3437.3984375]",plausivel,sem sinais fortes de fragmentacao/mistura,results/fossum/faithful_initial_sd_refined_local_probe/w72_h40_xds04_seed23_scalerON_refined_local_20260325/sd_24pct,23,w72_h40_xds04_seed23_scalerON_refined_local_20260325
266.6230392386548,0.26,1025.47322784098,6,"[52, 125, 18, 39, 40, 26]",18,50.0,125,0,1582.057139078776,900.5885024114659,"[533.4765014648438, 1205.234130859375, 1174.837890625, 1661.428466796875, 1479.9674072265625, 3437.3984375]",plausivel,sem sinais fortes de fragmentacao/mistura,results/fossum/faithful_initial_sd_refined_local_probe/w72_h40_xds04_seed23_scalerON_refined_local_20260325/sd_26pct,23,w72_h40_xds04_seed23_scalerON_refined_local_20260325
287.1325037954744,0.28,1025.47322784098,6,"[52, 125, 18, 39, 40, 26]",18,50.0,125,0,1582.057139078776,900.5885024114659,"[533.4765014648438, 1205.234130859375, 1174.837890625, 1661.428466796875, 1479.9674072265625, 3437.3984375]",plausivel,sem sinais fortes de fragmentacao/mistura,results/fossum/faithful_initial_sd_refined_local_probe/w72_h40_xds04_seed23_scalerON_refined_local_20260325/sd_28pct,23,w72_h40_xds04_seed23_scalerON_refined_local_20260325
307.641968352294,0.3,1025.47322784098,5,"[52, 125, 57, 40, 26]",26,60.0,125,0,2018.333459472656,1198.176326661906,"[533.4765014648438, 1205.234130859375, 3435.5908203125, 1479.9674072265625, 3437.3984375]",plausivel,sem sinais fortes de fragmentacao/mistura,results/fossum/faithful_initial_sd_refined_local_probe/w72_h40_xds04_seed23_scalerON_refined_local_20260325/sd_30pct,23,w72_h40_xds04_seed23_scalerON_refined_local_20260325
199.19810769785587,0.2,995.9905384892792,11,"[30, 14, 25, 115, 23, 6, 30, 27, 14, 8, 8]",6,27.272727272727277,115,0,856.8575716885654,388.322552814774,"[365.30865478515625, 389.1661376953125, 858.8690185546875, 1290.479248046875, 784.692626953125, 662.5283813476562, 517.508056640625, 1213.7259521484375, 1670.56787109375, 660.3731079101562, 1012.2142333984375]",fragmenta demais,n_classes alto,results/fossum/faithful_initial_sd_refined_local_probe/w72_h40_xds04_seed37_scalerON_refined_local_20260325/sd_20pct,37,w72_h40_xds04_seed37_scalerON_refined_local_20260325
219.11791846764143,0.22,995.9905384892792,9,"[30, 14, 140, 23, 6, 30, 27, 14, 16]",6,33.333333333333336,140,0,964.726033528646,538.0125973033508,"[365.30865478515625, 389.1661376953125, 1969.53125, 784.692626953125, 662.5283813476562, 517.508056640625, 1213.7259521484375, 1670.56787109375, 1109.50537109375]",fragmenta demais,n_classes alto,results/fossum/faithful_initial_sd_refined_local_probe/w72_h40_xds04_seed37_scalerON_refined_local_20260325/sd_22pct,37,w72_h40_xds04_seed37_scalerON_refined_local_20260325
239.03772923742704,0.24,995.9905384892792,7,"[30, 14, 140, 59, 27, 14, 16]",14,42.85714285714285,140,0,1272.4325561523438,667.4030134992327,"[365.30865478515625, 389.1661376953125, 1969.53125, 2189.22265625, 1213.7259521484375, 1670.56787109375, 1109.50537109375]",plausivel,sem sinais fortes de fragmentacao/mistura,results/fossum/faithful_initial_sd_refined_local_probe/w72_h40_xds04_seed37_scalerON_refined_local_20260325/sd_24pct,37,w72_h40_xds04_seed37_scalerON_refined_local_20260325
258.95754000721263,0.26,995.9905384892792,6,"[30, 154, 59, 27, 14, 16]",14,50.0,154,0,1481.916534423828,675.161214253502,"[365.30865478515625, 2343.168701171875, 2189.22265625, 1213.7259521484375, 1670.56787109375, 1109.50537109375]",plausivel,sem sinais fortes de fragmentacao/mistura,results/fossum/faithful_initial_sd_refined_local_probe/w72_h40_xds04_seed37_scalerON_refined_local_20260325/sd_26pct,37,w72_h40_xds04_seed37_scalerON_refined_local_20260325
278.87735077699824,0.28,995.9905384892792,6,"[30, 154, 59, 27, 14, 16]",14,50.0,154,0,1481.916534423828,675.161214253502,"[365.30865478515625, 2343.168701171875, 2189.22265625, 1213.7259521484375, 1670.56787109375, 1109.50537109375]",plausivel,sem sinais fortes de fragmentacao/mistura,results/fossum/faithful_initial_sd_refined_local_probe/w72_h40_xds04_seed37_scalerON_refined_local_20260325/sd_28pct,37,w72_h40_xds04_seed37_scalerON_refined_local_20260325
298.7971615467838,0.3,995.9905384892792,6,"[30, 154, 59, 27, 14, 16]",14,50.0,154,0,1481.916534423828,675.161214253502,"[365.30865478515625, 2343.168701171875, 2189.22265625, 1213.7259521484375, 1670.56787109375, 1109.50537109375]",plausivel,sem sinais fortes de fragmentacao/mistura,results/fossum/faithful_initial_sd_refined_local_probe/w72_h40_xds04_seed37_scalerON_refined_local_20260325/sd_30pct,37,w72_h40_xds04_seed37_scalerON_refined_local_20260325
220.84030261592332,0.2,1104.2015130796167,7,"[80, 117, 15, 10, 5, 42, 31]",5,42.85714285714285,117,0,1046.8258100237165,486.3985307567439,"[1277.281005859375, 1676.746337890625, 877.8408203125, 975.00244140625, 140.68850708007812, 1584.010986328125, 796.2105712890625]",plausivel,sem sinais fortes de fragmentacao/mistura,results/fossum/faithful_initial_sd_refined_local_probe/w72_h40_xds04_seed53_scalerON_refined_local_20260325/sd_20pct,53,w72_h40_xds04_seed53_scalerON_refined_local_20260325
242.92433287751567,0.22,1104.2015130796167,6,"[80, 117, 15, 15, 42, 31]",15,50.0,117,0,1182.8480428059895,352.3769494483816,"[1277.281005859375, 1676.746337890625, 877.8408203125, 884.99853515625, 1584.010986328125, 796.2105712890625]",plausivel,sem sinais fortes de fragmentacao/mistura,results/fossum/faithful_initial_sd_refined_local_probe/w72_h40_xds04_seed53_scalerON_refined_local_20260325/sd_22pct,53,w72_h40_xds04_seed53_scalerON_refined_local_20260325
265.008363139108,0.24,1104.2015130796167,6,"[80, 117, 15, 15, 42, 31]",15,50.0,117,0,1182.8480428059895,352.3769494483816,"[1277.281005859375, 1676.746337890625, 877.8408203125, 884.99853515625, 1584.010986328125, 796.2105712890625]",plausivel,sem sinais fortes de fragmentacao/mistura,results/fossum/faithful_initial_sd_refined_local_probe/w72_h40_xds04_seed53_scalerON_refined_local_20260325/sd_24pct,53,w72_h40_xds04_seed53_scalerON_refined_local_20260325
287.0923934007004,0.26,1104.2015130796167,5,"[80, 117, 30, 42, 31]",30,60.0,117,0,1373.1618896484374,317.419898881316,"[1277.281005859375, 1676.746337890625, 1531.560546875, 1584.010986328125, 796.2105712890625]",plausivel,sem sinais fortes de fragmentacao/mistura,results/fossum/faithful_initial_sd_refined_local_probe/w72_h40_xds04_seed53_scalerON_refined_local_20260325/sd_26pct,53,w72_h40_xds04_seed53_scalerON_refined_local_20260325
309.1764236622927,0.28,1104.2015130796167,5,"[80, 117, 30, 42, 31]",30,60.0,117,0,1373.1618896484374,317.419898881316,"[1277.281005859375, 1676.746337890625, 1531.560546875, 1584.010986328125, 796.2105712890625]",plausivel,sem sinais fortes de fragmentacao/mistura,results/fossum/faithful_initial_sd_refined_local_probe/w72_h40_xds04_seed53_scalerON_refined_local_20260325/sd_28pct,53,w72_h40_xds04_seed53_scalerON_refined_local_20260325
331.260453923885,0.3,1104.2015130796167,5,"[80, 117, 30, 42, 31]",30,60.0,117,0,1373.1618896484374,317.419898881316,"[1277.281005859375, 1676.746337890625, 1531.560546875, 1584.010986328125, 796.2105712890625]",plausivel,sem sinais fortes de fragmentacao/mistura,results/fossum/faithful_initial_sd_refined_local_probe/w72_h40_xds04_seed53_scalerON_refined_local_20260325/sd_30pct,53,w72_h40_xds04_seed53_scalerON_refined_local_20260325
227.88579314534897,0.2,1139.4289657267448,7,"[70, 113, 19, 16, 37, 2, 43]",2,42.85714285714285,113,0,1507.4325000217982,1365.4230991491909,"[1085.999755859375, 1193.104248046875, 1165.1512451171875, 1079.135986328125, 1245.7373046875, 63.12356948852539, 4719.775390625]",fragmenta demais,classe minima muito pequena,results/fossum/faithful_initial_sd_refined_local_probe/w72_h40_xds04_seed71_scalerON_refined_local_20260325/sd_20pct,71,w72_h40_xds04_seed71_scalerON_refined_local_20260325
250.67437245988384,0.22,1139.4289657267448,7,"[70, 113, 19, 16, 37, 2, 43]",2,42.85714285714285,113,0,1507.4325000217982,1365.4230991491909,"[1085.999755859375, 1193.104248046875, 1165.1512451171875, 1079.135986328125, 1245.7373046875, 63.12356948852539, 4719.775390625]",fragmenta demais,classe minima muito pequena,results/fossum/faithful_initial_sd_refined_local_probe/w72_h40_xds04_seed71_scalerON_refined_local_20260325/sd_22pct,71,w72_h40_xds04_seed71_scalerON_refined_local_20260325
273.46295177441874,0.24,1139.4289657267448,5,"[70, 113, 19, 16, 82]",16,60.0,113,0,1628.3793212890623,996.041180679374,"[1085.999755859375, 1193.104248046875, 1165.1512451171875, 1079.135986328125, 3618.50537109375]",plausivel,sem sinais fortes de fragmentacao/mistura,results/fossum/faithful_initial_sd_refined_local_probe/w72_h40_xds04_seed71_scalerON_refined_local_20260325/sd_24pct,71,w72_h40_xds04_seed71_scalerON_refined_local_20260325
296.25153108895364,0.26,1139.4289657267448,4,"[70, 113, 19, 98]",19,75.0,113,0,1701.5569763183594,959.445960851134,"[1085.999755859375, 1193.104248046875, 1165.1512451171875, 3361.97265625]",plausivel,sem sinais fortes de fragmentacao/mistura,results/fossum/faithful_initial_sd_refined_local_probe/w72_h40_xds04_seed71_scalerON_refined_local_20260325/sd_26pct,71,w72_h40_xds04_seed71_scalerON_refined_local_20260325
319.04011040348854,0.28,1139.4289657267448,4,"[70, 113, 19, 98]",19,75.0,113,0,1701.5569763183594,959.445960851134,"[1085.999755859375, 1193.104248046875, 1165.1512451171875, 3361.97265625]",plausivel,sem sinais fortes de fragmentacao/mistura,results/fossum/faithful_initial_sd_refined_local_probe/w72_h40_xds04_seed71_scalerON_refined_local_20260325/sd_28pct,71,w72_h40_xds04_seed71_scalerON_refined_local_20260325
341.82868971802344,0.3,1139.4289657267448,4,"[70, 113, 19, 98]",19,75.0,113,0,1701.5569763183594,959.445960851134,"[1085.999755859375, 1193.104248046875, 1165.1512451171875, 3361.97265625]",plausivel,sem sinais fortes de fragmentacao/mistura,results/fossum/faithful_initial_sd_refined_local_probe/w72_h40_xds04_seed71_scalerON_refined_local_20260325/sd_30pct,71,w72_h40_xds04_seed71_scalerON_refined_local_20260325
