sd_fraction_of_max,mean_classes,n_seeds,n_six,n_five,n_fragmented
0.2,8.2,5,0,0,3
0.22,7.4,5,1,0,3
0.24,6.2,5,2,1,0
0.26,5.2,5,2,2,0
0.28,5.2,5,2,2,0
0.3,5.0,5,1,3,0
