route_id,waypoint_order,lat,lon,depth_m,route_length_km,route_minimum_depth_m
1,0,39.57266,-9.292792,110.0299,35.967,57.319702
1,1,39.559467,-9.263387,93.86364,35.967,57.319702
1,2,39.57002,-9.242001,88.52896,35.967,57.319702
1,3,39.559467,-9.217941,69.59827,35.967,57.319702
1,4,39.567383,-9.209921,68.9006,35.967,57.319702
1,5,39.567383,-9.191209,57.319702,35.967,57.319702
1,6,39.577934,-9.188536,63.725464,35.967,57.319702
1,7,39.577934,-9.175169,57.50154,35.967,57.319702
1,8,39.591125,-9.175169,76.23458,35.967,57.319702
1,9,39.60168,-9.169823,95.24855,35.967,57.319702
1,10,39.612232,-9.156456,112.829834,35.967,57.319702
1,11,39.622784,-9.156456,123.2152,35.967,57.319702
1,12,39.638615,-9.172496,161.98956,35.967,57.319702
1,13,39.6307,-9.180515,151.91335,35.967,57.319702
1,14,39.620148,-9.172496,128.73962,35.967,57.319702
1,15,39.604317,-9.191209,95.30632,35.967,57.319702
1,16,39.593765,-9.191209,82.24967,35.967,57.319702
1,17,39.58321,-9.201901,74.47029,35.967,57.319702
1,18,39.577934,-9.215268,78.28218,35.967,57.319702
1,19,39.580574,-9.23398,89.39218,35.967,57.319702
1,20,39.5753,-9.252693,96.040825,35.967,57.319702
1,21,39.57266,-9.271406,102.390076,35.967,57.319702
1,22,39.57266,-9.290464,110.0299,35.967,57.319702
