path,type,extension,size_mb,modified,modified_iso,probable_objective,variables_or_dims,dimensions,contains_TEMPpred,contains_STD,contains_100_realizations,input_or_output
data\dadosParaPedro_Fresnel\dadosParaPedro_Fresnel\01.Data\October\HRes\CMEMSnaza_20241029_HResNew.nc,intermediate_input,.nc,78.812,1778919092.079015,2026-05-16T09:11:32,High-resolution CMEMS/HRes input window.,"{""TEMP"": [14, 17, 180, 240], ""LAT"": [180], ""LON"": [240], ""BATHY"": [180, 240], ""DEPT"": [17], ""TIME"": [14]}","{""TIME"": 14, ""DEPT"": 17, ""LAT"": 180, ""LON"": 240, ""lat"": 180, ""lon"": 240, ""depth"": 17, ""seconds since 1970-01-01"": 14}",False,False,False,intermediate_input
data\dadosParaPedro_Fresnel\dadosParaPedro_Fresnel\01.Data\October\HRes\CMEMSnaza_20241030_HResNew.nc,intermediate_input,.nc,78.812,1778919092.784183,2026-05-16T09:11:32,High-resolution CMEMS/HRes input window.,"{""TEMP"": [14, 17, 180, 240], ""LAT"": [180], ""LON"": [240], ""BATHY"": [180, 240], ""DEPT"": [17], ""TIME"": [14]}","{""TIME"": 14, ""DEPT"": 17, ""LAT"": 180, ""LON"": 240, ""lat"": 180, ""lon"": 240, ""depth"": 17, ""seconds since 1970-01-01"": 14}",False,False,False,intermediate_input
data\dadosParaPedro_Fresnel\dadosParaPedro_Fresnel\01.Data\October\HRes\CMEMSnaza_20241031_HResNew.nc,intermediate_input,.nc,78.812,1778919093.5386121,2026-05-16T09:11:33,High-resolution CMEMS/HRes input window.,"{""TEMP"": [14, 17, 180, 240], ""LAT"": [180], ""LON"": [240], ""BATHY"": [180, 240], ""DEPT"": [17], ""TIME"": [14]}","{""TIME"": 14, ""DEPT"": 17, ""LAT"": 180, ""LON"": 240, ""lat"": 180, ""lon"": 240, ""depth"": 17, ""seconds since 1970-01-01"": 14}",False,False,False,intermediate_input
data\dadosParaPedro_Fresnel\dadosParaPedro_Fresnel\01.Data\October\HRes\CMEMSnaza_20241101_HResNew.nc,intermediate_input,.nc,78.812,1778919094.246566,2026-05-16T09:11:34,High-resolution CMEMS/HRes input window.,"{""TEMP"": [14, 17, 180, 240], ""LAT"": [180], ""LON"": [240], ""BATHY"": [180, 240], ""DEPT"": [17], ""TIME"": [14]}","{""TIME"": 14, ""DEPT"": 17, ""LAT"": 180, ""LON"": 240, ""lat"": 180, ""lon"": 240, ""depth"": 17, ""seconds since 1970-01-01"": 14}",False,False,False,intermediate_input
data\dadosParaPedro_Fresnel\dadosParaPedro_Fresnel\01.Data\October\HRes\CMEMSnaza_20241102_HResNew.nc,intermediate_input,.nc,78.812,1778919094.985098,2026-05-16T09:11:34,High-resolution CMEMS/HRes input window.,"{""TEMP"": [14, 17, 180, 240], ""LAT"": [180], ""LON"": [240], ""BATHY"": [180, 240], ""DEPT"": [17], ""TIME"": [14]}","{""TIME"": 14, ""DEPT"": 17, ""LAT"": 180, ""LON"": 240, ""lat"": 180, ""lon"": 240, ""depth"": 17, ""seconds since 1970-01-01"": 14}",False,False,False,intermediate_input
data\dadosParaPedro_Fresnel\dadosParaPedro_Fresnel\02.Simulations\HighRes\Daily_dpt_20240930\01-10-2024_predModel_1.nc,output,.nc,80.142,1778919095.7347043,2026-05-16T09:11:35,Filipa geostatistical simulation output with TEMPpred/STD.,"{""TEMP"": [14, 17, 180, 240], ""LAT"": [180], ""LON"": [240], ""BATHY"": [180, 240], ""DEPT"": [17], ""TIME"": [14], ""STD"": [2, 180, 240], ""TEMPpred"": [2, 180, 240]}","{""TIME"": 14, ""DEPT"": 17, ""LAT"": 180, ""LON"": 240, ""lat"": 180, ""lon"": 240, ""depth"": 17, ""seconds since 1970-01-01"": 14, ""day"": 2}",True,True,True,output
data\dadosParaPedro_Fresnel\dadosParaPedro_Fresnel\02.Simulations\HighRes\Daily_dpt_20240930\01-10-2024_predModel_10.nc,output,.nc,80.142,1778919096.4497416,2026-05-16T09:11:36,Filipa geostatistical simulation output with TEMPpred/STD.,"{""TEMP"": [14, 17, 180, 240], ""LAT"": [180], ""LON"": [240], ""BATHY"": [180, 240], ""DEPT"": [17], ""TIME"": [14], ""STD"": [2, 180, 240], ""TEMPpred"": [2, 180, 240]}","{""TIME"": 14, ""DEPT"": 17, ""LAT"": 180, ""LON"": 240, ""lat"": 180, ""lon"": 240, ""depth"": 17, ""seconds since 1970-01-01"": 14, ""day"": 2}",True,True,True,output
data\dadosParaPedro_Fresnel\dadosParaPedro_Fresnel\02.Simulations\HighRes\Daily_dpt_20240930\01-10-2024_predModel_11.nc,output,.nc,80.142,1778919097.1852646,2026-05-16T09:11:37,Filipa geostatistical simulation output with TEMPpred/STD.,"{""TEMP"": [14, 17, 180, 240], ""LAT"": [180], ""LON"": [240], ""BATHY"": [180, 240], ""DEPT"": [17], ""TIME"": [14], ""STD"": [2, 180, 240], ""TEMPpred"": [2, 180, 240]}","{""TIME"": 14, ""DEPT"": 17, ""LAT"": 180, ""LON"": 240, ""lat"": 180, ""lon"": 240, ""depth"": 17, ""seconds since 1970-01-01"": 14, ""day"": 2}",True,True,True,output
data\dadosParaPedro_Fresnel\dadosParaPedro_Fresnel\02.Simulations\HighRes\Daily_dpt_20240930\01-10-2024_predModel_12.nc,output,.nc,80.142,1778919097.9086077,2026-05-16T09:11:37,Filipa geostatistical simulation output with TEMPpred/STD.,"{""TEMP"": [14, 17, 180, 240], ""LAT"": [180], ""LON"": [240], ""BATHY"": [180, 240], ""DEPT"": [17], ""TIME"": [14], ""STD"": [2, 180, 240], ""TEMPpred"": [2, 180, 240]}","{""TIME"": 14, ""DEPT"": 17, ""LAT"": 180, ""LON"": 240, ""lat"": 180, ""lon"": 240, ""depth"": 17, ""seconds since 1970-01-01"": 14, ""day"": 2}",True,True,True,output
data\dadosParaPedro_Fresnel\dadosParaPedro_Fresnel\02.Simulations\HighRes\Daily_dpt_20240930\01-10-2024_predModel_13.nc,output,.nc,80.142,1778919098.8646548,2026-05-16T09:11:38,Filipa geostatistical simulation output with TEMPpred/STD.,"{""TEMP"": [14, 17, 180, 240], ""LAT"": [180], ""LON"": [240], ""BATHY"": [180, 240], ""DEPT"": [17], ""TIME"": [14], ""STD"": [2, 180, 240], ""TEMPpred"": [2, 180, 240]}","{""TIME"": 14, ""DEPT"": 17, ""LAT"": 180, ""LON"": 240, ""lat"": 180, ""lon"": 240, ""depth"": 17, ""seconds since 1970-01-01"": 14, ""day"": 2}",True,True,True,output
data\dadosParaPedro_Fresnel\dadosParaPedro_Fresnel\02.Simulations\HighRes\Daily_dpt_20240930\01-10-2024_predModel_14.nc,output,.nc,80.142,1778919101.7467258,2026-05-16T09:11:41,Filipa geostatistical simulation output with TEMPpred/STD.,"{""TEMP"": [14, 17, 180, 240], ""LAT"": [180], ""LON"": [240], ""BATHY"": [180, 240], ""DEPT"": [17], ""TIME"": [14], ""STD"": [2, 180, 240], ""TEMPpred"": [2, 180, 240]}","{""TIME"": 14, ""DEPT"": 17, ""LAT"": 180, ""LON"": 240, ""lat"": 180, ""lon"": 240, ""depth"": 17, ""seconds since 1970-01-01"": 14, ""day"": 2}",True,True,True,output
data\dadosParaPedro_Fresnel\dadosParaPedro_Fresnel\02.Simulations\HighRes\Daily_dpt_20240930\01-10-2024_predModel_15.nc,output,.nc,80.142,1778919102.419057,2026-05-16T09:11:42,Filipa geostatistical simulation output with TEMPpred/STD.,"{""TEMP"": [14, 17, 180, 240], ""LAT"": [180], ""LON"": [240], ""BATHY"": [180, 240], ""DEPT"": [17], ""TIME"": [14], ""STD"": [2, 180, 240], ""TEMPpred"": [2, 180, 240]}","{""TIME"": 14, ""DEPT"": 17, ""LAT"": 180, ""LON"": 240, ""lat"": 180, ""lon"": 240, ""depth"": 17, ""seconds since 1970-01-01"": 14, ""day"": 2}",True,True,True,output
data\dadosParaPedro_Fresnel\dadosParaPedro_Fresnel\02.Simulations\HighRes\Daily_dpt_20240930\01-10-2024_predModel_16.nc,output,.nc,80.142,1778919103.0797694,2026-05-16T09:11:43,Filipa geostatistical simulation output with TEMPpred/STD.,"{""TEMP"": [14, 17, 180, 240], ""LAT"": [180], ""LON"": [240], ""BATHY"": [180, 240], ""DEPT"": [17], ""TIME"": [14], ""STD"": [2, 180, 240], ""TEMPpred"": [2, 180, 240]}","{""TIME"": 14, ""DEPT"": 17, ""LAT"": 180, ""LON"": 240, ""lat"": 180, ""lon"": 240, ""depth"": 17, ""seconds since 1970-01-01"": 14, ""day"": 2}",True,True,True,output
data\dadosParaPedro_Fresnel\dadosParaPedro_Fresnel\02.Simulations\HighRes\Daily_dpt_20240930\01-10-2024_predModel_17.nc,output,.nc,80.142,1778919103.802755,2026-05-16T09:11:43,Filipa geostatistical simulation output with TEMPpred/STD.,"{""TEMP"": [14, 17, 180, 240], ""LAT"": [180], ""LON"": [240], ""BATHY"": [180, 240], ""DEPT"": [17], ""TIME"": [14], ""STD"": [2, 180, 240], ""TEMPpred"": [2, 180, 240]}","{""TIME"": 14, ""DEPT"": 17, ""LAT"": 180, ""LON"": 240, ""lat"": 180, ""lon"": 240, ""depth"": 17, ""seconds since 1970-01-01"": 14, ""day"": 2}",True,True,True,output
