scale_name,vmin,vmax,recommended
Step10D_only_TEMPpred_p1_p99,15.993739204406738,18.72636119842529,False
Step10D_only_STD_variance_p1_p99,0.007178675229661167,0.22872974172234534,False
Combined_October_Step10D_TEMPpred_p1_p99,16.19420051574707,19.682199478149414,True
Combined_October_Step10D_STD_variance_p1_p99,0.006523000076413155,0.20320792227983475,True
Normalized_TEMPpred_anomaly_legacy_step05,-1.950387954711914,1.950387954711914,True
Normalized_TEMPpred_anomaly_data_p98_abs,-1.2644599676132202,1.2644599676132202,False
C01_TEMPpred,16.260568885803224,18.803261432647705,
C01_STD_variance,0.0137394789326936,0.24032564565539363,
C06_TEMPpred,15.869377994537354,17.655160369873048,
C06_STD_variance,0.005817117639817297,0.1781575219333172,
