date,class_id,class_label,valid_count,TEMPpred_valid_count,TEMPpred_nan_fraction,TEMPpred_min,TEMPpred_max,TEMPpred_mean,TEMPpred_std,TEMPpred_p05,TEMPpred_p50,TEMPpred_p95,TEMPpred_all_zero,STD_variance_valid_count,STD_variance_nan_fraction,STD_variance_min,STD_variance_max,STD_variance_mean,STD_variance_std,STD_variance_p05,STD_variance_p50,STD_variance_p95,STD_variance_all_zero
2024-06-18,1,C01,8004,8004,0.04985754985754986,16.25255012512207,17.838600158691406,17.080967089106355,0.36775958776464046,16.52631530761719,17.04669952392578,17.68779945373535,False,8004,0.04985754985754986,0.020660262554883957,0.14857149124145508,0.0796955168809926,0.02365043239843842,0.036790580675005916,0.08438505232334137,0.1128524199128151,False
2024-06-20,1,C01,8004,8004,0.04985754985754986,17.09939956665039,18.170949935913086,17.65236561111305,0.30230550942464707,17.218537616729737,17.646300315856934,18.08449192047119,False,8004,0.04985754985754986,0.006742025725543499,0.1122806966304779,0.041596147067577714,0.019862250424554553,0.01283973609097302,0.04057968780398369,0.07489295415580272,False
2024-06-27,1,C01,8004,8004,0.04985754985754986,16.037900924682617,18.327449798583984,17.15870139504718,0.5932548870487581,16.344507026672364,17.01527500152588,18.1796630859375,False,8004,0.04985754985754986,0.00768056558445096,0.1627323478460312,0.07734571906605568,0.03452021285231788,0.015142038417980076,0.08816458657383919,0.1204813539981842,False
2024-06-29,1,C01,8004,8004,0.04985754985754986,16.885150909423828,18.21269989013672,17.550498330908855,0.24778560901942318,17.129565811157228,17.58340072631836,17.96684284210205,False,8004,0.04985754985754986,0.01751241832971573,0.15068064630031586,0.07074738499140186,0.022090493149016014,0.03290469441562891,0.07089798152446747,0.1066455569118261,False
2024-07-03,1,C01,8004,8004,0.04985754985754986,16.853050231933594,18.46940040588379,17.82795331193351,0.3408713650609933,17.146460247039794,17.911200523376465,18.28611249923706,False,8004,0.04985754985754986,0.02046511322259903,0.19683614373207092,0.06393756926188181,0.02706085559628126,0.035996466875076294,0.05471770279109478,0.12177277058362958,False
2024-07-04,1,C01,8004,8004,0.04985754985754986,15.909500122070312,18.382200241088867,17.38732689300339,0.5382744941281333,16.358902835845946,17.53552532196045,18.104087924957273,False,8004,0.04985754985754986,0.02896949090063572,0.23669782280921936,0.10016153798206359,0.03924431014634019,0.053098173812031746,0.08898758888244629,0.17296960428357125,False
2024-07-05,1,C01,8004,8004,0.04985754985754986,15.913599967956543,18.681900024414062,17.39667554881083,0.5746615833931047,16.408805942535402,17.482275009155273,18.30626173019409,False,8004,0.04985754985754986,0.032192472368478775,0.2413410246372223,0.11087638069863903,0.03927648569321482,0.057875294238328934,0.10490027442574501,0.177461177110672,False
2024-07-26,1,C01,8004,8004,0.04985754985754986,17.462799072265625,19.044200897216797,18.273417355119438,0.35057880146280257,17.692800521850586,18.290599822998047,18.80071325302124,False,8004,0.04985754985754986,0.03357517346739769,0.18505559861660004,0.10108869871974498,0.019148989951713494,0.06819387041032314,0.10187216848134995,0.1310788996517658,False
2024-08-08,1,C01,8004,8004,0.04985754985754986,16.13974952697754,18.987899780273438,17.74381227126305,0.8249947307235133,16.381815719604493,17.92377471923828,18.80524320602417,False,8004,0.04985754985754986,0.024326393380761147,0.32259875535964966,0.1505349059845193,0.058986577544962525,0.06202972084283829,0.14433050900697708,0.24761842191219327,False
2024-08-24,1,C01,8004,8004,0.04985754985754986,16.169050216674805,18.631500244140625,17.375873056904545,0.680580826692165,16.354147243499757,17.407275199890137,18.439139652252198,False,8004,0.04985754985754986,0.04766368120908737,0.3178016245365143,0.16547330957779224,0.042308552965424344,0.0991332359611988,0.16597522050142288,0.23372553288936615,False
2023-12-16,6,C06,8004,8004,0.04985754985754986,16.307199478149414,17.175899505615234,16.791930829686322,0.2667732452531714,16.336923027038573,16.885025024414062,17.108392906188964,False,8004,0.04985754985754986,0.002326737390831113,0.018582314252853394,0.010138705561745275,0.002434548954309731,0.004994537006132305,0.010449510533362627,0.013563558459281918,False
2023-12-17,6,C06,8004,8004,0.04985754985754986,16.19860076904297,17.125150680541992,16.707066970607865,0.29002430162940035,16.237257099151613,16.797775268554688,17.055542182922363,False,8004,0.04985754985754986,0.003917303867638111,0.023027019575238228,0.011734987290444384,0.0028436940785466712,0.007042012247256935,0.011560085695236921,0.016836995817720888,False
2023-12-18,6,C06,8004,8004,0.04985754985754986,16.17729949951172,17.12125015258789,16.702649331938797,0.27501038577568077,16.216808128356934,16.7908992767334,17.027692985534667,False,8004,0.04985754985754986,0.003909722901880741,0.027081742882728577,0.013823489803980956,0.003668356912153396,0.008623755350708962,0.013194811064749956,0.020632151607424015,False
2023-12-19,6,C06,8004,8004,0.04985754985754986,16.18829917907715,17.100900650024414,16.74535263329372,0.23206220567078184,16.295752429962157,16.823875427246094,17.008093070983886,False,8004,0.04985754985754986,0.005987499374896288,0.03136253356933594,0.01548353665333096,0.0040559389144778895,0.010329975606873631,0.014451693743467331,0.023118476010859007,False
2023-12-21,6,C06,8004,8004,0.04985754985754986,16.547149658203125,17.07094955444336,16.81864984174897,0.08884292064368858,16.68636474609375,16.81297492980957,16.970399856567383,False,8004,0.04985754985754986,0.006241057999432087,0.031565044075250626,0.014953402383055172,0.0031636887057296032,0.010669327108189464,0.014459626283496618,0.020877410564571618,False
2023-12-22,6,C06,8004,8004,0.04985754985754986,16.300600051879883,16.979999542236328,16.712696859206275,0.13352692086602214,16.4375901222229,16.731149673461914,16.896885013580324,False,8004,0.04985754985754986,0.006271528545767069,0.032657112926244736,0.01696618298039088,0.003974926635607042,0.011294905981048943,0.016520682722330093,0.023857554793357848,False
2024-05-22,6,C06,8004,8004,0.04985754985754986,15.567500114440918,17.21394920349121,16.405120917286414,0.3976254720011122,15.793924903869629,16.41167449951172,17.09773483276367,False,8004,0.04985754985754986,0.007289009168744087,0.09564182907342911,0.047986902247440406,0.017849305953537224,0.014669075375422835,0.05187404341995716,0.07238926887512206,False
2024-05-26,6,C06,8004,8004,0.04985754985754986,15.956950187683105,17.551450729370117,16.895580597486216,0.330552475766998,16.283845043182374,16.975749969482422,17.28937005996704,False,8004,0.04985754985754986,0.004175330977886915,0.09407899528741837,0.03368526458242691,0.02222122636837175,0.0095619295258075,0.024443798698484898,0.07016276642680166,False
2024-06-12,6,C06,8004,8004,0.04985754985754986,16.777000427246094,17.775299072265625,17.491819600711043,0.15420657143325636,17.185387897491456,17.517549514770508,17.678850173950195,False,8004,0.04985754985754986,0.026050807908177376,0.3029848635196686,0.10655090071215317,0.04969437659151075,0.04789180271327496,0.09446783363819122,0.2052662819623947,False
2024-06-15,6,C06,8004,8004,0.04985754985754986,15.879150390625,17.593050003051758,16.862435861089,0.4602157304507533,16.11367197036743,16.941049575805664,17.4701847076416,False,8004,0.04985754985754986,0.023959387093782425,0.15652459859848022,0.08305926365649392,0.023783716335757387,0.045782156847417356,0.08337128907442093,0.12121922709047794,False
