date,day_index_370,class_label,x_surface_370_index,n,rmse,mae,pearson,bias,mean_difference,std_difference
2024-06-18,235,C01,234,8004,0.3085929550218299,0.274904392171895,0.9246681771211473,-0.2749025882452146,-0.2749025882452152,0.0346945048030744
2024-06-20,237,C01,236,8004,0.4136263374658984,0.3582840959528933,0.7654606462578425,0.35813176351925663,0.35813176351925335,0.00028313083368414205
2024-06-27,244,C01,243,8004,0.30355292700537145,0.2560149790465027,0.9527995153047698,-0.15598319686096587,-0.15598319686096573,0.21607950741041998
2024-06-29,246,C01,245,8004,0.1704376800269413,0.14445428857798578,0.8813920928930723,0.11112592960226125,0.11112592960225953,-0.025376132028798654
2024-07-03,250,C01,249,8004,0.5120380531056011,0.45442518539752796,0.989725793000686,0.45442518539752796,0.4544251853975254,-0.22737743115115888
2024-07-04,251,C01,250,8004,0.1200303910132063,0.09264884371569251,0.9842917112039195,0.0043307879398847325,0.004330787939885283,-0.06473896620129804
2024-07-05,252,C01,251,8004,0.2592620693138235,0.2156617740343238,0.9706873891481789,-0.21149148540696996,-0.21149148540697027,-0.04156548964032425
2024-07-26,273,C01,272,8004,0.796898551102129,0.7501153872050028,0.8446253459647082,0.7501153872050028,0.7501153872050033,-0.13826841482661995
2024-08-08,286,C01,285,8004,0.3544230691111704,0.2736753569073465,0.9409701407875422,0.21823690391551967,0.21823690391551764,0.04612632448033693
2024-08-24,302,C01,301,8004,0.3180215335628644,0.23228087966171637,0.9208002755716148,-0.16752560718961504,-0.16752560718961718,0.10498204617743778
2023-12-16,50,C06,49,8004,0.12252885280363345,0.09586641944568793,0.9731058095486154,0.09318999086005399,0.0931899908600542,-0.04334674506060737
2023-12-17,51,C06,50,8004,0.053793698567797074,0.04100017342669913,0.983764580440834,0.012405897128111359,0.012405897128111576,-0.0008385849822738489
2023-12-18,52,C06,51,8004,0.07681604670396208,0.0545469159665315,0.9724571703646615,-0.03618900183735342,-0.03618900183735363,0.029535155106399008
2023-12-19,53,C06,52,8004,0.054895592968802476,0.044879020660415644,0.9772649916566737,0.006492312582417287,0.0064923125824165595,0.028739114409592287
2023-12-21,55,C06,54,8004,0.14097293887648565,0.11778668175334635,0.8571394768585726,0.11639601966251677,0.11639601966251689,-0.0523556210522282
2023-12-22,56,C06,55,8004,0.24597124038597212,0.20186488977496114,0.9254301787584518,0.2018633908715503,0.20186339087154792,-0.12116534448010613
2024-05-22,208,C06,207,8004,0.1060362994026975,0.0963316416514033,0.9934957444799415,-0.09579861158135532,-0.09579861158135472,0.00662205801393706
2024-05-26,212,C06,211,8004,0.21573505871278728,0.18489689007215296,0.9556419256077793,0.18327844851854622,0.18327844851854636,-0.04426147645795048
2024-06-12,229,C06,228,8004,0.8582529140304556,0.8016695086208956,0.876110125219971,0.8016695086208956,0.8016695086208969,-0.27821158020702164
2024-06-15,232,C06,231,8004,0.3199518349373875,0.30713403647926557,0.9820309580136277,0.30713403647926557,0.3071340364792654,0.030509560392711688
