case_id,mission_duration,descriptor,alpha,STD_retention,STD_loss,regime_balance,descriptor_gain,descriptor_gain_norm,runtime_seconds,solver_status,regions_visited,crossing_count,path_difference_from_baseline,pareto_front_flag,tradeoff_score,selected_candidate_flag,justification_note
C01_representative,12.0,boundary_score,0.0,1.0,0.0,0.0,0.0,0.018599666200163407,320.5835139999981,SUCCESS,0,0,0.0,False,0.3562688394213389,False,Dominated or weaker tradeoff under the available metrics.
C01_representative,12.0,boundary_score,0.25,1.0054910698765689,-0.005491069876568888,0.0,14.39205932617186,0.0592541287903843,283.97948530000576,SUCCESS,0,0,0.8975265017667844,True,0.4639184341910702,False,"Pareto candidate; interpret score as an auxiliary ranking, not an absolute truth."
C01_representative,12.0,boundary_score,0.5,0.9670241518787984,0.03297584812120158,0.0,22.465255737304673,0.08205916690491279,208.29653320000216,SUCCESS,0,0,0.9772727272727272,True,0.4764373364005432,False,"Pareto candidate; interpret score as an auxiliary ranking, not an absolute truth."
C01_representative,12.0,boundary_score,0.75,0.8623595964365206,0.1376404035634794,0.0,9.933303833007798,0.0466591064737277,161.24959710000255,SUCCESS,0,0,0.9172661870503596,False,0.4310280160592619,False,Dominated or weaker tradeoff under the available metrics.
C01_representative,12.0,boundary_score,1.0,0.8436434062775643,0.1563565937224357,0.0,18.733200073242173,0.07151691482404897,102.48872220001068,SUCCESS,1,0,0.945945945945946,True,0.4433092453003115,False,"Pareto candidate; interpret score as an auxiliary ranking, not an absolute truth."
C01_representative,12.0,representative_zone,0.0,1.0,0.0,0.0,0.0,0.018599666200163407,320.5835139999981,SUCCESS,0,0,0.0,False,0.3562688394213389,False,Dominated or weaker tradeoff under the available metrics.
C01_representative,12.0,representative_zone,0.25,0.9974865003181388,0.0025134996818612088,0.0,7.355010986328125,0.03937598543410274,257.4336691000062,SUCCESS,0,0,0.8722627737226277,True,0.4595972271498051,False,"Pareto candidate; interpret score as an auxiliary ranking, not an absolute truth."
C01_representative,12.0,representative_zone,0.5,0.9685141901282338,0.03148580987176619,0.0,11.912551879882812,0.05225005519446585,250.7238266999921,SUCCESS,0,0,0.9737704918032788,False,0.46211149690801673,False,Dominated or weaker tradeoff under the available metrics.
C01_representative,12.0,representative_zone,0.75,0.922108674965498,0.07789132503450202,0.0,10.024581909179688,0.04691694734617945,149.1601626000047,SUCCESS,0,0,0.9559322033898304,False,0.46130509725484736,False,Dominated or weaker tradeoff under the available metrics.
C01_representative,12.0,representative_zone,1.0,0.9120625185446296,0.08793748145537039,0.0,24.061187744140625,0.08656733051082993,118.16783549998944,SUCCESS,0,0,0.9642857142857144,True,0.4723422802373342,False,"Pareto candidate; interpret score as an auxiliary ranking, not an absolute truth."
C01_representative,12.0,interest_map,0.0,1.0,0.0,0.0,0.0,0.018599666200163407,320.5835139999981,SUCCESS,0,0,0.0,False,0.3562688394213389,False,Dominated or weaker tradeoff under the available metrics.
C01_representative,12.0,interest_map,0.25,0.9953892896729758,0.004610710327024203,0.0,0.27358245849610086,0.019372477621531332,263.3082710000017,SUCCESS,0,0,0.8518518518518519,False,0.4515212580377698,False,Dominated or weaker tradeoff under the available metrics.
C01_representative,12.0,interest_map,0.5,0.9255390777285768,0.0744609222714232,0.0,3.4843521118164062,0.028442209186586454,267.2065661000088,SUCCESS,0,0,0.9110320284697508,False,0.4305314675656135,False,Dominated or weaker tradeoff under the available metrics.
C01_representative,12.0,interest_map,0.75,0.8810704505930643,0.11892954940693568,0.0,5.940155029296875,0.03537932260274003,185.0768403999973,SUCCESS,0,0,0.9554794520547946,False,0.4352488011083382,False,Dominated or weaker tradeoff under the available metrics.
C01_representative,12.0,interest_map,1.0,0.8885297777231601,0.11147022227683989,0.0,8.037715911865234,0.04130447955898004,89.61354059999576,SUCCESS,0,0,0.9666666666666668,True,0.45990926153194095,False,"Pareto candidate; interpret score as an auxiliary ranking, not an absolute truth."
C01_representative,24.0,boundary_score,0.0,1.0,0.0,0.0,0.0,0.018599666200163407,331.3541046000028,SUCCESS,1,0,0.0,False,0.3540832944417642,False,Dominated or weaker tradeoff under the available metrics.
C01_representative,24.0,boundary_score,0.25,0.9937363201163472,0.0062636798836528396,0.0,47.12359619140628,0.15171365878886553,280.66553879999265,SUCCESS,0,0,0.9172535211267604,True,0.4803567224520017,False,"Pareto candidate; interpret score as an auxiliary ranking, not an absolute truth."
C01_representative,24.0,boundary_score,0.5,0.9697546609570364,0.03024533904296356,0.0,71.68603515624997,0.221097249655874,209.75184280000397,SUCCESS,1,0,0.951505016722408,True,0.502461000077112,True,"Pareto candidate; interpret score as an auxiliary ranking, not an absolute truth."
C01_representative,24.0,boundary_score,0.75,0.8921033389217686,0.10789666107823137,0.0,55.95861816406253,0.1766706897550985,202.68058689999447,SUCCESS,1,0,0.968013468013468,False,0.46560350048166643,False,Dominated or weaker tradeoff under the available metrics.
C01_representative,24.0,boundary_score,1.0,0.8033773001797726,0.1966226998202274,0.0,53.76748657226565,0.17048121573264452,126.40343400000712,SUCCESS,1,0,0.9748322147651006,False,0.44503613887542226,False,Dominated or weaker tradeoff under the available metrics.
C01_representative,24.0,representative_zone,0.0,1.0,0.0,0.0,0.0,0.018599666200163407,331.3541046000028,SUCCESS,1,0,0.0,False,0.3540832944417642,False,Dominated or weaker tradeoff under the available metrics.
C01_representative,24.0,representative_zone,0.25,0.96384721352536,0.03615278647464004,0.0,33.897781372070284,0.11435358531973373,287.9176444999903,SUCCESS,0,0,0.8621323529411764,False,0.45393664497563846,False,Dominated or weaker tradeoff under the available metrics.
C01_representative,24.0,representative_zone,0.5,0.9298195406710162,0.07018045932898376,0.0,44.78315734863281,0.14510242399460607,258.49263559999235,SUCCESS,0,0,0.9329896907216496,False,0.4595431481975975,False,Dominated or weaker tradeoff under the available metrics.
C01_representative,24.0,representative_zone,0.75,0.9185359646110652,0.08146403538893476,0.0,56.22966003417969,0.17743632456241362,171.26042970000708,SUCCESS,0,0,0.9655737704918032,True,0.4824610323686087,False,"Pareto candidate; interpret score as an auxiliary ranking, not an absolute truth."
C01_representative,24.0,representative_zone,1.0,0.8613076938614741,0.1386923061385259,0.0,59.62019348144531,0.1870138500623323,135.37853309999628,SUCCESS,0,0,0.9639934533551556,True,0.4686080243564149,False,"Pareto candidate; interpret score as an auxiliary ranking, not an absolute truth."
C01_representative,24.0,interest_map,0.0,1.0,0.0,0.0,0.0,0.018599666200163407,331.3541046000028,SUCCESS,1,0,0.0,False,0.3540832944417642,False,Dominated or weaker tradeoff under the available metrics.
C01_representative,24.0,interest_map,0.25,0.9337389056093076,0.06626109439069239,0.0,11.304206848144545,0.05053161172683955,287.11745989999326,SUCCESS,1,0,0.8959854014598541,False,0.4326819601681205,False,Dominated or weaker tradeoff under the available metrics.
C01_representative,24.0,interest_map,0.5,0.9925865837154342,0.007413416284565821,0.0,19.44072723388672,0.07351552640784653,241.5925438999984,SUCCESS,1,0,0.9194395796847636,True,0.4724047608921894,False,"Pareto candidate; interpret score as an auxiliary ranking, not an absolute truth."
C01_representative,24.0,interest_map,0.75,0.7833682509544105,0.21663174904558946,0.0,24.945526123046875,0.08906539564018649,215.02874160000647,SUCCESS,1,0,0.9610169491525424,False,0.40138198666238856,False,Dominated or weaker tradeoff under the available metrics.
C01_representative,24.0,interest_map,1.0,0.660935786858424,0.339064213141576,0.0,26.02336883544922,0.09211006876419305,102.006303999995,SUCCESS,1,0,0.964765100671141,True,0.37632761276666027,False,"Pareto candidate; interpret score as an auxiliary ranking, not an absolute truth."
C01_representative,48.0,boundary_score,0.0,1.0,0.0,0.1089108884334564,0.0,0.018599666200163407,390.5691597999976,SUCCESS,2,1,0.0,False,0.37474076987790006,False,Dominated or weaker tradeoff under the available metrics.
