case_id,mission_duration,strategy,vehicle_specific_weight,w_STD,w_region,fleet_STD_retention,fleet_STD_loss,regime_balance,region_A_coverage,region_B_coverage,region_B_gain,specialization_score,complementarity_score,trajectory_overlap_ratio,inter_vehicle_mean_distance,runtime_seconds,solver_status,pareto_front_flag,tradeoff_score,selected_candidate_flag,justification_note
C01_representative,12.0,baseline_shared_STD,baseline_shared_STD,1.0,0.0,1.0,0.0,0.0,0.0,0.0149957155098543,0.0,0.0,0.255248500428449,0.0,15.916228450241032,307.0359218120575,REUSED,True,0.3671823376271122,False,Pareto candidate; auxiliary score ranks the available tradeoffs.
C01_representative,12.0,vehicle_specific_9010,vehicle_specific_9010,0.9,0.1,0.9973313759932988,0.0026686240067012035,0.0,0.0,0.0265638389031705,0.0115681233933161,0.1912751644849777,0.2876125886380633,0.0780141843971631,5.000264779823846,587.0604588985443,SUCCESS,True,0.3504953700214847,False,Pareto candidate; auxiliary score ranks the available tradeoffs.
C01_representative,12.0,vehicle_specific_8020,vehicle_specific_8020,0.8,0.2,0.9768231199582328,0.02317688004176721,0.0,0.0,0.0419880034275921,0.0269922879177377,0.2399999946355819,0.2714829484529302,0.2128514056224899,1.7948654904431616,530.4339420795441,SUCCESS,False,0.3269103473659498,False,Dominated or weaker tradeoff under the available metrics.
C01_representative,12.0,vehicle_specific_7030,vehicle_specific_7030,0.7,0.3,0.900726876036704,0.09927312396329602,0.0623501199040766,0.0311750599520383,0.0372750642673521,0.0222793487574978,0.4539784938097,0.5190680378476136,0.020066889632107,25.07667683983989,522.5989933013916,SUCCESS,False,0.45954048316269674,False,Dominated or weaker tradeoff under the available metrics.
C01_representative,12.0,vehicle_specific_6040,vehicle_specific_6040,0.6,0.4,0.8134919332952,0.18650806670480002,0.0779777206512424,0.0593525179856115,0.0389888603256212,0.0239931448157669,0.612633228302002,0.5557080625723859,0.0032362459546925,30.80819789930446,544.9662654399872,SUCCESS,False,0.4867220648539272,False,Dominated or weaker tradeoff under the available metrics.
C01_representative,12.0,vehicle_specific_5050,vehicle_specific_5050,0.5,0.5,0.8234271494528446,0.17657285054715544,0.080548414738646,0.0581534772182254,0.040274207369323,0.0252784918594687,0.5968749821186066,0.5556374175131396,0.0031347962382445,29.234495463930216,483.0207884311676,SUCCESS,False,0.48872660485882347,False,Dominated or weaker tradeoff under the available metrics.
C01_representative,12.0,vehicle_specific_2575,vehicle_specific_2575,0.25,0.75,0.7554122151076552,0.24458778489234478,0.0728363324764352,0.0593525179856115,0.0364181662382176,0.0214224507283633,0.6298381388187408,0.5541994389883614,0.0034364261168384,29.717081998339275,271.9236674308777,SUCCESS,True,0.49035707102046827,False,Pareto candidate; auxiliary score ranks the available tradeoffs.
C06_representative,12.0,baseline_shared_STD,baseline_shared_STD,1.0,0.0,1.0,0.0,0.0,0.0515595162316995,0.0,0.0,0.2173912972211837,0.3223936549863908,0.0,10.628886005094492,326.3576309680939,REUSED,True,0.40808423747514355,False,Pareto candidate; auxiliary score ranks the available tradeoffs.
C01_representative,12.0,vehicle_specific_00100,vehicle_specific_00100,0.0,1.0,0.7334696636704102,0.2665303363295898,0.0651242502142244,0.0485611510791366,0.0325621251071122,0.0175664095972579,0.5067441165447235,0.5246873113414009,0.0032362459546925,31.281156287383936,140.23792934417725,SUCCESS,True,0.46479663805008076,False,Pareto candidate; auxiliary score ranks the available tradeoffs.
C06_representative,12.0,vehicle_specific_9010,vehicle_specific_9010,0.9,0.1,1.07057641460595,-0.07057641460594999,0.0,0.0432845321451304,0.0,0.0,0.2006172835826873,0.2576115994541598,0.2307692307692307,3.92079350807114,637.7242057323456,SUCCESS,False,0.34192137706011705,False,Dominated or weaker tradeoff under the available metrics.
C06_representative,12.0,vehicle_specific_8020,vehicle_specific_8020,0.8,0.2,0.9861346352749826,0.013865364725017426,0.0,0.0630171865054105,0.0,0.0,0.2635135054588318,0.3269546619118719,0.0439189189189189,5.768730405531398,590.761323928833,SUCCESS,False,0.37268192888335266,False,Dominated or weaker tradeoff under the available metrics.
