day_index,date,image_idx_0_based,class_id,date_from_step00,date_match_step00,class_label,gradient_mean,boundary_score,interest_mean,qualitative_regime_label,month,is_october_2024,available_in_step06,needs_temppred_std_generation
170,2024-04-14,169,6,2024-04-14,True,C06_mixed,0.0321187414228916,0.5384505987167358,0.2259227782487869,mixed,2024-04,False,False,True
177,2024-04-21,176,6,2024-04-21,True,C06_mixed,0.0321187414228916,0.5384505987167358,0.2259227782487869,mixed,2024-04,False,False,True
178,2024-04-22,177,6,2024-04-22,True,C06_mixed,0.0321187414228916,0.5384505987167358,0.2259227782487869,mixed,2024-04,False,False,True
194,2024-05-08,193,6,2024-05-08,True,C06_mixed,0.0321187414228916,0.5384505987167358,0.2259227782487869,mixed,2024-05,False,False,True
195,2024-05-09,194,6,2024-05-09,True,C06_mixed,0.0321187414228916,0.5384505987167358,0.2259227782487869,mixed,2024-05,False,False,True
198,2024-05-12,197,6,2024-05-12,True,C06_mixed,0.0321187414228916,0.5384505987167358,0.2259227782487869,mixed,2024-05,False,False,True
199,2024-05-13,198,6,2024-05-13,True,C06_mixed,0.0321187414228916,0.5384505987167358,0.2259227782487869,mixed,2024-05,False,False,True
200,2024-05-14,199,6,2024-05-14,True,C06_mixed,0.0321187414228916,0.5384505987167358,0.2259227782487869,mixed,2024-05,False,False,True
207,2024-05-21,206,6,2024-05-21,True,C06_mixed,0.0321187414228916,0.5384505987167358,0.2259227782487869,mixed,2024-05,False,False,True
208,2024-05-22,207,6,2024-05-22,True,C06_mixed,0.0321187414228916,0.5384505987167358,0.2259227782487869,mixed,2024-05,False,False,True
211,2024-05-25,210,6,2024-05-25,True,C06_mixed,0.0321187414228916,0.5384505987167358,0.2259227782487869,mixed,2024-05,False,False,True
212,2024-05-26,211,6,2024-05-26,True,C06_mixed,0.0321187414228916,0.5384505987167358,0.2259227782487869,mixed,2024-05,False,False,True
218,2024-06-01,217,6,2024-06-01,True,C06_mixed,0.0321187414228916,0.5384505987167358,0.2259227782487869,mixed,2024-06,False,False,True
219,2024-06-02,218,6,2024-06-02,True,C06_mixed,0.0321187414228916,0.5384505987167358,0.2259227782487869,mixed,2024-06,False,False,True
229,2024-06-12,228,6,2024-06-12,True,C06_mixed,0.0321187414228916,0.5384505987167358,0.2259227782487869,mixed,2024-06,False,False,True
230,2024-06-13,229,6,2024-06-13,True,C06_mixed,0.0321187414228916,0.5384505987167358,0.2259227782487869,mixed,2024-06,False,False,True
231,2024-06-14,230,6,2024-06-14,True,C06_mixed,0.0321187414228916,0.5384505987167358,0.2259227782487869,mixed,2024-06,False,False,True
232,2024-06-15,231,6,2024-06-15,True,C06_mixed,0.0321187414228916,0.5384505987167358,0.2259227782487869,mixed,2024-06,False,False,True
233,2024-06-16,232,6,2024-06-16,True,C06_mixed,0.0321187414228916,0.5384505987167358,0.2259227782487869,mixed,2024-06,False,False,True
234,2024-06-17,233,6,2024-06-17,True,C06_mixed,0.0321187414228916,0.5384505987167358,0.2259227782487869,mixed,2024-06,False,False,True
238,2024-06-21,237,6,2024-06-21,True,C06_mixed,0.0321187414228916,0.5384505987167358,0.2259227782487869,mixed,2024-06,False,False,True
239,2024-06-22,238,6,2024-06-22,True,C06_mixed,0.0321187414228916,0.5384505987167358,0.2259227782487869,mixed,2024-06,False,False,True
240,2024-06-23,239,6,2024-06-23,True,C06_mixed,0.0321187414228916,0.5384505987167358,0.2259227782487869,mixed,2024-06,False,False,True
241,2024-06-24,240,6,2024-06-24,True,C06_mixed,0.0321187414228916,0.5384505987167358,0.2259227782487869,mixed,2024-06,False,False,True
242,2024-06-25,241,6,2024-06-25,True,C06_mixed,0.0321187414228916,0.5384505987167358,0.2259227782487869,mixed,2024-06,False,False,True
254,2024-07-07,253,6,2024-07-07,True,C06_mixed,0.0321187414228916,0.5384505987167358,0.2259227782487869,mixed,2024-07,False,False,True
303,2024-08-25,302,6,2024-08-25,True,C06_mixed,0.0321187414228916,0.5384505987167358,0.2259227782487869,mixed,2024-08,False,False,True
304,2024-08-26,303,6,2024-08-26,True,C06_mixed,0.0321187414228916,0.5384505987167358,0.2259227782487869,mixed,2024-08,False,False,True
305,2024-08-27,304,6,2024-08-27,True,C06_mixed,0.0321187414228916,0.5384505987167358,0.2259227782487869,mixed,2024-08,False,False,True
312,2024-09-03,311,6,2024-09-03,True,C06_mixed,0.0321187414228916,0.5384505987167358,0.2259227782487869,mixed,2024-09,False,False,True
318,2024-09-09,317,6,2024-09-09,True,C06_mixed,0.0321187414228916,0.5384505987167358,0.2259227782487869,mixed,2024-09,False,False,True
319,2024-09-10,318,6,2024-09-10,True,C06_mixed,0.0321187414228916,0.5384505987167358,0.2259227782487869,mixed,2024-09,False,False,True
326,2024-09-17,325,6,2024-09-17,True,C06_mixed,0.0321187414228916,0.5384505987167358,0.2259227782487869,mixed,2024-09,False,False,True
327,2024-09-18,326,6,2024-09-18,True,C06_mixed,0.0321187414228916,0.5384505987167358,0.2259227782487869,mixed,2024-09,False,False,True
