comparison_id,hypothesis,description,shape_a,shape_b,shapes_match,valid_cells_used,pearson,spearman,rmse,mae,mean_bias,max_abs_error,nrmse,std_ratio_b_over_a,grad_mag_rmse,grad_mag_corr_pearson,grad_mag_corr_spearman,grad_mag_mean_ratio_b_over_a,ssim
baseline_recomputed_vs_saved,H1,Recomputed day299 linear+nearest fallback vs saved CAND_B planner-aligned array,"[67, 128]","[67, 128]",True,8296,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9999999999999999,1.0,1.0,1.0
day300_vs_saved,H7,Wrong-day control: day300 mapped field vs saved day299 output,"[67, 128]","[67, 128]",True,8296,0.6027459388105032,0.6053255015529649,0.2468591680299171,0.1712707915832276,0.16166932939297768,0.6091500443682989,0.4935140200394852,1.4637144675491869,0.008208901469487778,0.6251651805340421,-0.046658092712077645,0.952667475936956,0.6974052286680139
day298_vs_saved,H7,Adjacent-day control: day298 mapped field vs saved day299 output,"[67, 128]","[67, 128]",True,8296,0.9310753993141238,0.9339437769345673,0.27013484477121463,0.2562012077082205,-0.2562012077082205,0.5511914481669358,0.32402014112057226,1.0199841190175396,0.00731251634873856,0.9343591309580389,0.4806485058013432,0.7764132887020493,0.9067867019424565
swap_xy_source_vs_saved,H2,Source x/y swapped before regridding,"[67, 128]","[67, 128]",True,8296,-0.5690439469397525,-0.647288015026653,0.3992131703825512,0.3397028019900147,-0.011654674534324415,0.6915400511968031,0.5641120385052124,1.0678413483448952,0.006967783678074829,0.8278004996782208,-0.05322674009192494,0.7007242530145114,0.17052290461838493
vflip_source_vs_saved,H3,Source vertically flipped before regridding,"[67, 128]","[67, 128]",True,8296,0.8921825839429326,0.8682322869629167,0.13754665131952534,0.09626999139518448,0.0877527691607852,0.4149772534242686,0.22676456205169662,1.0529040480784126,0.004491336759876901,0.9328309660904242,0.6429358892913709,1.1471329754390862,0.8393661105604612
hflip_source_vs_saved,H4,Source horizontally flipped before regridding,"[67, 128]","[67, 128]",True,8296,0.6107032612048574,0.6281890646921614,0.20398827816253473,0.16601687121857261,-0.05498566501695131,0.4379349672529891,0.28352482772016097,1.1060708379840958,0.008686139525758864,0.5795931545319679,-0.05467343354293688,0.8189235494611403,0.625494528592835
swap_xy_vflip_source_vs_saved,H2/H3,Source swap+vertical flip before regridding,"[67, 128]","[67, 128]",True,8296,-0.20810813235943174,-0.35556289643428785,0.3484248591288732,0.2787116789423709,-0.13565489861258648,0.6889655606196534,0.515415005703913,1.3073449344063561,0.009440490738880003,0.6142972510294649,0.09493776429735717,0.6183486059662846,0.26777760987968546
swap_xy_hflip_source_vs_saved,H2/H4,Source swap+horizontal flip before regridding,"[67, 128]","[67, 128]",True,8296,0.07832243072914968,-0.007812293920692911,0.3056431571274541,0.24410411730898754,0.10178381149127055,0.6724136503678331,0.47949794255379213,1.228637519085707,0.00884916511790514,0.5620107405860332,-0.14970437040757467,0.8161755403601523,0.321778372936995
offby1_xplus1_vs_saved,H6,Off-by-one x crop (+1) with original mask,"[67, 128]","[67, 128]",True,8296,0.9997043454638778,0.9995694530364747,0.0068767696500540805,0.005725727451066207,-0.003906753662216434,0.012136256014635194,0.01003101798271449,1.0011089661099004,0.0006967446696902978,0.9982416187984513,0.9881478925029256,0.9955134732421322,0.9978094698310156
offby1_yplus1_vs_saved,H6,Off-by-one y crop (+1) with original mask,"[67, 128]","[67, 128]",True,8296,0.999966589732434,0.9999548771893635,0.003321008640778972,0.0028003671030975914,0.002721600468603078,0.007200370839740344,0.004849817815643021,1.0003755407007253,0.0001647819828015492,0.99992614635252,0.9993222176356532,1.0030406709508277,0.9998730325272854
misaligned_field_xplus1_mask_correct_vs_saved,H9,Mask is correct but field is spatially shifted (+1 x),"[67, 128]","[67, 128]",True,8296,0.9997043454638778,0.9995694530364747,0.0068767696500540805,0.005725727451066207,-0.003906753662216434,0.012136256014635194,0.01003101798271449,1.0011089661099004,0.0006967446696902978,0.9982416187984513,0.9881478925029256,0.9955134732421322,0.9978094698310156
nearest_interp_vs_saved,H10,"Same day, nearest-only interpolation vs saved output","[67, 128]","[67, 128]",True,8296,0.9997659212868415,0.9996598696013159,0.005035081541218094,0.003638394970826225,-9.12245312547821e-05,0.01962885059834818,0.0073497325281956715,0.9997208530886744,0.0018240304054388372,0.9855184799626523,0.9059870437899515,0.9625371475402181,0.9798149076901909
linear_only_interp_vs_saved,H10,"Same day, linear-only interpolation vs saved output","[67, 128]","[67, 128]",True,8296,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9999999999999999,1.0,1.0,1.0
linear_vs_nearest_same_day,H10,"Interpolation sensitivity: linear-only vs nearest-only, same day","[67, 128]","[67, 128]",True,8296,0.9997659212868415,0.9996598696013159,0.005035081541218094,0.003638394970826225,9.12245312547821e-05,0.01962885059834818,0.007344581257566958,1.0002792248560817,0.0018240304054388372,0.9855184799626523,0.9059870437899514,1.0389209419662597,0.9798149076901909
unmasked_vs_masked_on_valid,H1/H10,Mask-only effect: regridded unmasked crop vs masked crop on valid planner cells,"[67, 128]","[67, 128]",True,8296,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00969160755704336,0.3775513752357416,0.9936503099981328,1.0991230503155944,1.0
native_vs_backprojected_native,H1/H10,Native field vs planner-regridded-then-backprojected native field,"[64, 112]","[64, 112]",True,6925,0.9999993418336505,0.9999988524499157,0.00027629899567411994,9.515982547306611e-05,-1.0225111553465109e-06,0.002297492046945848,0.00032186445508879363,0.9995788357454395,0.00016794277911482406,0.999910929555118,0.9997872115379123,0.9983396665275174,0.999966858266889
png_naive_reconstruction_vs_saved,H8,Naive PNG-derived pseudo-field mapped to planner vs saved output,"[67, 128]","[67, 128]",True,8296,0.8701033809628756,0.8473202548287253,0.7790683192274332,0.7705859375051634,0.7705859375051634,1.1228224602938148,1.334190213480055,1.1513158645917412,0.005600718665514255,0.8785299034562947,0.45766706002394086,1.2354051248550508,0.9105014471081911
