class_id,image_idx_0_based,day_index,date,rmse
1,249,250,2024-07-03,0.08377246558666229
1,250,251,2024-07-04,0.09976407885551453
1,234,235,2024-06-18,0.20014509558677673
1,251,252,2024-07-05,0.20302243530750275
1,272,273,2024-07-26,0.2062498778104782
1,245,246,2024-06-29,0.20776879787445068
1,243,244,2024-06-27,0.21260620653629303
1,236,237,2024-06-20,0.2294558733701706
1,285,286,2024-08-08,0.23459844291210175
1,301,302,2024-08-24,0.23514239490032196
1,300,301,2024-08-23,0.2364942729473114
1,286,287,2024-08-09,0.23721738159656525
1,273,274,2024-07-27,0.2469833940267563
1,242,243,2024-06-26,0.2664627432823181
1,305,306,2024-08-28,0.2957804501056671
1,235,236,2024-06-19,0.30307018756866455
1,254,255,2024-07-08,0.32047000527381897
1,282,283,2024-08-05,0.321328341960907
1,284,285,2024-08-07,0.3213878571987152
1,195,196,2024-05-10,0.32162994146347046
1,299,300,2024-08-22,0.33772173523902893
1,281,282,2024-08-04,0.3389990031719208
1,294,295,2024-08-17,0.34405070543289185
1,306,307,2024-08-29,0.3453405499458313
1,296,297,2024-08-19,0.35325393080711365
1,34,35,2023-12-01,0.35521817207336426
1,196,197,2024-05-11,0.3578920364379883
1,295,296,2024-08-18,0.3604205846786499
1,41,42,2023-12-08,0.37516945600509644
1,40,41,2023-12-07,0.38267287611961365
1,298,299,2024-08-21,0.3893274962902069
1,283,284,2024-08-06,0.39446741342544556
1,297,298,2024-08-20,0.4163733124732971
1,268,269,2024-07-22,0.43207675218582153
1,42,43,2023-12-09,0.4341818392276764
1,252,253,2024-07-06,0.4386841654777527
1,255,256,2024-07-09,0.45479658246040344
1,43,44,2023-12-10,0.4678472578525543
1,293,294,2024-08-16,0.47745373845100403
1,280,281,2024-08-03,0.506492555141449
1,259,260,2024-07-13,0.5330977439880371
2,247,248,2024-07-01,0.09842754155397415
2,328,329,2024-09-20,0.12045517563819885
2,23,24,2023-11-20,0.12174743413925171
2,225,226,2024-06-09,0.1234864592552185
2,336,337,2024-09-28,0.1309574395418167
2,329,330,2024-09-21,0.13269251585006714
2,331,332,2024-09-23,0.1358763575553894
2,24,25,2023-11-21,0.13725227117538452
2,330,331,2024-09-22,0.13948534429073334
2,332,333,2024-09-24,0.1568726748228073
2,226,227,2024-06-10,0.15705054998397827
2,248,249,2024-07-02,0.160037562251091
2,337,338,2024-09-29,0.16482768952846527
2,221,222,2024-06-05,0.16659480333328247
2,366,367,2024-10-28,0.17425762116909027
2,246,247,2024-06-30,0.17521421611309052
2,220,221,2024-06-04,0.17900478839874268
2,348,349,2024-10-10,0.18603339791297913
2,344,345,2024-10-06,0.19041000306606293
2,224,225,2024-06-08,0.19606103003025055
2,22,23,2023-11-19,0.2001795917749405
2,338,339,2024-09-30,0.20638924837112427
2,345,346,2024-10-07,0.22766874730587006
2,347,348,2024-10-09,0.2291155755519867
2,309,310,2024-09-01,0.229486882686615
2,367,368,2024-10-29,0.231044739484787
2,349,350,2024-10-11,0.2315582036972046
2,346,347,2024-10-08,0.23364143073558807
2,365,366,2024-10-27,0.25114113092422485
2,287,288,2024-08-10,0.2563526928424835
2,333,334,2024-09-25,0.25724494457244873
2,335,336,2024-09-27,0.26642096042633057
2,271,272,2024-07-25,0.2744658589363098
2,308,309,2024-08-31,0.27530160546302795
2,343,344,2024-10-05,0.27774718403816223
2,327,328,2024-09-19,0.28262248635292053
2,334,335,2024-09-26,0.2833575904369354
2,368,369,2024-10-30,0.28424370288848877
2,25,26,2023-11-22,0.28786778450012207
2,369,370,2024-10-31,0.319246768951416
2,274,275,2024-07-28,0.3271435499191284
2,310,311,2024-09-02,0.33059078454971313
2,244,245,2024-06-28,0.3368928134441376
2,21,22,2023-11-18,0.337114542722702
2,223,224,2024-06-07,0.3403113782405853
2,339,340,2024-10-01,0.34951695799827576
2,341,342,2024-10-03,0.3573358654975891
2,26,27,2023-11-23,0.37183552980422974
2,307,308,2024-08-30,0.37851354479789734
2,340,341,2024-10-02,0.38277527689933777
2,260,261,2024-07-14,0.382865309715271
2,227,228,2024-06-11,0.3953036963939667
2,342,343,2024-10-04,0.40244001150131226
2,32,33,2023-11-29,0.4036942422389984
