class_id,cv_regime_label,qualitative_regime_label,gradient_mean,boundary_score,heterogeneity_score,cold_fraction,warm_fraction,interest_mean
1,multi_regime,frontal,0.0650407075881958,0.6620786190032959,0.1263272613286972,0.20839580209895053,0.29160419790104947,0.3180355727672577
2,single_gradient,transition,0.026729779317975044,0.43670013546943665,0.18493686616420746,0.3333333333333333,0.3333333333333333,0.1722886860370636
3,homogeneous,warm_homogeneous,0.025039389729499817,0.0,0.0996498093008995,0.3333333333333333,0.3333333333333333,0.04573621228337288
4,homogeneous,cold_homogeneous,0.018273385241627693,0.0,0.12616482377052307,0.3333333333333333,0.3333333333333333,0.03998003900051117
5,single_gradient,transition,0.0388387106359005,0.5656468868255615,0.1277330219745636,0.3333333333333333,0.3333333333333333,0.22543656826019287
6,multi_regime,mixed,0.03211874142289162,0.5384505987167358,0.10784207284450531,0.1962768615692154,0.30372313843078463,0.22592277824878693
