day_index,date,corr_C01,corr_C02,corr_C03,corr_C04,corr_C05,corr_C06,rmse_C01,rmse_C02,rmse_C03,rmse_C04,rmse_C05,rmse_C06
1,2024-10-01,0.9511181116104126,0.9225322008132935,0.5255069136619568,0.9366886615753174,0.9535261392593384,0.9485164284706116,0.5944914817810059,0.19545111060142517,0.6404405236244202,2.07389497756958,1.5143375396728516,1.1977307796478271
2,2024-10-02,0.935572624206543,0.9163898825645447,0.62199467420578,0.9120635390281677,0.9290121793746948,0.9275549054145813,0.7514582872390747,0.336373895406723,0.4808812439441681,2.2286665439605713,1.6712173223495483,1.3536983728408813
3,2024-10-03,0.6155102849006653,0.7081059217453003,0.766099750995636,0.600192129611969,0.5759021639823914,0.6301298141479492,0.8141667246818542,0.37363335490226746,0.4363712966442108,2.257772922515869,1.7082911729812622,1.3886537551879883
4,2024-10-04,0.6475309729576111,0.7661834359169006,0.6223161816596985,0.657325804233551,0.6106336116790771,0.6954466700553894,0.7962660193443298,0.35009440779685974,0.45850399136543274,2.2358837127685547,1.6869927644729614,1.3666881322860718
5,2024-10-05,0.6718789339065552,0.7935217022895813,0.5923751592636108,0.716289222240448,0.6447052955627441,0.7169159054756165,0.8433563709259033,0.3976510763168335,0.40907520055770874,2.285327434539795,1.7364966869354248,1.4163824319839478
6,2024-10-06,0.6944318413734436,0.7989526987075806,0.5959086418151855,0.7213401794433594,0.6580431461334229,0.7378376126289368,0.7254811525344849,0.27618855237960815,0.5335723757743835,2.1592698097229004,1.6105748414993286,1.2902518510818481
7,2024-10-07,0.08868824690580368,0.14112912118434906,-0.1233767569065094,0.058928415179252625,0.06835933029651642,0.15668655931949615,0.6095281839370728,0.18900802731513977,0.7221522331237793,1.9810967445373535,1.4398795366287231,1.1198025941848755
8,2024-10-08,0.046252842992544174,-0.049041539430618286,-0.4311450719833374,-0.0006047539063729346,0.056360889226198196,0.07213574647903442,0.6049498319625854,0.22037437558174133,0.751680850982666,1.966086745262146,1.4254733324050903,1.1074162721633911
9,2024-10-09,0.3525533378124237,0.20338520407676697,-0.2926686704158783,0.284251868724823,0.3667263090610504,0.3563259243965149,0.5647805333137512,0.21744300425052643,0.7788609862327576,1.9476914405822754,1.4018604755401611,1.0854533910751343
10,2024-10-10,0.5828438401222229,0.4241095781326294,-0.12806159257888794,0.5410922765731812,0.6129194498062134,0.5589473247528076,0.4447080194950104,0.20970851182937622,0.8930108547210693,1.829321026802063,1.2787131071090698,0.964756190776825
