day_index,date,assigned_class_id,assigned_class_label,assigned_cv_regime_label,nearest_centroid_distance,second_centroid_distance,confidence_margin,confidence_score,best_prototype_corr_class,best_prototype_rmse_class,feature_vs_corr_mismatch,feature_vs_rmse_mismatch
1,2024-10-01,2,class_02_single_gradient,single_gradient,28.931276321411133,63.04633331298828,34.11505889892578,0.5411109328269958,5,2,True,False
2,2024-10-02,2,class_02_single_gradient,single_gradient,28.627586364746094,46.368892669677734,17.74130630493164,0.3826122581958771,1,2,True,False
3,2024-10-03,3,class_03_homogeneous,homogeneous,75.9425048828125,77.46223449707031,1.5197296142578125,0.01961897499859333,3,2,False,True
5,2024-10-05,3,class_03_homogeneous,homogeneous,37.57094955444336,37.72645950317383,0.15550994873046875,0.004122039303183556,2,2,True,True
7,2024-10-07,2,class_02_single_gradient,single_gradient,21.23489761352539,62.05527114868164,40.82037353515625,0.6578066945075989,6,2,True,False
8,2024-10-08,2,class_02_single_gradient,single_gradient,26.636337280273438,69.001708984375,42.36537170410156,0.6139757037162781,6,2,True,False
9,2024-10-09,2,class_02_single_gradient,single_gradient,37.864253997802734,79.33636474609375,41.472110748291016,0.5227377414703369,5,2,True,False
10,2024-10-10,2,class_02_single_gradient,single_gradient,83.1124496459961,112.32844543457031,29.21599578857422,0.26009437441825867,5,2,True,False
11,2024-10-11,2,class_02_single_gradient,single_gradient,42.914268493652344,80.01700592041016,37.10273742675781,0.46368566155433655,4,2,True,False
12,2024-10-12,2,class_02_single_gradient,single_gradient,42.289817810058594,72.73883056640625,30.449012756347656,0.4186074137687683,3,2,True,False
28,2024-10-28,2,class_02_single_gradient,single_gradient,114.82418060302734,123.88609313964844,9.061912536621094,0.07314713299274445,3,2,True,False
30,2024-10-30,2,class_02_single_gradient,single_gradient,60.066593170166016,90.98344421386719,30.916851043701172,0.3398074507713318,4,2,True,False
31,2024-10-31,2,class_02_single_gradient,single_gradient,43.91061782836914,81.05522918701172,37.14461135864258,0.45826297998428345,2,1,False,True
