z,filepath,lon_min,lon_max,lat_min,lat_max,mean_norm,std_norm,min_norm,max_norm
1,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z001.png,-9.55555534362793,-8.916666984558105,39.38888931274414,39.86111068725586,-0.5326199531555176,0.17274373769760132,-0.888103187084198,-0.20525561273097992
2,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z002.png,-9.55555534362793,-8.916666984558105,39.38888931274414,39.86111068725586,-0.5187516808509827,0.1436234563589096,-0.8709323406219482,-0.20822429656982422
3,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z003.png,-9.55555534362793,-8.916666984558105,39.38888931274414,39.86111068725586,-0.5140222907066345,0.15264084935188293,-0.8981198668479919,-0.15255823731422424
4,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z004.png,-9.55555534362793,-8.916666984558105,39.38888931274414,39.86111068725586,-0.5799269080162048,0.15231011807918549,-0.9129576086997986,-0.33588775992393494
5,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z005.png,-9.55555534362793,-8.916666984558105,39.38888931274414,39.86111068725586,-0.7314024567604065,0.21308556199073792,-1.0959268808364868,-0.4474152624607086
6,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z006.png,-9.55555534362793,-8.916666984558105,39.38888931274414,39.86111068725586,-0.8444101214408875,0.2758086621761322,-1.3445724248886108,-0.43683019280433655
7,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z007.png,-9.55555534362793,-8.916666984558105,39.38888931274414,39.86111068725586,-0.8749468326568604,0.25324931740760803,-1.3289858102798462,-0.47245725989341736
8,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z008.png,-9.55555534362793,-8.916666984558105,39.38888931274414,39.86111068725586,-0.8577423691749573,0.2074066698551178,-1.2629271745681763,-0.5416374206542969
9,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z009.png,-9.55555534362793,-8.916666984558105,39.38888931274414,39.86111068725586,-0.8425067067146301,0.18686531484127045,-1.2822250127792358,-0.4086255431175232
10,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z010.png,-9.55555534362793,-8.916666984558105,39.38888931274414,39.86111068725586,-0.8470069169998169,0.2103303223848343,-1.3148834705352783,-0.2045138031244278
11,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z011.png,-9.55555534362793,-8.916666984558105,39.38888931274414,39.86111068725586,-0.7948745489120483,0.21185944974422455,-1.2323158979415894,-0.2676022946834564
12,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z012.png,-9.55555534362793,-8.916666984558105,39.38888931274414,39.86111068725586,-0.6664667725563049,0.14261280000209808,-0.9088861346244812,-0.24162450432777405
13,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z013.png,-9.55555534362793,-8.916666984558105,39.38888931274414,39.86111068725586,-0.5732887983322144,0.2126850038766861,-0.8682305216789246,-0.010793166235089302
14,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z014.png,-9.55555534362793,-8.916666984558105,39.38888931274414,39.86111068725586,-0.4867163598537445,0.26410889625549316,-0.8962079882621765,0.08495371788740158
15,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z015.png,-9.55555534362793,-8.916666984558105,39.38888931274414,39.86111068725586,-0.41530245542526245,0.23064902424812317,-0.863328754901886,0.0025666330475360155
16,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z016.png,-9.55555534362793,-8.916666984558105,39.38888931274414,39.86111068725586,-0.3737785816192627,0.19917826354503632,-0.8364279270172119,-0.0627487301826477
17,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z017.png,-9.55555534362793,-8.916666984558105,39.38888931274414,39.86111068725586,-0.3295588195323944,0.19970445334911346,-0.80364990234375,-0.053099434822797775
18,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z018.png,-9.55555534362793,-8.916666984558105,39.38888931274414,39.86111068725586,-0.41886788606643677,0.21561507880687714,-0.8215838074684143,-0.12690748274326324
19,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z019.png,-9.55555534362793,-8.916666984558105,39.38888931274414,39.86111068725586,-0.5768381357192993,0.23198503255844116,-0.974201500415802,-0.19412268698215485
20,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z020.png,-9.55555534362793,-8.916666984558105,39.38888931274414,39.86111068725586,-0.6715471148490906,0.24843864142894745,-1.1189359426498413,-0.2490469366312027
21,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z021.png,-9.55555534362793,-8.916666984558105,39.38888931274414,39.86111068725586,-0.6477442383766174,0.22264328598976135,-1.005374789237976,-0.2817053198814392
22,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z022.png,-9.55555534362793,-8.916666984558105,39.38888931274414,39.86111068725586,-0.5647841095924377,0.19770395755767822,-0.859657883644104,-0.2601812779903412
23,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z023.png,-9.55555534362793,-8.916666984558105,39.38888931274414,39.86111068725586,-0.5515332818031311,0.19002799689769745,-0.9022055268287659,-0.2688594162464142
24,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z024.png,-9.55555534362793,-8.916666984558105,39.38888931274414,39.86111068725586,-0.5333790183067322,0.18947628140449524,-0.9452550411224365,-0.2913871705532074
25,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z025.png,-9.55555534362793,-8.916666984558105,39.38888931274414,39.86111068725586,-0.5749117136001587,0.15350180864334106,-0.9133391380310059,-0.34182512760162354
26,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z026.png,-9.55555534362793,-8.916666984558105,39.38888931274414,39.86111068725586,-0.5750478506088257,0.12935706973075867,-0.9674281477928162,-0.3640924096107483
27,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z027.png,-9.55555534362793,-8.916666984558105,39.38888931274414,39.86111068725586,-0.5414164662361145,0.09823597222566605,-0.9475618600845337,-0.3945239186286926
28,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z028.png,-9.55555534362793,-8.916666984558105,39.38888931274414,39.86111068725586,-0.5312612652778625,0.07920318096876144,-0.9066861271858215,-0.3462788760662079
29,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z029.png,-9.55555534362793,-8.916666984558105,39.38888931274414,39.86111068725586,-0.5306590795516968,0.05073091760277748,-0.7064923048019409,-0.37448352575302124
30,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z030.png,-9.55555534362793,-8.916666984558105,39.38888931274414,39.86111068725586,-0.5851119160652161,0.06760681420564651,-0.740179181098938,-0.4175330102443695
31,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z031.png,-9.55555534362793,-8.916666984558105,39.38888931274414,39.86111068725586,-0.6556020975112915,0.07330280542373657,-0.7901294231414795,-0.4642930328845978
32,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z032.png,-9.55555534362793,-8.916666984558105,39.38888931274414,39.86111068725586,-0.6762547492980957,0.14833150804042816,-0.8606410622596741,-0.05681135505437851
33,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z033.png,-9.55555534362793,-8.916666984558105,39.38888931274414,39.86111068725586,-0.5538675785064697,0.23532743752002716,-0.8354058265686035,-0.015988722443580627
34,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z034.png,-9.55555534362793,-8.916666984558105,39.38888931274414,39.86111068725586,-0.49504852294921875,0.28489765524864197,-0.8703703284263611,-0.016863614320755005
35,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z035.png,-9.55555534362793,-8.916666984558105,39.38888931274414,39.86111068725586,-0.4911903738975525,0.2778976559638977,-0.9192772507667542,-0.0540153793990612
36,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z036.png,-9.55555534362793,-8.916666984558105,39.38888931274414,39.86111068725586,-0.4023061692714691,0.2125975638628006,-0.8242721557617188,-0.07610853016376495
37,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z037.png,-9.55555534362793,-8.916666984558105,39.38888931274414,39.86111068725586,-0.31984829902648926,0.1296631246805191,-0.6053155660629272,-0.07610853016376495
38,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z038.png,-9.55555534362793,-8.916666984558105,39.38888931274414,39.86111068725586,-0.35945722460746765,0.0867069885134697,-0.5664387941360474,-0.17853601276874542
39,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z039.png,-9.55555534362793,-8.916666984558105,39.38888931274414,39.86111068725586,-0.3747080862522125,0.07605507969856262,-0.540080189704895,-0.1280640959739685
40,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z040.png,-9.55555534362793,-8.916666984558105,39.38888931274414,39.86111068725586,-0.4158952534198761,0.09443149715662003,-0.6219449043273926,-0.15849560499191284
