class_no_scaler,class_with_scaler,overlap_count,n_no_scaler,n_with_scaler,overlap_pct_of_no,overlap_pct_of_with,jaccard
1,1,52,52,66,1.0,0.7878787878787878,0.7878787878787878
2,2,106,120,117,0.8833333333333333,0.905982905982906,0.8091603053435115
3,5,63,69,63,0.9130434782608695,1.0,0.9130434782608695
4,3,15,22,20,0.6818181818181818,0.75,0.5555555555555556
5,4,33,37,34,0.8918918918918919,0.9705882352941176,0.868421052631579
