image_idx_0_based,image_z_1_based,old_class_no_scaler,new_class_with_scaler_raw,new_class_with_scaler_mapped_to_no,changed
0,1,2,2,2,False
1,2,2,2,2,False
2,3,2,2,2,False
3,4,2,2,2,False
4,5,2,2,2,False
5,6,2,1,1,True
6,7,2,1,1,True
7,8,2,1,1,True
8,9,2,1,1,True
9,10,2,1,1,True
10,11,2,1,1,True
11,12,2,2,2,False
12,13,2,2,2,False
13,14,2,2,2,False
14,15,2,2,2,False
15,16,2,2,2,False
16,17,2,2,2,False
17,18,2,2,2,False
18,19,2,2,2,False
19,20,2,2,2,False
20,21,2,2,2,False
21,22,2,2,2,False
22,23,2,2,2,False
23,24,2,2,2,False
24,25,2,2,2,False
25,26,2,2,2,False
26,27,2,2,2,False
27,28,2,2,2,False
28,29,2,2,2,False
29,30,2,2,2,False
30,31,2,2,2,False
31,32,2,2,2,False
32,33,2,2,2,False
33,34,2,2,2,False
34,35,2,2,2,False
35,36,2,2,2,False
36,37,2,2,2,False
37,38,2,2,2,False
38,39,2,2,2,False
39,40,2,2,2,False
40,41,2,2,2,False
41,42,2,2,2,False
42,43,2,2,2,False
43,44,2,2,2,False
44,45,2,2,2,False
45,46,2,2,2,False
46,47,2,2,2,False
47,48,2,2,2,False
48,49,2,2,2,False
49,50,2,2,2,False
50,51,2,2,2,False
51,52,2,2,2,False
52,53,2,2,2,False
53,54,2,2,2,False
54,55,2,2,2,False
55,56,2,2,2,False
56,57,1,1,1,False
57,58,1,1,1,False
58,59,1,1,1,False
59,60,1,1,1,False
60,61,1,1,1,False
61,62,1,1,1,False
62,63,1,1,1,False
63,64,1,1,1,False
64,65,1,1,1,False
65,66,1,1,1,False
66,67,1,1,1,False
67,68,1,1,1,False
68,69,1,1,1,False
69,70,1,1,1,False
70,71,1,1,1,False
71,72,1,1,1,False
72,73,1,1,1,False
73,74,1,1,1,False
74,75,1,1,1,False
75,76,1,1,1,False
76,77,1,1,1,False
77,78,1,1,1,False
78,79,1,1,1,False
79,80,1,1,1,False
80,81,1,1,1,False
81,82,1,1,1,False
82,83,1,1,1,False
83,84,1,1,1,False
84,85,1,1,1,False
85,86,1,1,1,False
86,87,1,1,1,False
87,88,1,1,1,False
88,89,1,1,1,False
89,90,1,1,1,False
90,91,1,1,1,False
91,92,1,1,1,False
92,93,1,1,1,False
93,94,1,1,1,False
94,95,1,1,1,False
95,96,1,1,1,False
96,97,2,2,2,False
97,98,1,1,1,False
98,99,1,1,1,False
99,100,1,1,1,False
100,101,1,1,1,False
101,102,2,2,2,False
102,103,2,2,2,False
103,104,2,2,2,False
104,105,2,2,2,False
105,106,2,1,1,True
106,107,2,1,1,True
107,108,2,2,2,False
108,109,2,2,2,False
109,110,2,2,2,False
110,111,2,2,2,False
111,112,2,2,2,False
112,113,2,2,2,False
113,114,2,2,2,False
114,115,1,1,1,False
115,116,1,1,1,False
116,117,1,1,1,False
117,118,1,1,1,False
118,119,1,1,1,False
119,120,1,1,1,False
120,121,1,1,1,False
121,122,1,1,1,False
122,123,2,1,1,True
123,124,2,2,2,False
124,125,2,2,2,False
125,126,2,2,2,False
126,127,2,2,2,False
127,128,2,2,2,False
128,129,5,4,5,False
129,130,5,4,5,False
130,131,5,4,5,False
131,132,2,2,2,False
132,133,2,2,2,False
133,134,2,2,2,False
134,135,2,2,2,False
135,136,2,2,2,False
136,137,2,2,2,False
137,138,2,2,2,False
138,139,2,2,2,False
139,140,2,2,2,False
140,141,2,2,2,False
141,142,2,2,2,False
142,143,2,2,2,False
143,144,2,2,2,False
144,145,2,2,2,False
145,146,2,2,2,False
146,147,2,2,2,False
147,148,2,1,1,True
148,149,2,1,1,True
149,150,2,2,2,False
150,151,2,2,2,False
151,152,2,2,2,False
152,153,5,4,5,False
153,154,5,4,5,False
154,155,5,4,5,False
155,156,5,4,5,False
156,157,5,4,5,False
157,158,5,4,5,False
158,159,5,4,5,False
159,160,3,5,3,False
160,161,3,5,3,False
161,162,5,4,5,False
162,163,2,2,2,False
163,164,2,2,2,False
164,165,2,2,2,False
165,166,2,2,2,False
166,167,2,2,2,False
167,168,5,4,5,False
168,169,5,4,5,False
169,170,5,4,5,False
170,171,5,4,5,False
171,172,2,2,2,False
172,173,2,2,2,False
173,174,2,2,2,False
174,175,4,3,4,False
175,176,4,3,4,False
176,177,4,3,4,False
177,178,5,4,5,False
178,179,5,4,5,False
179,180,5,4,5,False
180,181,5,4,5,False
181,182,3,5,3,False
182,183,5,4,5,False
183,184,4,2,2,True
184,185,4,2,2,True
185,186,4,2,2,True
186,187,4,3,4,False
187,188,4,3,4,False
188,189,4,2,2,True
189,190,3,5,3,False
190,191,3,5,3,False
191,192,3,5,3,False
192,193,3,5,3,False
193,194,3,5,3,False
194,195,3,5,3,False
195,196,3,5,3,False
196,197,3,5,3,False
197,198,3,5,3,False
198,199,3,5,3,False
199,200,3,5,3,False
200,201,3,5,3,False
201,202,3,5,3,False
202,203,3,3,4,True
203,204,3,3,4,True
204,205,3,5,3,False
205,206,3,4,5,True
206,207,5,4,5,False
207,208,5,4,5,False
208,209,3,5,3,False
209,210,3,5,3,False
210,211,3,5,3,False
211,212,3,5,3,False
212,213,3,5,3,False
213,214,3,5,3,False
214,215,4,3,4,False
215,216,4,3,4,False
216,217,4,3,4,False
217,218,4,3,4,False
218,219,4,3,4,False
219,220,4,3,4,False
220,221,3,3,4,True
221,222,3,3,4,True
222,223,3,5,3,False
223,224,3,5,3,False
224,225,3,5,3,False
225,226,3,5,3,False
226,227,3,5,3,False
227,228,3,3,4,True
228,229,4,3,4,False
229,230,4,3,4,False
230,231,4,3,4,False
231,232,4,3,4,False
232,233,4,2,2,True
233,234,4,2,2,True
234,235,4,2,2,True
235,236,5,2,2,True
236,237,5,2,2,True
237,238,5,2,2,True
238,239,5,2,2,True
239,240,5,4,5,False
240,241,5,4,5,False
241,242,5,4,5,False
242,243,5,4,5,False
243,244,5,4,5,False
244,245,5,4,5,False
245,246,2,2,2,False
246,247,2,2,2,False
247,248,2,1,1,True
248,249,2,2,2,False
249,250,2,2,2,False
250,251,2,2,2,False
251,252,2,2,2,False
252,253,2,2,2,False
253,254,2,2,2,False
254,255,2,1,1,True
255,256,2,1,1,True
256,257,2,2,2,False
257,258,2,2,2,False
258,259,2,2,2,False
259,260,2,2,2,False
260,261,5,4,5,False
261,262,5,4,5,False
262,263,3,5,3,False
263,264,3,5,3,False
264,265,3,5,3,False
265,266,3,5,3,False
266,267,3,5,3,False
267,268,3,5,3,False
268,269,3,5,3,False
269,270,3,5,3,False
270,271,3,5,3,False
271,272,3,5,3,False
272,273,3,5,3,False
273,274,3,5,3,False
274,275,3,5,3,False
275,276,3,5,3,False
276,277,3,5,3,False
277,278,3,5,3,False
278,279,3,5,3,False
279,280,5,4,5,False
280,281,5,4,5,False
281,282,5,4,5,False
282,283,3,5,3,False
283,284,3,5,3,False
284,285,3,5,3,False
285,286,3,5,3,False
286,287,3,5,3,False
287,288,3,5,3,False
288,289,3,5,3,False
289,290,3,5,3,False
290,291,3,5,3,False
291,292,3,5,3,False
292,293,3,5,3,False
293,294,3,5,3,False
294,295,3,5,3,False
295,296,3,5,3,False
296,297,3,5,3,False
297,298,3,5,3,False
298,299,3,5,3,False
299,300,3,5,3,False
