,with_C01,with_C02,with_C03,with_C04,with_C05
no_C01,52,0,0,0,0
no_C02,14,106,0,0,0
no_C03,0,0,5,1,63
no_C04,0,7,15,0,0
no_C05,0,4,0,33,0
