image_idx_0_based,image_z_1_based,old_class_no_scaler,new_class_with_scaler_raw,new_class_with_scaler_mapped_to_no,changed
0,1,2,1,2,False
1,2,2,1,2,False
2,3,2,1,2,False
3,4,2,1,2,False
4,5,2,1,2,False
5,6,2,1,2,False
6,7,2,1,2,False
7,8,2,1,2,False
8,9,2,1,2,False
9,10,2,1,2,False
10,11,2,1,2,False
11,12,2,1,2,False
12,13,2,1,2,False
13,14,2,1,2,False
14,15,2,1,2,False
15,16,2,1,2,False
16,17,2,1,2,False
17,18,2,1,2,False
18,19,2,1,2,False
19,20,2,1,2,False
20,21,2,1,2,False
21,22,2,1,2,False
22,23,2,1,2,False
23,24,2,1,2,False
24,25,2,1,2,False
25,26,2,1,2,False
26,27,2,1,2,False
27,28,2,1,2,False
28,29,2,1,2,False
29,30,2,1,2,False
30,31,2,1,2,False
31,32,2,1,2,False
32,33,2,1,2,False
33,34,2,1,2,False
34,35,2,1,2,False
35,36,2,1,2,False
36,37,2,1,2,False
37,38,2,1,2,False
38,39,2,1,2,False
39,40,2,1,2,False
40,41,2,1,2,False
41,42,2,1,2,False
42,43,2,1,2,False
43,44,2,1,2,False
44,45,2,1,2,False
45,46,2,1,2,False
46,47,2,1,2,False
47,48,2,1,2,False
48,49,2,1,2,False
49,50,2,1,2,False
50,51,2,1,2,False
51,52,2,1,2,False
52,53,2,1,2,False
53,54,2,1,2,False
54,55,2,1,2,False
55,56,2,1,2,False
56,57,1,1,2,True
57,58,1,1,2,True
58,59,1,1,2,True
59,60,1,1,2,True
60,61,1,1,2,True
61,62,1,1,2,True
62,63,1,1,2,True
63,64,1,1,2,True
64,65,1,1,2,True
65,66,1,1,2,True
66,67,1,1,2,True
67,68,1,1,2,True
68,69,1,1,2,True
69,70,1,1,2,True
70,71,1,1,2,True
71,72,1,1,2,True
72,73,1,1,2,True
73,74,1,1,2,True
74,75,1,1,2,True
75,76,1,1,2,True
76,77,1,1,2,True
77,78,1,1,2,True
78,79,1,1,2,True
79,80,1,1,2,True
80,81,1,1,2,True
81,82,1,1,2,True
82,83,1,1,2,True
83,84,1,1,2,True
84,85,1,1,2,True
85,86,1,1,2,True
86,87,1,1,2,True
87,88,1,1,2,True
88,89,1,1,2,True
89,90,1,1,2,True
90,91,1,1,2,True
91,92,1,1,2,True
92,93,1,1,2,True
93,94,1,1,2,True
94,95,1,1,2,True
95,96,1,1,2,True
96,97,2,1,2,False
97,98,1,1,2,True
98,99,1,1,2,True
99,100,1,1,2,True
100,101,1,1,2,True
101,102,2,1,2,False
102,103,2,1,2,False
103,104,2,1,2,False
104,105,2,1,2,False
105,106,2,1,2,False
106,107,2,1,2,False
107,108,2,1,2,False
108,109,2,1,2,False
109,110,2,1,2,False
110,111,2,1,2,False
111,112,2,1,2,False
112,113,2,1,2,False
113,114,2,1,2,False
114,115,1,1,2,True
115,116,1,1,2,True
116,117,1,1,2,True
117,118,1,1,2,True
118,119,1,1,2,True
119,120,1,1,2,True
120,121,1,1,2,True
121,122,1,1,2,True
122,123,2,1,2,False
123,124,2,1,2,False
124,125,2,1,2,False
125,126,2,1,2,False
126,127,2,1,2,False
127,128,2,1,2,False
128,129,4,3,4,False
129,130,4,3,4,False
130,131,4,3,4,False
131,132,2,1,2,False
132,133,2,1,2,False
133,134,2,1,2,False
134,135,2,1,2,False
135,136,2,1,2,False
136,137,2,1,2,False
137,138,2,1,2,False
138,139,2,1,2,False
139,140,2,1,2,False
140,141,2,1,2,False
141,142,2,1,2,False
142,143,2,1,2,False
143,144,2,1,2,False
144,145,2,1,2,False
145,146,2,1,2,False
146,147,2,1,2,False
147,148,2,1,2,False
148,149,2,1,2,False
149,150,2,1,2,False
150,151,2,1,2,False
151,152,2,1,2,False
152,153,4,3,4,False
153,154,4,3,4,False
154,155,4,3,4,False
155,156,4,3,4,False
156,157,4,3,4,False
157,158,4,3,4,False
158,159,4,3,4,False
159,160,3,4,3,False
160,161,3,4,3,False
161,162,4,3,4,False
162,163,2,1,2,False
163,164,2,1,2,False
164,165,2,1,2,False
165,166,2,1,2,False
166,167,2,1,2,False
167,168,4,3,4,False
168,169,4,3,4,False
169,170,4,3,4,False
170,171,4,3,4,False
171,172,2,1,2,False
172,173,2,1,2,False
173,174,2,1,2,False
174,175,4,2,1,True
175,176,4,2,1,True
176,177,4,2,1,True
177,178,4,3,4,False
178,179,4,3,4,False
179,180,4,3,4,False
180,181,4,3,4,False
181,182,3,4,3,False
182,183,4,3,4,False
183,184,4,1,2,True
184,185,4,1,2,True
185,186,4,1,2,True
186,187,4,2,1,True
187,188,4,2,1,True
188,189,4,1,2,True
189,190,3,4,3,False
190,191,3,4,3,False
191,192,3,4,3,False
192,193,3,4,3,False
193,194,3,4,3,False
194,195,3,4,3,False
195,196,3,4,3,False
196,197,3,4,3,False
197,198,3,4,3,False
198,199,3,4,3,False
199,200,3,4,3,False
200,201,3,4,3,False
201,202,3,4,3,False
202,203,3,2,1,True
203,204,3,2,1,True
204,205,3,4,3,False
205,206,3,3,4,True
206,207,4,3,4,False
207,208,4,3,4,False
208,209,3,4,3,False
209,210,3,4,3,False
210,211,3,4,3,False
211,212,3,4,3,False
212,213,3,4,3,False
213,214,3,4,3,False
214,215,4,2,1,True
215,216,4,2,1,True
216,217,4,2,1,True
217,218,4,2,1,True
218,219,4,2,1,True
219,220,4,2,1,True
220,221,3,2,1,True
221,222,3,2,1,True
222,223,3,4,3,False
223,224,3,4,3,False
224,225,3,4,3,False
225,226,3,4,3,False
226,227,3,4,3,False
227,228,3,2,1,True
228,229,4,2,1,True
229,230,4,2,1,True
230,231,4,2,1,True
231,232,4,2,1,True
232,233,4,1,2,True
233,234,4,1,2,True
234,235,4,1,2,True
235,236,4,1,2,True
236,237,4,1,2,True
237,238,4,1,2,True
238,239,4,1,2,True
239,240,4,3,4,False
240,241,4,3,4,False
241,242,4,3,4,False
242,243,4,3,4,False
243,244,4,3,4,False
244,245,4,3,4,False
245,246,2,1,2,False
246,247,2,1,2,False
247,248,2,1,2,False
248,249,2,1,2,False
249,250,2,1,2,False
250,251,2,1,2,False
251,252,2,1,2,False
252,253,2,1,2,False
253,254,2,1,2,False
254,255,2,1,2,False
255,256,2,1,2,False
256,257,2,1,2,False
257,258,2,1,2,False
258,259,2,1,2,False
259,260,2,1,2,False
260,261,4,3,4,False
261,262,4,3,4,False
262,263,3,4,3,False
263,264,3,4,3,False
264,265,3,4,3,False
265,266,3,4,3,False
266,267,3,4,3,False
267,268,3,4,3,False
268,269,3,4,3,False
269,270,3,4,3,False
270,271,3,4,3,False
271,272,3,4,3,False
272,273,3,4,3,False
273,274,3,4,3,False
274,275,3,4,3,False
275,276,3,4,3,False
276,277,3,4,3,False
277,278,3,4,3,False
278,279,3,4,3,False
279,280,4,3,4,False
280,281,4,3,4,False
281,282,4,3,4,False
282,283,3,4,3,False
283,284,3,4,3,False
284,285,3,4,3,False
285,286,3,4,3,False
286,287,3,4,3,False
287,288,3,4,3,False
288,289,3,4,3,False
289,290,3,4,3,False
290,291,3,4,3,False
291,292,3,4,3,False
292,293,3,4,3,False
293,294,3,4,3,False
294,295,3,4,3,False
295,296,3,4,3,False
296,297,3,4,3,False
297,298,3,4,3,False
298,299,3,4,3,False
299,300,3,4,3,False
