class_no_scaler,class_with_scaler,overlap_count,n_no_scaler,n_with_scaler,overlap_pct_of_no,overlap_pct_of_with,jaccard
1,2,0,52,20,0.0,0.0,0.0
2,1,120,120,183,1.0,0.6557377049180327,0.6557377049180327
3,4,63,69,63,0.9130434782608695,1.0,0.9130434782608695
4,3,33,59,34,0.559322033898305,0.9705882352941176,0.55
