stage,config_name,seed,patch_w,patch_h,dictionary_size,n_classes,class_sizes,mean_icv,panel_path,assignment_csv
dictionary,dict2_patch40x24,11,40,24,2,4,"[150, 107, 62, 51]",1478.119384765625,results\fossum_roi_x490_visual_class_panels_step02_step03_20260511_193246\dictionary_visual_panels\dict2_patch40x24_seed11_all_members_by_class.png,results\fossum_roi_x490_visual_class_panels_step02_step03_20260511_193246\diagnostics\dict2_patch40x24_seed11_assignments.csv
dictionary,dict4_patch40x24,11,40,24,4,4,"[101, 113, 108, 48]",1706.8216552734375,results\fossum_roi_x490_visual_class_panels_step02_step03_20260511_193246\dictionary_visual_panels\dict4_patch40x24_seed11_all_members_by_class.png,results\fossum_roi_x490_visual_class_panels_step02_step03_20260511_193246\diagnostics\dict4_patch40x24_seed11_assignments.csv
dictionary,dict3_patch40x24,11,40,24,3,4,"[163, 111, 48, 48]",1832.4077453613281,results\fossum_roi_x490_visual_class_panels_step02_step03_20260511_193246\dictionary_visual_panels\dict3_patch40x24_seed11_all_members_by_class.png,results\fossum_roi_x490_visual_class_panels_step02_step03_20260511_193246\diagnostics\dict3_patch40x24_seed11_assignments.csv
