stage,config_name,seed,patch_w,patch_h,dictionary_size,n_classes,class_sizes,mean_icv,panel_path,assignment_csv
patch,patch_40x24,11,40,24,4,4,"[101, 113, 108, 48]",1706.8216552734375,results\fossum_roi_x490_visual_class_panels_step02_step03_20260511_193246\patch_visual_panels\patch_40x24_seed11_all_members_by_class.png,results\fossum_roi_x490_visual_class_panels_step02_step03_20260511_193246\diagnostics\patch_40x24_seed11_assignments.csv
patch,patch_48x32,11,48,32,4,4,"[117, 107, 97, 49]",1723.5540161132812,results\fossum_roi_x490_visual_class_panels_step02_step03_20260511_193246\patch_visual_panels\patch_48x32_seed11_all_members_by_class.png,results\fossum_roi_x490_visual_class_panels_step02_step03_20260511_193246\diagnostics\patch_48x32_seed11_assignments.csv
patch,patch_32x20,11,32,20,4,4,"[151, 93, 56, 70]",1590.7300567626953,results\fossum_roi_x490_visual_class_panels_step02_step03_20260511_193246\patch_visual_panels\patch_32x20_seed11_all_members_by_class.png,results\fossum_roi_x490_visual_class_panels_step02_step03_20260511_193246\diagnostics\patch_32x20_seed11_assignments.csv
