descriptor,alpha,run_count,mean_iqr10_collected_total,mean_iqr10_collected_mean,mean_iqr10_collected_per_km,mean_percentage_path_in_top10_IQR10,mean_IQR10_retention_vs_baseline,mean_IQR10_gain_vs_baseline,mean_IQR10_gain_pct_vs_baseline,mean_collected_STD,mean_STD_retention,mean_collected_descriptor,mean_collected_information_score,mean_trajectory_length,mean_solver_runtime
boundary_distance_score_r1_cells,0.0,1,104.97151947021484,0.6728943586349487,2.863770821721862,0.22435897435897437,1.0,0.0,0.0,94.36653137207033,1.0,24.48605728149414,94.36653137207033,36.655,398.1073138999636
boundary_distance_score_r1_cells,0.25,1,98.92400360107422,0.6182750463485718,2.588007628743047,0.2375,0.9423889841772122,-6.047515869140625,-0.0576110158227878,96.8813934326172,1.026649936412638,49.443790435791016,99.54446411132812,38.224,358.02024990000064
boundary_distance_score_r1_cells,0.5,1,80.5030517578125,0.5366870164871216,2.0745535822139543,0.04666666666666667,0.7669037484082037,-24.468467712402344,-0.2330962515917963,87.734130859375,0.9297166016779302,69.78160858154297,87.24310302734375,38.805,309.57600930001354
boundary_distance_score_r1_cells,0.75,1,79.15690612792969,0.5074160695075989,2.035719219420062,0.05128205128205128,0.7540798354394601,-25.814613342285156,-0.24592016456053994,91.64227294921876,0.9711310950689678,66.06304931640625,76.16157531738281,38.884,159.5696489000111
boundary_distance_score_r1_cells,1.0,1,45.402801513671875,0.48820215463638306,1.1663276180043125,0.0,0.43252495289024273,-59.56871795654297,-0.5674750471097573,52.74040985107422,0.5588889311097834,80.01551055908203,80.01551055908203,38.928,91.48698780004634
boundary_distance_score_r3_cells,0.0,1,104.97151947021484,0.6728943586349487,2.863770821721862,0.22435897435897437,1.0,0.0,0.0,94.36653137207033,1.0,55.55754470825195,94.36653137207033,36.655,398.1073138999636
boundary_distance_score_r3_cells,0.25,1,76.39518737792969,0.5161836743354797,1.9994029516064196,0.0,0.7277706159107895,-28.576332092285156,-0.2722293840892105,87.32256317138672,0.9253552281909092,115.83938598632812,106.09300231933594,38.209,351.7276838999824
boundary_distance_score_r3_cells,0.5,1,84.00411987304688,0.5122202634811401,2.18050927639317,0.0,0.8002563009186757,-20.96739959716797,-0.1997436990813243,96.73814392089844,1.0251319245747974,125.86660766601562,123.29387664794922,38.525,316.76249400002416
boundary_distance_score_r3_cells,0.75,1,72.11344909667969,0.4622657001018524,1.803557650477183,0.0,0.6869810922108404,-32.858070373535156,-0.31301890778915964,88.14088439941406,0.9340269597479468,135.17022705078125,129.72119140625,39.984,179.4315534000052
boundary_distance_score_r3_cells,1.0,1,77.29034423828125,0.474173903465271,1.926815352585976,0.0,0.7362982324001893,-27.681175231933594,-0.2637017675998107,93.86407470703124,0.9946754780775192,142.10922241210938,142.10922241210938,40.113,89.56625090003945
boundary_distance_score_r5_cells,0.0,1,104.97151947021484,0.6728943586349487,2.863770821721862,0.22435897435897437,1.0,0.0,0.0,94.36653137207033,1.0,76.25198364257812,94.36653137207033,36.655,398.1073138999636
boundary_distance_score_r5_cells,0.25,1,75.12998962402344,0.5217360258102417,1.9510735612751822,0.0,0.7157178442609969,-29.841529846191406,-0.28428215573900306,87.50467681884766,0.9272850823967704,120.62911987304688,105.63512420654295,38.507,370.8505821999861
boundary_distance_score_r5_cells,0.5,1,87.99882507324219,0.5398700833320618,2.3006830263076727,0.04294478527607362,0.8383114345430756,-16.972694396972656,-0.16168856545692448,95.85861206054688,1.0158115453305532,135.7786865234375,125.24044799804688,38.249,311.4478547999752
boundary_distance_score_r5_cells,0.75,1,78.63656616210938,0.500869870185852,2.019792108548259,0.0,0.7491228721750771,-26.33495330810547,-0.2508771278249229,92.39990234375,0.9791596766382538,141.50027465820312,135.83058166503906,38.933,189.1571465000161
boundary_distance_score_r5_cells,1.0,1,77.52534484863281,0.47561562061309814,1.9750673812451036,0.0,0.7385369406854233,-27.44617462158203,-0.26146305931457675,93.690673828125,0.9928379528830988,149.73248291015625,149.73248291015625,39.252,92.5939870000002
boundary_score,0.0,1,104.97151947021484,0.6728943586349487,2.863770821721862,0.22435897435897437,1.0,0.0,0.0,94.36653137207033,1.0,116.15290832519533,94.36653137207033,36.655,398.1073138999636
boundary_score,0.25,1,87.42141723632812,0.5603936910629272,2.301048042649193,0.038461538461538464,0.8328108202828628,-17.55010223388672,-0.16718917971713723,94.88470458984376,1.0054910698765689,130.5449676513672,102.47322082519533,37.992,337.1757312999689
boundary_score,0.5,1,81.54972839355469,0.5128913521766663,2.1352568180130573,0.0,0.7768748018999003,-23.421791076660156,-0.22312519810009968,91.25471496582033,0.9670241518787984,138.6181640625,117.25146484375,38.192,239.1742605000036
boundary_score,0.75,1,73.36297607421875,0.5059515833854675,1.951298669420931,0.0,0.6988845778786229,-31.608543395996094,-0.30111542212137704,81.37788391113281,0.8623595964365206,126.08621215820312,119.6306610107422,37.597,203.8404533999856
boundary_score,1.0,1,75.79541015625,0.48586800694465637,2.015031507543533,0.0,0.7220569020891098,-29.176109313964844,-0.2779430979108902,79.61170196533203,0.8436434062775643,134.8861083984375,134.8861083984375,37.615,113.65234190004412
interest_map,0.0,1,104.97151947021484,0.6728943586349487,2.863770821721862,0.22435897435897437,1.0,0.0,0.0,94.36653137207033,1.0,54.29492950439453,94.36653137207033,36.655,398.1073138999636
