case_id,mission_duration_requested_h,descriptor,alpha,run_name,solver_status,solver_returncode,success_flag,total_collected_reward,collected_STD,collected_descriptor,route_length_km,reward_per_distance_km,solver_runtime,STD_retention,percentage_path_in_top10_STD,percentage_path_in_top10_descriptor,number_of_valid_cells_sampled,trajectory_overlap_ratio_with_baseline,path_difference_from_baseline,regions_visited,crossing_count,fraction_path_region_A,fraction_path_region_B,regime_balance,delta_total_collected_reward_vs_baseline,pct_total_collected_reward_vs_baseline,delta_collected_STD_vs_baseline,pct_collected_STD_vs_baseline,delta_collected_descriptor_vs_baseline,pct_collected_descriptor_vs_baseline,delta_route_length_km_vs_baseline,pct_route_length_km_vs_baseline,delta_reward_per_distance_km_vs_baseline,pct_reward_per_distance_km_vs_baseline,descriptor_coverage_score,operational_feasibility_score,overall_rank_score,rank_reward_efficiency,rank_std_preservation,rank_descriptor_coverage,rank_operational_feasibility,rank_overall,run_dir,physical_run_id,information_map_formula
C01_representative,12.0,boundary_distance_score_r5_cells,1.0,boundary_distance_score_r5_cells_alpha100,SUCCESS,0,True,149.73248291015625,93.690673828125,149.73248291015625,39.252,3.814645952057379,92.5939870000002,0.9928379528830988,0.2822085889570552,1.0,163,0.0562913907284768,0.9437086092715232,0,0,0.0,0.0,0.0,55.36595153808592,0.5867117370223973,-0.6758575439453267,-0.007162047116901493,73.48049926757812,0.9636536094852168,2.5970000000000013,0.07084981585049799,1.2401941345135157,0.48173134414949503,1.0,0.6576286513802884,0.9179157190577478,1.0,12.0,1.0,5.0,1.0,results\fossum_roi_x490_step12a_single_auv_weight_duration_sensitivity_20260605_152501\planner_runs\C01_representative__sing__b7a82cca1c,C01_representative__single_auv_12h__boundary_distance_score_r5_cells_alpha100,(1-1.00)*STD_norm + 1.00*boundary_distance_score_r5_cells
C01_representative,12.0,boundary_distance_score_r3_cells,1.0,boundary_distance_score_r3_cells_alpha100,SUCCESS,0,True,142.10922241210938,93.86407470703124,142.10922241210938,40.113,3.5427223696085903,89.56625090003945,0.9946754780775192,0.2453987730061349,1.0,163,0.074074074074074,0.925925925925926,0,0,0.0,0.0,0.0,47.74269104003905,0.5059282178317879,-0.5024566650390909,-0.005324521922481118,86.55167770385742,1.5578744193675989,3.4579999999999984,0.0943391078979674,0.9682705520647268,0.37610746702126985,1.0,0.55,0.8588066436186474,3.0,11.0,1.0,10.0,2.0,results\fossum_roi_x490_step12a_single_auv_weight_duration_sensitivity_20260605_152501\planner_runs\C01_representative__sing__4832e38632,C01_representative__single_auv_12h__boundary_distance_score_r3_cells_alpha100,(1-1.00)*STD_norm + 1.00*boundary_distance_score_r3_cells
C01_representative,12.0,boundary_distance_score_r5_cells,0.75,boundary_distance_score_r5_cells_alpha075,SUCCESS,0,True,135.83058166503906,92.39990234375,141.50027465820312,38.933,3.4888290567138176,189.1571465000161,0.9791596766382538,0.3312101910828025,0.961783439490446,157,0.0830449826989619,0.916955017301038,0,0,0.0,0.0,0.0,41.464050292968736,0.43939360375007763,-1.9666290283203267,-0.02084032336174635,65.248291015625,0.855693031167142,2.2779999999999987,0.06214704678761418,0.9143772391699541,0.35517356857830373,0.93225704073439,0.5583059528877342,0.832302394656274,4.0,13.0,5.0,9.0,3.0,results\fossum_roi_x490_step12a_single_auv_weight_duration_sensitivity_20260605_152501\planner_runs\C01_representative__sing__a68d8680bb,C01_representative__single_auv_12h__boundary_distance_score_r5_cells_alpha075,(1-0.75)*STD_norm + 0.75*boundary_distance_score_r5_cells
C01_representative,12.0,boundary_distance_score_r3_cells,0.75,boundary_distance_score_r3_cells_alpha075,SUCCESS,0,True,129.72119140625,88.14088439941406,135.17022705078125,39.984,3.244327516162715,179.4315534000052,0.9340269597479468,0.2179487179487179,1.0,156,0.0684931506849315,0.9315068493150684,0,0,0.0,0.0,0.0,35.35466003417967,0.3746525332671451,-6.225646972656264,-0.06597304025205353,79.6126823425293,1.4329769747852885,3.3290000000000006,0.09081980630200515,0.6698756986188514,0.2602012956909565,0.9679313189742185,0.43572069621215603,0.7717713766488632,6.0,16.0,4.0,20.0,4.0,results\fossum_roi_x490_step12a_single_auv_weight_duration_sensitivity_20260605_152501\planner_runs\C01_representative__sing__9fd6424366,C01_representative__single_auv_12h__boundary_distance_score_r3_cells_alpha075,(1-0.75)*STD_norm + 0.75*boundary_distance_score_r3_cells
C01_representative,12.0,boundary_distance_score_r3_cells,0.5,boundary_distance_score_r3_cells_alpha050,SUCCESS,0,True,123.29387664794922,96.73814392089844,125.86660766601562,38.525,3.2003601985191232,316.76249400002416,1.0251319245747974,0.3353658536585366,0.951219512195122,164,0.0702341137123745,0.9297658862876256,0,0,0.0,0.0,0.0,28.927345275878892,0.30654242404887766,2.371612548828111,0.025131924574797182,70.30906295776367,1.2655178216923737,1.8699999999999974,0.05101623243759379,0.6259083809752597,0.24312297348505152,0.8956661965055139,0.42529078080181326,0.7671631807126047,7.0,2.0,6.0,21.0,5.0,results\fossum_roi_x490_step12a_single_auv_weight_duration_sensitivity_20260605_152501\planner_runs\C01_representative__sing__65ecf17c6a,C01_representative__single_auv_12h__boundary_distance_score_r3_cells_alpha050,(1-0.50)*STD_norm + 0.50*boundary_distance_score_r3_cells
C01_representative,12.0,boundary_distance_score_r5_cells,0.5,boundary_distance_score_r5_cells_alpha050,SUCCESS,0,True,125.24044799804688,95.85861206054688,135.7786865234375,38.249,3.274345682188995,311.4478547999752,1.0158115453305532,0.2760736196319018,0.7607361963190185,163,0.074074074074074,0.925925925925926,0,0,0.0,0.0,0.0,30.87391662597655,0.3271701966478584,1.4920806884765483,0.01581154533055318,59.526702880859375,0.780657761768973,1.5940000000000012,0.043486563906697695,0.6998938646451314,0.27186131815543546,0.780482536643737,0.4689587739455805,0.7552265117028811,5.0,3.0,8.0,16.0,6.0,results\fossum_roi_x490_step12a_single_auv_weight_duration_sensitivity_20260605_152501\planner_runs\C01_representative__sing__a090b6388e,C01_representative__single_auv_12h__boundary_distance_score_r5_cells_alpha050,(1-0.50)*STD_norm + 0.50*boundary_distance_score_r5_cells
C01_representative,12.0,boundary_score,1.0,boundary_score_alpha100,SUCCESS,0,True,134.8861083984375,79.61170196533203,134.8861083984375,37.615,3.5859659284444367,113.65234190004412,0.8436434062775643,0.1987179487179487,0.1602564102564102,156,0.054054054054054,0.945945945945946,1,0,0.2243589758872985,0.0,0.0,40.51957702636717,0.42938504189166116,-14.754829406738295,-0.15635659372243582,18.733200073242173,0.16128050811086458,0.9600000000000009,0.0261901514118128,1.0115141109005732,0.392904657996513,0.42970357810076115,0.8399432898117395,0.7443075722637766,2.0,24.0,16.0,2.0,7.0,results\fossum_roi_x490_step12a_single_auv_weight_duration_sensitivity_20260605_152501\planner_runs\C01_representative__sing__2a67cd1ec8,C01_representative__single_auv_12h__boundary_score_alpha100,(1-1.00)*STD_norm + 1.00*boundary_score
C01_representative,12.0,boundary_score,0.5,boundary_score_alpha050,SUCCESS,0,True,117.25146484375,91.25471496582033,138.6181640625,38.192,3.070053017484028,239.1742605000036,0.9670241518787984,0.270440251572327,0.2641509433962264,159,0.0227272727272727,0.9772727272727272,0,0,0.0,0.0,0.0,22.884933471679673,0.2425111227353316,-3.11181640625,-0.03297584812120158,22.465255737304673,0.1934110480850666,1.536999999999999,0.04193152366662112,0.4956011999401646,0.1925074676336298,0.5584905660377358,0.5817857210641437,0.6821132895001111,9.0,15.0,13.0,8.0,8.0,results\fossum_roi_x490_step12a_single_auv_weight_duration_sensitivity_20260605_152501\planner_runs\C01_representative__sing__5aa3d15dc5,C01_representative__single_auv_12h__boundary_score_alpha050,(1-0.50)*STD_norm + 0.50*boundary_score
C01_representative,12.0,boundary_distance_score_r3_cells,0.25,boundary_distance_score_r3_cells_alpha025,SUCCESS,0,True,106.09300231933594,87.32256317138672,115.83938598632812,38.209,2.776649541190189,351.7276838999824,0.9253552281909092,0.3445945945945945,0.9864864864864864,148,0.0780141843971631,0.9219858156028368,0,0,0.0,0.0,0.0,11.72647094726561,0.12426514757684837,-7.043968200683608,-0.0746447718090909,60.28184127807617,1.0850342936253359,1.554000000000002,0.04239530759787202,0.2021977236463255,0.07854010794392363,0.8704854114044064,0.41541689637054413,0.6758928545078283,10.0,20.0,7.0,22.0,9.0,results\fossum_roi_x490_step12a_single_auv_weight_duration_sensitivity_20260605_152501\planner_runs\C01_representative__sing__6b733a719e,C01_representative__single_auv_12h__boundary_distance_score_r3_cells_alpha025,(1-0.25)*STD_norm + 0.25*boundary_distance_score_r3_cells
C01_representative,12.0,boundary_score,0.75,boundary_score_alpha075,SUCCESS,0,True,119.6306610107422,81.37788391113281,126.08621215820312,37.597,3.1819203928702344,203.8404533999856,0.8623595964365206,0.2206896551724138,0.2482758620689655,145,0.0827338129496402,0.9172661870503596,0,0,0.0,0.0,0.0,25.264129638671875,0.26772341074040273,-12.988647460937514,-0.1376404035634795,9.933303833007798,0.0855192003044587,0.9420000000000002,0.025699086072841437,0.6074685753263709,0.23596035908954072,0.3258306987316225,0.7107484108074559,0.640462228795297,8.0,23.0,18.0,3.0,10.0,results\fossum_roi_x490_step12a_single_auv_weight_duration_sensitivity_20260605_152501\planner_runs\C01_representative__sing__e9441b37fe,C01_representative__single_auv_12h__boundary_score_alpha075,(1-0.75)*STD_norm + 0.75*boundary_score
C01_representative,12.0,boundary_distance_score_r5_cells,0.25,boundary_distance_score_r5_cells_alpha025,SUCCESS,0,True,105.63512420654295,87.50467681884766,120.62911987304688,38.507,2.743270683422312,370.8505821999861,0.9272850823967704,0.3680555555555556,0.7986111111111112,144,0.075268817204301,0.9247311827956988,0,0,0.0,0.0,0.0,11.268592834472628,0.11941302356491823,-6.8618545532226705,-0.07271491760322957,44.37713623046875,0.581980089048977,1.8519999999999968,0.0505251670986222,0.1688188658784484,0.06557468457091131,0.7207389840722417,0.3487469503388215,0.6209146548042654,11.0,18.0,9.0,25.0,11.0,results\fossum_roi_x490_step12a_single_auv_weight_duration_sensitivity_20260605_152501\planner_runs\C01_representative__sing__57e4bae93c,C01_representative__single_auv_12h__boundary_distance_score_r5_cells_alpha025,(1-0.25)*STD_norm + 0.25*boundary_distance_score_r5_cells
C01_representative,12.0,boundary_distance_score_r1_cells,0.25,boundary_distance_score_r1_cells_alpha025,SUCCESS,0,True,99.54446411132812,96.8813934326172,49.443790435791016,38.224,2.6042398522218537,358.02024990000064,1.026649936412638,0.36875,0.625,160,0.0784982935153583,0.9215017064846416,0,0,0.0,0.0,0.0,5.177932739257798,0.05487043620202736,2.514862060546875,0.02664993641263802,24.957733154296875,1.0192630388543287,1.5689999999999955,0.04280452871368157,0.029788034677990183,0.01157063203707942,0.5547801467955026,0.4042873391116455,0.5947517774680224,14.0,1.0,14.0,23.0,12.0,results\fossum_roi_x490_step12a_single_auv_weight_duration_sensitivity_20260605_152501\planner_runs\C01_representative__sing__c388adce9e,C01_representative__single_auv_12h__boundary_distance_score_r1_cells_alpha025,(1-0.25)*STD_norm + 0.25*boundary_distance_score_r1_cells
C01_representative,12.0,boundary_distance_score_r1_cells,1.0,boundary_distance_score_r1_cells_alpha100,SUCCESS,0,True,80.01551055908203,52.74040985107422,80.01551055908203,38.928,2.0554744800421814,91.48698780004634,0.5588889311097834,0.2150537634408602,1.0,93,0.0289256198347107,0.9710743801652892,0,0,0.0,0.0,0.0,-14.351020812988295,-0.15207744318168048,-41.62612152099611,-0.4411110688902167,55.52945327758789,2.2677988799591455,2.272999999999996,0.062010639749011,-0.5189773375016822,-0.20158751232594774,1.0,0.7014062841526235,0.5773794868139293,23.0,25.0,1.0,4.0,13.0,results\fossum_roi_x490_step12a_single_auv_weight_duration_sensitivity_20260605_152501\planner_runs\C01_representative__sing__b18f7e1de0,C01_representative__single_auv_12h__boundary_distance_score_r1_cells_alpha100,(1-1.00)*STD_norm + 1.00*boundary_distance_score_r1_cells
C01_representative,12.0,boundary_score,0.25,boundary_score_alpha025,SUCCESS,0,True,102.47322082519533,94.88470458984376,130.5449676513672,37.992,2.697231544146013,337.1757312999689,1.0054910698765689,0.391025641025641,0.1987179487179487,156,0.1024734982332155,0.8975265017667844,0,0,0.0,0.0,0.0,8.106689453125,0.08590640490071388,0.5181732177734375,0.005491069876568666,14.39205932617186,0.12390614693760549,1.3369999999999962,0.03647524212249342,0.12277972660214953,0.047691600116752886,0.3754853072509732,0.46487944886709653,0.5700109321062221,12.0,4.0,17.0,17.0,14.0,results\fossum_roi_x490_step12a_single_auv_weight_duration_sensitivity_20260605_152501\planner_runs\C01_representative__sing__3759f1d796,C01_representative__single_auv_12h__boundary_score_alpha025,(1-0.25)*STD_norm + 0.25*boundary_score
C01_representative,12.0,boundary_distance_score_r1_cells,0.75,boundary_distance_score_r1_cells_alpha075,SUCCESS,0,True,76.16157531738281,91.64227294921876,66.06304931640625,38.884,1.958686743066115,159.5696489000111,0.9711310950689678,0.2948717948717949,0.6666666666666666,156,0.0721649484536082,0.9278350515463918,0,0,0.0,0.0,0.0,-18.204956054687514,-0.1929175078281582,-2.7242584228515625,-0.028868904931032113,41.57699203491211,1.6979863910689619,2.228999999999999,0.060810257809302826,-0.6157650744777485,-0.2391829865610826,0.6994950577098002,0.6078351516298105,0.568158883037202,24.0,14.0,11.0,7.0,15.0,results\fossum_roi_x490_step12a_single_auv_weight_duration_sensitivity_20260605_152501\planner_runs\C01_representative__sing__48907c60e1,C01_representative__single_auv_12h__boundary_distance_score_r1_cells_alpha075,(1-0.75)*STD_norm + 0.75*boundary_distance_score_r1_cells
C01_representative,12.0,boundary_distance_score_r1_cells,0.5,boundary_distance_score_r1_cells_alpha050,SUCCESS,0,True,87.24310302734375,87.734130859375,69.78160858154297,38.805,2.2482438610319226,309.57600930001354,0.9297166016779302,0.3133333333333333,0.6266666666666667,150,0.0662020905923344,0.9337979094076656,0,0,0.0,0.0,0.0,-7.123428344726577,-0.0754868091594908,-6.632400512695327,-0.07028339832206998,45.29555130004883,1.8498507448270125,2.1499999999999986,0.058655026599372384,-0.3262079565119409,-0.12670967632369878,0.7022812696794942,0.3993348554606031,0.557781187384425,21.0,17.0,10.0,24.0,16.0,results\fossum_roi_x490_step12a_single_auv_weight_duration_sensitivity_20260605_152501\planner_runs\C01_representative__sing__397c795c95,C01_representative__single_auv_12h__boundary_distance_score_r1_cells_alpha050,(1-0.50)*STD_norm + 0.50*boundary_distance_score_r1_cells
C01_representative,12.0,interest_map,0.5,interest_map_alpha050,SUCCESS,0,True,98.71725463867188,87.33991241455078,57.77928161621094,37.169,2.6559028932355426,289.4963438999839,0.9255390777285768,0.3133333333333333,0.12,150,0.0889679715302491,0.9110320284697508,0,0,0.0,0.0,0.0,4.350723266601548,0.04610451611755684,-7.0266189575195455,-0.0744609222714232,3.4843521118164062,0.06417453975208476,0.5139999999999958,0.0140226435684081,0.08145107569167909,0.03163822105219549,0.2454001126699601,0.6415182114416952,0.548002550034444,13.0,19.0,19.0,6.0,17.0,results\fossum_roi_x490_step12a_single_auv_weight_duration_sensitivity_20260605_152501\planner_runs\C01_representative__sing__b51222f2b4,C01_representative__single_auv_12h__interest_map_alpha050,(1-0.50)*STD_norm + 0.50*interest_map
C01_representative,12.0,boundary_distance_score_r1_cells,0.0,baseline_STD,SUCCESS,0,True,94.36653137207033,94.36653137207033,24.48605728149414,36.655,2.5744518175438635,398.1073138999636,1.0,0.3525641025641026,0.391025641025641,156,1.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23461538461538461,0.55,0.5333428788169031,15.0,5.0,20.0,10.0,18.0,results\fossum_roi_x490_step12a_single_auv_weight_duration_sensitivity_20260605_152501\planner_runs\C01_representative__sing__51c49ddc1b,C01_representative__single_auv_12h__baseline_STD,STD_norm
C01_representative,12.0,boundary_distance_score_r3_cells,0.0,baseline_STD,SUCCESS,0,True,94.36653137207033,94.36653137207033,55.55754470825195,36.655,2.5744518175438635,398.1073138999636,1.0,0.3525641025641026,0.391025641025641,156,1.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23461538461538461,0.55,0.5333428788169031,15.0,5.0,20.0,10.0,18.0,results\fossum_roi_x490_step12a_single_auv_weight_duration_sensitivity_20260605_152501\planner_runs\C01_representative__sing__51c49ddc1b,C01_representative__single_auv_12h__baseline_STD,STD_norm
