method,method_type,bbox_index,bbox_lonlat,shape_ny_nx,area_cells,area_km2,overlap_iou_with_operational_roi,overlap_fraction_of_operational_roi,overlap_fraction_of_method_roi,pearson_vs_deterministic_ref,ncc_vs_deterministic_ref,rmse_zscore_vs_deterministic_ref,mae_zscore_vs_deterministic_ref,n_valid_corr_pixels,resample_for_ref
CAND_B,registration-derived,x=28..155; y=34..100,lon=-9.480707..-9.141214; lat=39.478584..39.652701,67x128,8576,576.5288475802278,0.3726746334852778,0.44134811788736505,0.7054570895522388,-0.5167073010445428,-0.5167073010445422,1.7416700612024898,1.5640620180087386,8296,bilinear_resize(reference -> method_shape)
USER_DIRECT_KM_METHOD,display-axes-direct,x=0..133; y=0..71,lon=-9.555555..-9.200023; lat=39.388889..39.576194,72x134,9648,648.5949535277562,0.10860072147332447,0.16690983367376713,0.23714759535655058,-0.5240821385452855,-0.5240821385452855,1.7458992746119608,1.5201764365684556,8909,bilinear_resize(reference -> method_shape)
