class_i,1,2,3,4,5
1,45.97713517681836,134.7690070040061,152.19056345597355,133.39100882928753,109.75112872732532
2,134.7690070040061,29.717522417689416,142.41057174109704,174.74253300123488,74.51845498410722
3,152.19056345597357,142.41057174109702,102.87292296854663,175.98191526006116,123.41729834819809
4,133.3910088292875,174.74253300123488,175.98191526006121,81.03473135106232,129.75457511967275
5,109.75112872732532,74.51845498410725,123.4172983481981,129.75457511967272,57.61397144436171
