new_class,best_original_class,n,purity,cut_name
1,1,157,1.0,k4
2,2,102,1.0,k4
3,3,26,1.0,k4
4,5,85,0.8470588235294118,k4
1,1,157,1.0,k5
2,2,102,1.0,k5
3,3,26,1.0,k5
4,4,13,1.0,k5
5,5,72,1.0,k5
1,1,157,1.0,k6
2,2,102,1.0,k6
3,3,13,1.0,k6
4,3,13,1.0,k6
5,4,13,1.0,k6
6,5,72,1.0,k6
1,1,38,1.0,k7
2,1,119,1.0,k7
3,2,102,1.0,k7
4,3,13,1.0,k7
5,3,13,1.0,k7
6,4,13,1.0,k7
7,5,72,1.0,k7
1,1,38,1.0,k8
2,1,119,1.0,k8
3,2,55,1.0,k8
4,2,47,1.0,k8
5,3,13,1.0,k8
6,3,13,1.0,k8
7,4,13,1.0,k8
8,5,72,1.0,k8
1,1,38,1.0,sd0.20
2,1,119,1.0,sd0.20
3,2,55,1.0,sd0.20
4,2,47,1.0,sd0.20
5,3,13,1.0,sd0.20
6,3,13,1.0,sd0.20
7,4,13,1.0,sd0.20
8,5,72,1.0,sd0.20
1,1,157,1.0,sd0.25
2,2,102,1.0,sd0.25
3,3,13,1.0,sd0.25
4,3,13,1.0,sd0.25
5,4,13,1.0,sd0.25
6,5,72,1.0,sd0.25
1,1,157,1.0,sd0.30
2,2,102,1.0,sd0.30
3,3,26,1.0,sd0.30
4,4,13,1.0,sd0.30
5,5,72,1.0,sd0.30
1,1,157,1.0,sd0.35
2,2,102,1.0,sd0.35
3,3,26,1.0,sd0.35
4,4,13,1.0,sd0.35
5,5,72,1.0,sd0.35
1,1,157,1.0,sd0.40
2,2,102,1.0,sd0.40
3,3,26,1.0,sd0.40
4,5,85,0.8470588235294118,sd0.40
