distance_rank_asc,image_idx_0_based,image_z_1_based,distance_to_prototype_rmse_norm,png_path
64,52,53,0.24189718067646027,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z053.png
65,133,134,0.24460254609584808,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z134.png
66,25,26,0.2467176765203476,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z026.png
67,26,27,0.25141003727912903,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z027.png
68,258,259,0.2614814341068268,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z259.png
69,113,114,0.2620355188846588,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z114.png
70,27,28,0.26250526309013367,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z028.png
71,257,258,0.26363614201545715,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z258.png
72,252,253,0.2698919177055359,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z253.png
73,20,21,0.2709231674671173,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z021.png
74,28,29,0.2736048102378845,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z029.png
75,124,125,0.2821594774723053,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z125.png
76,165,166,0.2848176658153534,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z166.png
77,29,30,0.2850196063518524,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z030.png
78,103,104,0.2916099727153778,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z104.png
79,146,147,0.2961287796497345,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z147.png
80,19,20,0.302554726600647,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z020.png
81,163,164,0.31087547540664673,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z164.png
82,132,133,0.3155099153518677,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z133.png
83,131,132,0.31993237137794495,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z132.png
84,11,12,0.3253996968269348,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z012.png
85,30,31,0.3254736065864563,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z031.png
86,31,32,0.33315417170524597,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z032.png
87,259,260,0.34140583872795105,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z260.png
