run_id,command,returncode,runtime_s,runtime_source,status,error,input_nc,solver_status,solver_runtime_s,solver_gap,run_dir,path,temperr_shape,finite_cells,temperr_min,temperr_max,landt_valid_cells,overlap_penalty_enabled,lambda_overlap,lambda_proximity,proximity_sigma_cells,proximity_radius_cells,penalty_mode
C01_representative__proxy_12h__vehicle_specific_7030_penalty_both__AUV2_region_B,C:\Users\E713181\AppData\Local\Programs\Python\Python312\python.exe OptimalPlanning.py C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step12b_overlap_penalty_focused_20260603_121954\planner_inputs\C01_representative__prox__cf7b9916d0.nc,0,259.6677702999732,,SUCCESS,,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step12b_overlap_penalty_focused_20260603_121954\planner_inputs\C01_representative__prox__cf7b9916d0.nc,SUCCESS,259.6677702999732,,results\fossum_roi_x490_step12b_overlap_penalty_focused_20260603_121954\planner_runs\C01_representative__prox__cf7b9916d0,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step12b_overlap_penalty_focused_20260603_121954\planner_inputs\C01_representative__prox__cf7b9916d0.nc,"[180, 240]",8004.0,0.0,1.0,8004.0,True,0.2,0.3,2.0,8.0,both
C06_representative__proxy_12h__vehicle_specific_8020__AUV1_region_A,REUSED_EXISTING,0,293.0745573043823,estimated_from_file_timestamps,REUSED,,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step12b_overlap_penalty_focused_20260603_121954\planner_inputs\C06_representative__prox__1ea7e508f6.nc,REUSED,293.0745573043823,,results\fossum_roi_x490_step12b_overlap_penalty_focused_20260603_121954\planner_runs\C06_representative__prox__1ea7e508f6,,,,,,,,,,,,
C06_representative__proxy_12h__vehicle_specific_8020__AUV2_region_B,REUSED_EXISTING,0,297.6867666244507,estimated_from_file_timestamps,REUSED,,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step12b_overlap_penalty_focused_20260603_121954\planner_inputs\C06_representative__prox__8618a62204.nc,REUSED,297.6867666244507,,results\fossum_roi_x490_step12b_overlap_penalty_focused_20260603_121954\planner_runs\C06_representative__prox__8618a62204,,,,,,,,,,,,
C06_representative__proxy_12h__vehicle_specific_9010_penalty_both__AUV1_region_A,C:\Users\E713181\AppData\Local\Programs\Python\Python312\python.exe OptimalPlanning.py C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step12b_overlap_penalty_focused_20260603_121954\planner_inputs\C06_representative__prox__6ed9c2369e.nc,0,332.38414170002216,,SUCCESS,,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step12b_overlap_penalty_focused_20260603_121954\planner_inputs\C06_representative__prox__6ed9c2369e.nc,SUCCESS,332.38414170002216,,results\fossum_roi_x490_step12b_overlap_penalty_focused_20260603_121954\planner_runs\C06_representative__prox__6ed9c2369e,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step12b_overlap_penalty_focused_20260603_121954\planner_inputs\C06_representative__prox__6ed9c2369e.nc,"[180, 240]",8004.0,0.0,1.0,8004.0,False,0.0,0.0,,,
C06_representative__proxy_12h__vehicle_specific_9010_penalty_both__AUV2_region_B,C:\Users\E713181\AppData\Local\Programs\Python\Python312\python.exe OptimalPlanning.py C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step12b_overlap_penalty_focused_20260603_121954\planner_inputs\C06_representative__prox__e468fc6ea8.nc,0,345.8428807000164,,SUCCESS,,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step12b_overlap_penalty_focused_20260603_121954\planner_inputs\C06_representative__prox__e468fc6ea8.nc,SUCCESS,345.8428807000164,,results\fossum_roi_x490_step12b_overlap_penalty_focused_20260603_121954\planner_runs\C06_representative__prox__e468fc6ea8,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step12b_overlap_penalty_focused_20260603_121954\planner_inputs\C06_representative__prox__e468fc6ea8.nc,"[180, 240]",8004.0,0.0,1.0,8004.0,True,0.2,0.3,2.0,8.0,both
C06_representative__proxy_12h__vehicle_specific_7030__AUV1_region_A,REUSED_EXISTING,0,274.6014144420624,estimated_from_file_timestamps,REUSED,,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step12b_overlap_penalty_focused_20260603_121954\planner_inputs\C06_representative__prox__071753d959.nc,REUSED,274.6014144420624,,results\fossum_roi_x490_step12b_overlap_penalty_focused_20260603_121954\planner_runs\C06_representative__prox__071753d959,,,,,,,,,,,,
C06_representative__proxy_12h__vehicle_specific_7030__AUV2_region_B,REUSED_EXISTING,0,314.1399426460266,estimated_from_file_timestamps,REUSED,,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step12b_overlap_penalty_focused_20260603_121954\planner_inputs\C06_representative__prox__094125d47e.nc,REUSED,314.1399426460266,,results\fossum_roi_x490_step12b_overlap_penalty_focused_20260603_121954\planner_runs\C06_representative__prox__094125d47e,,,,,,,,,,,,
C06_representative__proxy_12h__vehicle_specific_8020_penalty_both__AUV1_region_A,C:\Users\E713181\AppData\Local\Programs\Python\Python312\python.exe OptimalPlanning.py C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step12b_overlap_penalty_focused_20260603_121954\planner_inputs\C06_representative__prox__4a20e032fe.nc,0,297.128601400007,,SUCCESS,,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step12b_overlap_penalty_focused_20260603_121954\planner_inputs\C06_representative__prox__4a20e032fe.nc,SUCCESS,297.128601400007,,results\fossum_roi_x490_step12b_overlap_penalty_focused_20260603_121954\planner_runs\C06_representative__prox__4a20e032fe,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step12b_overlap_penalty_focused_20260603_121954\planner_inputs\C06_representative__prox__4a20e032fe.nc,"[180, 240]",8004.0,0.0,1.0,8004.0,False,0.0,0.0,,,
C06_representative__proxy_12h__vehicle_specific_8020_penalty_both__AUV2_region_B,C:\Users\E713181\AppData\Local\Programs\Python\Python312\python.exe OptimalPlanning.py C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step12b_overlap_penalty_focused_20260603_121954\planner_inputs\C06_representative__prox__295fe299f0.nc,0,331.16573500001687,,SUCCESS,,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step12b_overlap_penalty_focused_20260603_121954\planner_inputs\C06_representative__prox__295fe299f0.nc,SUCCESS,331.16573500001687,,results\fossum_roi_x490_step12b_overlap_penalty_focused_20260603_121954\planner_runs\C06_representative__prox__295fe299f0,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step12b_overlap_penalty_focused_20260603_121954\planner_inputs\C06_representative__prox__295fe299f0.nc,"[180, 240]",8004.0,0.0,1.0,8004.0,True,0.2,0.3,2.0,8.0,both
October_control__multi_auv_12h__baseline_shared_STD,REUSED_EXISTING,0,232.15893840789795,estimated_from_file_timestamps,REUSED,,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step12b_overlap_penalty_focused_20260603_121954\planner_inputs\October_control__multi_a__98d8152b36.nc,REUSED,232.15893840789795,,results\fossum_roi_x490_step12b_overlap_penalty_focused_20260603_121954\planner_runs\October_control__multi_a__98d8152b36,,,,,,,,,,,,
