case_id,mission_duration_requested_h,base_strategy,w_STD,w_region,w_boundary,strategy,penalty_mode,lambda_overlap,lambda_proximity,proximity_sigma_cells,proximity_radius_cells,trajectory_overlap_ratio_penalized,duplicate_sampled_cells_penalized,inter_vehicle_mean_distance_cells_penalized,inter_vehicle_min_distance_cells_penalized,fleet_total_reward_penalized,fleet_collected_STD_penalized,fleet_region_A_coverage_penalized,fleet_region_B_coverage_penalized,region_A_coverage_penalized,region_B_coverage_penalized,complementarity_score_penalized,reward_loss_due_to_penalty_penalized,solver_runtime_penalized,trajectory_overlap_ratio_no_penalty,duplicate_sampled_cells_no_penalty,inter_vehicle_mean_distance_cells_no_penalty,inter_vehicle_min_distance_cells_no_penalty,fleet_total_reward_no_penalty,fleet_collected_STD_no_penalty,fleet_region_A_coverage_no_penalty,fleet_region_B_coverage_no_penalty,region_A_coverage_no_penalty,region_B_coverage_no_penalty,complementarity_score_no_penalty,reward_loss_due_to_penalty_no_penalty,solver_runtime_no_penalty,overlap_reduction,duplicate_cell_reduction,fleet_reward_delta,fleet_STD_delta
C01_representative,12.0,vehicle_specific_8020,0.8,0.2,0.0,vehicle_specific_8020_penalty_both,both,0.2,0.3,2.0,8.0,0.013071895424836602,4,6.318124952221245,0.0,179.81256096810102,175.13058471679688,0.0,0.06341045415595545,0.0,0.06341045415595545,0.33759852092524906,3.0490907803177834,596.8969750999822,0.21285140562248997,53.0,1.7948654904431616,0.0,185.32976530492306,182.17102813720703,0.0,0.04198800342759212,0.0,0.04198800342759212,0.27148294845293025,0.0,530.4339420795441,0.19977951019765336,49.0,-5.517204336822033,-7.040443420410156
C01_representative,12.0,vehicle_specific_9010,0.9,0.1,0.0,vehicle_specific_9010_penalty_both,both,0.2,0.3,2.0,8.0,0.006369426751592357,2,7.109022168921157,0.0,184.52130302786827,188.9661102294922,0.0,0.030848329048843187,0.0,0.030848329048843187,0.30967039560020687,6.9400928020477295,621.9931791000126,0.07801418439716312,22.0,5.000264779823846,0.0,187.60208064317703,185.9956817626953,0.0,0.026563838903170524,0.0,0.026563838903170524,0.2876125886380633,0.0,587.0604588985443,0.07164475764557077,20.0,-3.0807776153087616,2.970428466796875
C01_representative,12.0,vehicle_specific_7030,0.7,0.3,0.0,vehicle_specific_7030_penalty_both,both,0.2,0.3,2.0,8.0,0.016891891891891893,5,20.46353378509135,0.0,159.51771120727062,162.51514434814453,0.03117505995203837,0.026135389888603255,0.03117505995203837,0.026135389888603255,0.49647525941408155,7.39208696782589,561.2304639999638,0.020066889632107024,6.0,25.076676839839894,0.0,180.0200417637825,167.97958374023438,0.03117505995203837,0.037275064267352186,0.03117505995203837,0.037275064267352186,0.5190680378476136,0.0,522.5989933013916,0.003174997740215131,1.0,-20.50233055651188,-5.464439392089844
C06_representative,12.0,vehicle_specific_9010,0.9,0.1,0.0,vehicle_specific_9010_penalty_both,both,0.2,0.3,2.0,8.0,0.009900990099009901,3,5.063176189919202,0.0,149.82786537706852,161.10584259033203,0.07065563335455124,0.0,0.07065563335455124,0.0,0.3224085450450123,9.058841988444328,678.2270224000385,0.23076923076923078,60.0,3.9207935080711396,0.0,170.37464240938425,172.8098373413086,0.04328453214513049,0.0,0.04328453214513049,0.0,0.2576115994541598,0.0,637.7242057323456,0.22086824067022087,57.0,-20.54677703231573,-11.703994750976562
C06_representative,12.0,vehicle_specific_8020,0.8,0.2,0.0,vehicle_specific_8020_penalty_both,both,0.2,0.3,2.0,8.0,0.010169491525423728,3,8.436003113429766,0.0,148.21862898021936,154.0228271484375,0.06047103755569701,0.0,0.06047103755569701,0.0,0.33450086662784595,4.595999978482723,628.2943364000239,0.04391891891891892,13.0,5.768730405531398,0.0,157.42137563228607,159.17945098876953,0.06301718650541056,0.0,0.06301718650541056,0.0,0.3269546619118719,0.0,590.761323928833,0.03374942739349519,10.0,-9.202746652066708,-5.156623840332031
C06_representative,12.0,vehicle_specific_7030,0.7,0.3,0.0,vehicle_specific_7030_penalty_both,both,0.2,0.3,2.0,8.0,0.05714285714285714,16,3.469458245530542,0.0,129.28195701539516,156.53419494628906,0.07129217059197963,0.0,0.07129217059197963,0.0,0.32622598478257403,16.2870464771986,615.5847247999918,0.0035587188612099642,1.0,32.12726985157947,0.0,146.72035206854343,122.23211669921875,0.047740292807129214,0.03290826820238585,0.047740292807129214,0.03290826820238585,0.537252801797015,0.0,588.741357088089,-0.053584138281647174,-15.0,-17.43839505314827,34.30207824707031
October_control,12.0,vehicle_specific_9010,0.9,0.1,0.0,vehicle_specific_9010_penalty_both,both,0.2,0.3,2.0,8.0,0.031746031746031744,10,6.993136282201421,0.0,177.8521112818271,182.8437042236328,0.0,0.07721139430284858,0.0,0.07721139430284858,0.3498328194631048,-2.3421653527766466,512.5765918999969,0.1263537906137184,35.0,2.1266340118910225,0.0,173.14698642492294,179.21819305419922,0.0,0.07158920539730135,0.0,0.07158920539730135,0.33890696241797985,0.0,470.3191282749176,0.09460775886768666,25.0,4.705124856904149,3.6255111694335938
October_control,12.0,vehicle_specific_8020,0.8,0.2,0.0,vehicle_specific_8020_penalty_both,both,0.2,0.3,2.0,8.0,0.039735099337748346,12,4.057507383542797,0.0,158.00315411761403,179.49790954589844,0.0,0.06709145427286357,0.0,0.06709145427286357,0.336739020105527,7.442526634782553,539.2309696000011,0.0944055944055944,27.0,5.938867173539932,0.0,169.49586267769337,180.81063842773438,0.0,0.06709145427286357,0.0,0.06709145427286357,0.33597332833967936,0.0,488.25426983833313,0.054670495067846055,15.0,-11.492708560079336,-1.3127288818359375
October_control,12.0,vehicle_specific_7030,0.7,0.3,0.0,vehicle_specific_7030_penalty_both,both,0.2,0.3,2.0,8.0,0.003215434083601286,1,26.480354146293788,0.0,179.83214642107487,143.98980712890625,0.04235382308845577,0.03860569715142429,0.04235382308845577,0.03860569715142429,0.5936202003317633,1.6993302553892136,577.5741404999862,0.003246753246753247,1.0,26.266818665069124,0.0,181.03039598464966,144.5596923828125,0.04235382308845577,0.037481259370314844,0.04235382308845577,0.037481259370314844,0.5901806546366349,0.0,494.2058672904968,3.131916315196083e-05,0.0,-1.198249563574791,-0.56988525390625
C01_representative,24.0,vehicle_specific_9010,0.9,0.1,0.0,vehicle_specific_9010_penalty_both,both,0.2,0.3,2.0,8.0,0.008319467554076539,5,25.580192749207413,0.0,362.8787858132273,349.0483093261719,0.019784172661870502,0.07240788346186804,0.019784172661870502,0.07240788346186804,0.4304651862439343,-1.4378906581550837,752.7610882000008,0.05670103092783505,33.0,13.263328997760349,0.0,366.6867324858904,360.7386016845703,0.019784172661870502,0.04755784061696658,0.019784172661870502,0.04755784061696658,0.4069888685283718,0.0,608.5813012123108,0.04838156337375851,28.0,-3.8079466726630926,-11.690292358398438
