mission_duration_requested_h,strategy,mean_solver_runtime,max_solver_runtime,fleet_rows
12.0,baseline_shared_STD,288.5174970626831,326.3576309680939,3
12.0,role_swap_of_vehicle_specific_7030,671.9611383947922,826.1325161999848,2
12.0,role_swap_of_vehicle_specific_7030_penalty_both,630.4873154999805,630.4873154999805,1
12.0,vehicle_specific_7030,535.1820725599924,588.741357088089,3
12.0,vehicle_specific_7030_penalty_both,584.7964430999806,615.5847247999918,3
12.0,vehicle_specific_8020,536.4831786155701,590.761323928833,3
12.0,vehicle_specific_8020_penalty_both,588.140760366669,628.2943364000239,3
12.0,vehicle_specific_9010,565.0345976352692,637.7242057323456,3
12.0,vehicle_specific_9010_penalty_both,604.265597800016,678.2270224000385,3
24.0,baseline_shared_STD,307.0126286347707,334.4328978061676,3
24.0,role_swap_of_vehicle_specific_7030,707.8566626000247,836.5062230000331,2
24.0,role_swap_of_vehicle_specific_7030_penalty_both,566.8206470999867,566.8206470999867,1
24.0,vehicle_specific_7030,543.8987975120544,615.7441091537476,3
24.0,vehicle_specific_7030_penalty_both,587.1016045333332,643.8314797000203,3
24.0,vehicle_specific_8020,556.0145206451416,605.9985482692719,3
24.0,vehicle_specific_8020_penalty_both,645.1347286999808,697.061129299982,3
24.0,vehicle_specific_9010,584.3369963963827,658.0888097286224,3
24.0,vehicle_specific_9010_penalty_both,670.6873320333447,752.7610882000008,3
48.0,baseline_shared_STD,380.4799767335256,401.6205880641937,3
48.0,role_swap_of_vehicle_specific_7030_penalty_both,683.5467959333231,818.7548045000003,3
48.0,vehicle_specific_7030,593.6889651616415,655.685959815979,3
48.0,vehicle_specific_7030_penalty_both,603.5163944666662,689.2104031000054,3
48.0,vehicle_specific_8020,585.5551102161407,638.6969883441925,3
48.0,vehicle_specific_8020_penalty_both,659.2261074333315,709.5415051000018,3
48.0,vehicle_specific_9010,644.1546760400137,723.1295263767242,3
48.0,vehicle_specific_9010_penalty_both,712.37437746668,819.818244300026,3
