day_index,date,assigned_class_id,assigned_class_label,assigned_cv_regime_label,nearest_centroid_distance,second_centroid_distance,confidence_margin,confidence_score,best_prototype_corr_class,best_prototype_rmse_class,feature_vs_corr_mismatch,feature_vs_rmse_mismatch
1,2024-10-01,2,class_02_homogeneous,homogeneous,28.93111801147461,63.04623031616211,34.1151123046875,0.5411126613616943,5,2,True,False
2,2024-10-02,2,class_02_homogeneous,homogeneous,28.6275634765625,46.36882019042969,17.741256713867188,0.38261178135871887,1,2,True,False
3,2024-10-03,3,class_03_homogeneous,homogeneous,75.94270324707031,77.46244049072266,1.5197372436523438,0.01961902156472206,3,2,False,True
5,2024-10-05,3,class_03_homogeneous,homogeneous,37.57096481323242,37.72647476196289,0.15550994873046875,0.004122037440538406,2,2,True,True
7,2024-10-07,2,class_02_homogeneous,homogeneous,21.234968185424805,62.055274963378906,40.82030487060547,0.6578055620193481,6,2,True,False
8,2024-10-08,2,class_02_homogeneous,homogeneous,26.636249542236328,69.00165557861328,42.36540603637695,0.6139766573905945,6,2,True,False
9,2024-10-09,2,class_02_homogeneous,homogeneous,37.86408615112305,79.33626556396484,41.4721794128418,0.5227392315864563,5,2,True,False
10,2024-10-10,2,class_02_homogeneous,homogeneous,83.1122055053711,112.32830810546875,29.216102600097656,0.26009562611579895,5,2,True,False
11,2024-10-11,2,class_02_homogeneous,homogeneous,42.91404342651367,80.01685333251953,37.10280990600586,0.4636874496936798,4,2,True,False
12,2024-10-12,2,class_02_homogeneous,homogeneous,42.289794921875,72.73877716064453,30.44898223876953,0.41860729455947876,3,2,True,False
28,2024-10-28,2,class_02_homogeneous,homogeneous,114.8243408203125,123.88618469238281,9.061843872070312,0.0731465220451355,3,2,True,False
30,2024-10-30,2,class_02_homogeneous,homogeneous,60.06631851196289,90.98336029052734,30.917041778564453,0.3398098349571228,4,2,True,False
31,2024-10-31,2,class_02_homogeneous,homogeneous,43.91062927246094,81.05522918701172,37.14459991455078,0.4582628309726715,2,1,False,True
