day_index,date,assigned_class_id,temppred_norm_mean,temppred_norm_std,temppred_norm_p05,temppred_norm_p50,temppred_norm_p95,direct_gradient_mean,direct_gradient_p90,direct_gradient_p95
1,2024-10-01,2,0.9659032225608826,0.21773920953273773,0.6463127732276917,0.9493770599365234,1.3009403944015503,0.014206832274794579,0.022938095033168793,0.02658836543560028
2,2024-10-02,2,1.1220048666000366,0.19058145582675934,0.8177897334098816,1.1453927755355835,1.3764939308166504,0.012712784111499786,0.02053055539727211,0.02390454150736332
3,2024-10-03,3,1.1508986949920654,0.13286025822162628,0.920333743095398,1.1698997020721436,1.3229159116744995,0.011924983933568,0.019896460697054863,0.02309165522456169
4,2024-10-04,2,1.129852056503296,0.11132436990737915,0.9328656792640686,1.1452994346618652,1.2768948078155518,0.010968592949211597,0.018593424931168556,0.02168012037873268
5,2024-10-05,3,1.1798099279403687,0.09783847630023956,0.997741162776947,1.1914770603179932,1.3058720827102661,0.009860655292868614,0.01722567155957222,0.0202321819961071
6,2024-10-06,2,1.0535881519317627,0.10697705298662186,0.8765059113502502,1.0706307888031006,1.2111395597457886,0.010974281467497349,0.018634403124451637,0.021658141165971756
7,2024-10-07,2,0.8720487356185913,0.09600718319416046,0.7387568950653076,0.8640119433403015,1.0373352766036987,0.011140945367515087,0.019020795822143555,0.022048426792025566
8,2024-10-08,2,0.8544228672981262,0.1346123069524765,0.6880956292152405,0.8328874111175537,1.1380162239074707,0.012653380632400513,0.02212989702820778,0.026234976947307587
9,2024-10-09,2,0.8350566029548645,0.17994415760040283,0.6581391096115112,0.7879154682159424,1.2916259765625,0.012869657948613167,0.024788012728095055,0.030529288575053215
10,2024-10-10,2,0.7173742055892944,0.1995670050382614,0.46329477429389954,0.6588761210441589,1.1395479440689087,0.014026409015059471,0.025797609239816666,0.030084775760769844
11,2024-10-11,2,0.8901802897453308,0.14764103293418884,0.7111266255378723,0.8303473591804504,1.1901074647903442,0.01313147321343422,0.02451959252357483,0.029101470485329628
12,2024-10-12,2,0.9304784536361694,0.15455450117588043,0.6852859258651733,0.906332790851593,1.2095143795013428,0.013635857962071896,0.02352377586066723,0.02748228795826435
13,2024-10-13,3,1.177303433418274,0.1794668585062027,0.9317548274993896,1.1376996040344238,1.5343172550201416,0.016867056488990784,0.02901407517492771,0.035311195999383926
14,2024-10-14,3,1.5173264741897583,0.18842768669128418,1.2270245552062988,1.5251524448394775,1.7879904508590698,0.02215666137635708,0.039185404777526855,0.046033672988414764
15,2024-10-15,3,1.6478941440582275,0.1682073026895523,1.359561800956726,1.6792545318603516,1.8549164533615112,0.02165435627102852,0.038295116275548935,0.044440750032663345
16,2024-10-16,3,1.5168838500976562,0.17330776154994965,1.220229148864746,1.541743516921997,1.7655596733093262,0.022081954404711723,0.03830292075872421,0.0450325571000576
17,2024-10-17,3,1.5906225442886353,0.23045507073402405,1.1861939430236816,1.6479079723358154,1.9057666063308716,0.020929479971528053,0.03722956404089928,0.04329115152359009
18,2024-10-18,3,1.554350733757019,0.264060378074646,1.114655613899231,1.6450164318084717,1.8768739700317383,0.021635456010699272,0.03827640414237976,0.04503854364156723
19,2024-10-19,3,1.6322234869003296,0.26166650652885437,1.1827201843261719,1.7248573303222656,1.9607802629470825,0.02058403380215168,0.0368376187980175,0.04375431686639786
20,2024-10-20,3,1.7281497716903687,0.24413801729679108,1.2774091958999634,1.8092217445373535,2.038771390914917,0.018176531419157982,0.03426504507660866,0.040791455656290054
21,2024-10-21,3,1.8801583051681519,0.20940759778022766,1.4628849029541016,1.9456579685211182,2.1001675128936768,0.014867466874420643,0.029422175139188766,0.034667644649744034
22,2024-10-22,3,1.9270188808441162,0.19598107039928436,1.4852092266082764,2.008500337600708,2.1056861877441406,0.01410550158470869,0.027729975059628487,0.0335204191505909
23,2024-10-23,3,1.7485214471817017,0.23165737092494965,1.2462773323059082,1.8346920013427734,1.978291630744934,0.01803056336939335,0.03273273631930351,0.038434404879808426
24,2024-10-24,3,1.7514592409133911,0.25049516558647156,1.2921278476715088,1.830929160118103,2.029528856277466,0.018273070454597473,0.03334552049636841,0.03911903500556946
25,2024-10-25,3,1.6977180242538452,0.2495388388633728,1.2634273767471313,1.7828789949417114,1.9849590063095093,0.017011623829603195,0.03076062723994255,0.03569244220852852
26,2024-10-26,3,1.4710649251937866,0.2337009310722351,1.1193270683288574,1.4870758056640625,1.7948920726776123,0.01746441051363945,0.02978946454823017,0.03429550677537918
27,2024-10-27,3,1.1739017963409424,0.2276248037815094,0.8193857073783875,1.147580623626709,1.5218712091445923,0.019342616200447083,0.031257227063179016,0.0356706902384758
28,2024-10-28,2,0.9592109322547913,0.25894924998283386,0.5154376029968262,0.9705469608306885,1.3118361234664917,0.021923363208770752,0.03635421395301819,0.0425805002450943
29,2024-10-29,2,0.7785129547119141,0.2874676287174225,0.3048900365829468,0.8343335390090942,1.1497801542282104,0.024071304127573967,0.04030393809080124,0.04730799421668053
30,2024-10-30,2,0.6533257961273193,0.29946863651275635,0.16700616478919983,0.6857739686965942,1.0503448247909546,0.02418428659439087,0.04127609357237816,0.04757702350616455
31,2024-10-31,2,0.5781350135803223,0.2823958992958069,0.09768696129322052,0.6321628093719482,0.963321328163147,0.02278524823486805,0.038230977952480316,0.044700298458337784
