day_index,date,assigned_class_id,descriptor_map,std_mean,descriptor_mean,std_descriptor_product_mean,top20_std_top20_descriptor_overlap_fraction
1,2024-10-01,2,interest,0.02350148931145668,0.06663507223129272,0.015125679783523083,0.030859570214892555
1,2024-10-01,2,boundary,0.02350148931145668,0.0,0.0,0.20014992503748125
1,2024-10-01,2,gradient,0.02350148931145668,0.02087097056210041,0.007584829349070787,0.16204397801099452
2,2024-10-02,2,interest,0.015352022834122181,0.06663507223129272,0.021709224209189415,0.02623688155922039
2,2024-10-02,2,boundary,0.015352022834122181,0.0,0.0,0.20002498750624687
2,2024-10-02,2,gradient,0.015352022834122181,0.02087097056210041,0.00919079128652811,0.09832583708145927
3,2024-10-03,3,interest,0.014459570869803429,0.04573621228337288,0.023205865174531937,0.08195902048975512
3,2024-10-03,3,boundary,0.014459570869803429,0.0,0.0,0.20002498750624687
3,2024-10-03,3,gradient,0.014459570869803429,0.02261115051805973,0.011143413372337818,0.08083458270864567
4,2024-10-04,2,interest,0.013664285652339458,0.06663507223129272,0.02929326519370079,0.03798100949525238
4,2024-10-04,2,boundary,0.013664285652339458,0.0,0.0,0.20014992503748125
4,2024-10-04,2,gradient,0.013664285652339458,0.02087097056210041,0.010883582755923271,0.08270864567716142
5,2024-10-05,3,interest,0.012406752444803715,0.04573621228337288,0.021378858014941216,0.1024487756121939
5,2024-10-05,3,boundary,0.012406752444803715,0.0,0.0,0.20002498750624687
5,2024-10-05,3,gradient,0.012406752444803715,0.02261115051805973,0.010546627454459667,0.09507746126936532
6,2024-10-06,2,interest,0.015094434842467308,0.06663507223129272,0.02824339270591736,0.029860069965017492
6,2024-10-06,2,boundary,0.015094434842467308,0.0,0.0,0.20014992503748125
6,2024-10-06,2,gradient,0.015094434842467308,0.02087097056210041,0.010066847316920757,0.06871564217891055
7,2024-10-07,2,interest,0.016550209373235703,0.06663507223129272,0.03232439607381821,0.03660669665167416
7,2024-10-07,2,boundary,0.016550209373235703,0.0,0.0,0.20014992503748125
7,2024-10-07,2,gradient,0.016550209373235703,0.02087097056210041,0.010368658229708672,0.04410294852573713
8,2024-10-08,2,interest,0.0159975066781044,0.06663507223129272,0.006976688746362925,0.0653423288355822
8,2024-10-08,2,boundary,0.0159975066781044,0.0,0.0,0.20014992503748125
