day_index,date,assigned_class_id,assigned_class_label,assigned_cv_regime_label,nearest_centroid_distance,second_centroid_distance,confidence_margin,confidence_score,best_prototype_corr_class,best_prototype_rmse_class,feature_vs_corr_mismatch,feature_vs_rmse_mismatch,class_id,class_label,class_size,cv_regime_label,cv_regime_label_raw,qualitative_regime_label,prototype_mean,prototype_std,prototype_min,prototype_max,prototype_p05,prototype_p50,prototype_p95,gradient_mean,gradient_median,gradient_p90,gradient_p95,gradient_max,high_gradient_threshold,high_gradient_fraction,gradient_concentration_score,dominant_gradient_region,gradient_centroid_x_km,gradient_centroid_y_km,boundary_score,boundary_threshold,boundary_fraction,boundary_component_count,largest_boundary_component_fraction,boundary_length_proxy,boundary_orientation_proxy,boundary_region_label,boundary_distance_mean_cells,boundary_distance_p90_cells,boundary_distance_score_r1_mean,boundary_distance_score_r2_mean,boundary_distance_score_r3_mean,boundary_distance_score_r5_mean,boundary_distance_score_r8_mean,heterogeneity_score,local_variance_mean,local_variance_p90,entropy_score,texture_score,spatial_roughness,unimodal_or_bimodal_flag,substructure_flag,cold_fraction,warm_fraction,neutral_fraction,cold_warm_ratio,segmentation_thresholds,segmentation_method,cold_region_centroid_x_km,cold_region_centroid_y_km,warm_region_centroid_x_km,warm_region_centroid_y_km,segment_interface_score,mean_member_to_prototype_rmse,std_member_to_prototype_rmse,max_member_to_prototype_rmse,representative_member_ids,outlier_member_ids,intra_class_variability_score,compactness_score,interest_mean,interest_p90
1,2024-10-01,2,class_02_homogeneous,homogeneous,28.93111801147461,63.04623031616211,34.1151123046875,0.5411126613616943,5,2,True,False,2,class_02_homogeneous,70,homogeneous,single_gradient,warm_homogeneous,0.7948435544967651,0.1575272530317306,0.4003757536411285,1.010189652442932,0.4855498671531677,0.8390796184539795,0.9812673926353456,0.026729779317975,0.0186318028718233,0.0422177948057651,0.0458592325448989,1.0611002445220947,0.0422177948057651,0.1000749625187406,0.0766315087676048,mixed,485.49456787109375,4381.9921875,0.0,,0.0,0,0.0,0,none,mixed,,,0.0,0.0,0.0,0.0,0.0,0.1849368661642074,0.0003426773182582,0.000195604559849,0.9443007019967457,0.00331731303595,0.0026540665421634,unimodal_or_gradient,True,0.0,0.0,1.0,0.0,,homogeneous_single_region,,,,,0.0,0.294418088133846,0.1208606985829778,0.5766921043395996,247|328|23|225|336,30|267|264|265|279,1.868997792239426,0.7725479187653298,0.0666350722312927,0.095942273736
2,2024-10-02,2,class_02_homogeneous,homogeneous,28.6275634765625,46.36882019042969,17.741256713867188,0.38261178135871887,1,2,True,False,2,class_02_homogeneous,70,homogeneous,single_gradient,warm_homogeneous,0.7948435544967651,0.1575272530317306,0.4003757536411285,1.010189652442932,0.4855498671531677,0.8390796184539795,0.9812673926353456,0.026729779317975,0.0186318028718233,0.0422177948057651,0.0458592325448989,1.0611002445220947,0.0422177948057651,0.1000749625187406,0.0766315087676048,mixed,485.49456787109375,4381.9921875,0.0,,0.0,0,0.0,0,none,mixed,,,0.0,0.0,0.0,0.0,0.0,0.1849368661642074,0.0003426773182582,0.000195604559849,0.9443007019967457,0.00331731303595,0.0026540665421634,unimodal_or_gradient,True,0.0,0.0,1.0,0.0,,homogeneous_single_region,,,,,0.0,0.294418088133846,0.1208606985829778,0.5766921043395996,247|328|23|225|336,30|267|264|265|279,1.868997792239426,0.7725479187653298,0.0666350722312927,0.095942273736
3,2024-10-03,3,class_03_homogeneous,homogeneous,75.94270324707031,77.46244049072266,1.5197372436523438,0.01961902156472206,3,2,False,True,3,class_03_homogeneous,50,homogeneous,homogeneous,warm_homogeneous,1.5788333415985107,0.1016542091965675,1.167732834815979,1.7442970275878906,1.357480764389038,1.5877983570098877,1.712264060974121,0.0250393897294998,0.0146497022360563,0.0527483560144901,0.0606142021715641,1.1024338006973269,0.0527483560144901,0.1000749625187406,0.0867281928658485,mixed,485.9434814453125,4382.68505859375,0.0,,0.0,0,0.0,0,none,mixed,,,0.0,0.0,0.0,0.0,0.0,0.0996498093008995,0.000310508912662,0.0003010153886862,0.8221944894260884,0.0031560256611555,0.002666258951649,unimodal_or_gradient,True,0.0,0.0,1.0,0.0,,homogeneous_single_region,,,,,0.0,0.2830257093906402,0.1129663423975769,0.5949503183364868,8|261|262|9|351,2|364|1|277|0,2.7842005916681405,0.7794076086557452,0.0457362122833728,0.1123425960540771
4,2024-10-04,2,class_02_homogeneous,homogeneous,61.57938003540039,64.1323013305664,2.5529212951660156,0.03980710729956627,2,2,False,False,2,class_02_homogeneous,70,homogeneous,single_gradient,warm_homogeneous,0.7948435544967651,0.1575272530317306,0.4003757536411285,1.010189652442932,0.4855498671531677,0.8390796184539795,0.9812673926353456,0.026729779317975,0.0186318028718233,0.0422177948057651,0.0458592325448989,1.0611002445220947,0.0422177948057651,0.1000749625187406,0.0766315087676048,mixed,485.49456787109375,4381.9921875,0.0,,0.0,0,0.0,0,none,mixed,,,0.0,0.0,0.0,0.0,0.0,0.1849368661642074,0.0003426773182582,0.000195604559849,0.9443007019967457,0.00331731303595,0.0026540665421634,unimodal_or_gradient,True,0.0,0.0,1.0,0.0,,homogeneous_single_region,,,,,0.0,0.294418088133846,0.1208606985829778,0.5766921043395996,247|328|23|225|336,30|267|264|265|279,1.868997792239426,0.7725479187653298,0.0666350722312927,0.095942273736
5,2024-10-05,3,class_03_homogeneous,homogeneous,37.57096481323242,37.72647476196289,0.15550994873046875,0.004122037440538406,2,2,True,True,3,class_03_homogeneous,50,homogeneous,homogeneous,warm_homogeneous,1.5788333415985107,0.1016542091965675,1.167732834815979,1.7442970275878906,1.357480764389038,1.5877983570098877,1.712264060974121,0.0250393897294998,0.0146497022360563,0.0527483560144901,0.0606142021715641,1.1024338006973269,0.0527483560144901,0.1000749625187406,0.0867281928658485,mixed,485.9434814453125,4382.68505859375,0.0,,0.0,0,0.0,0,none,mixed,,,0.0,0.0,0.0,0.0,0.0,0.0996498093008995,0.000310508912662,0.0003010153886862,0.8221944894260884,0.0031560256611555,0.002666258951649,unimodal_or_gradient,True,0.0,0.0,1.0,0.0,,homogeneous_single_region,,,,,0.0,0.2830257093906402,0.1129663423975769,0.5949503183364868,8|261|262|9|351,2|364|1|277|0,2.7842005916681405,0.7794076086557452,0.0457362122833728,0.1123425960540771
6,2024-10-06,2,class_02_homogeneous,homogeneous,51.62895965576172,63.397010803222656,11.768051147460938,0.18562470376491547,2,2,False,False,2,class_02_homogeneous,70,homogeneous,single_gradient,warm_homogeneous,0.7948435544967651,0.1575272530317306,0.4003757536411285,1.010189652442932,0.4855498671531677,0.8390796184539795,0.9812673926353456,0.026729779317975,0.0186318028718233,0.0422177948057651,0.0458592325448989,1.0611002445220947,0.0422177948057651,0.1000749625187406,0.0766315087676048,mixed,485.49456787109375,4381.9921875,0.0,,0.0,0,0.0,0,none,mixed,,,0.0,0.0,0.0,0.0,0.0,0.1849368661642074,0.0003426773182582,0.000195604559849,0.9443007019967457,0.00331731303595,0.0026540665421634,unimodal_or_gradient,True,0.0,0.0,1.0,0.0,,homogeneous_single_region,,,,,0.0,0.294418088133846,0.1208606985829778,0.5766921043395996,247|328|23|225|336,30|267|264|265|279,1.868997792239426,0.7725479187653298,0.0666350722312927,0.095942273736
7,2024-10-07,2,class_02_homogeneous,homogeneous,21.234968185424805,62.055274963378906,40.82030487060547,0.6578055620193481,6,2,True,False,2,class_02_homogeneous,70,homogeneous,single_gradient,warm_homogeneous,0.7948435544967651,0.1575272530317306,0.4003757536411285,1.010189652442932,0.4855498671531677,0.8390796184539795,0.9812673926353456,0.026729779317975,0.0186318028718233,0.0422177948057651,0.0458592325448989,1.0611002445220947,0.0422177948057651,0.1000749625187406,0.0766315087676048,mixed,485.49456787109375,4381.9921875,0.0,,0.0,0,0.0,0,none,mixed,,,0.0,0.0,0.0,0.0,0.0,0.1849368661642074,0.0003426773182582,0.000195604559849,0.9443007019967457,0.00331731303595,0.0026540665421634,unimodal_or_gradient,True,0.0,0.0,1.0,0.0,,homogeneous_single_region,,,,,0.0,0.294418088133846,0.1208606985829778,0.5766921043395996,247|328|23|225|336,30|267|264|265|279,1.868997792239426,0.7725479187653298,0.0666350722312927,0.095942273736
8,2024-10-08,2,class_02_homogeneous,homogeneous,26.636249542236328,69.00165557861328,42.36540603637695,0.6139766573905945,6,2,True,False,2,class_02_homogeneous,70,homogeneous,single_gradient,warm_homogeneous,0.7948435544967651,0.1575272530317306,0.4003757536411285,1.010189652442932,0.4855498671531677,0.8390796184539795,0.9812673926353456,0.026729779317975,0.0186318028718233,0.0422177948057651,0.0458592325448989,1.0611002445220947,0.0422177948057651,0.1000749625187406,0.0766315087676048,mixed,485.49456787109375,4381.9921875,0.0,,0.0,0,0.0,0,none,mixed,,,0.0,0.0,0.0,0.0,0.0,0.1849368661642074,0.0003426773182582,0.000195604559849,0.9443007019967457,0.00331731303595,0.0026540665421634,unimodal_or_gradient,True,0.0,0.0,1.0,0.0,,homogeneous_single_region,,,,,0.0,0.294418088133846,0.1208606985829778,0.5766921043395996,247|328|23|225|336,30|267|264|265|279,1.868997792239426,0.7725479187653298,0.0666350722312927,0.095942273736
9,2024-10-09,2,class_02_homogeneous,homogeneous,37.86408615112305,79.33626556396484,41.4721794128418,0.5227392315864563,5,2,True,False,2,class_02_homogeneous,70,homogeneous,single_gradient,warm_homogeneous,0.7948435544967651,0.1575272530317306,0.4003757536411285,1.010189652442932,0.4855498671531677,0.8390796184539795,0.9812673926353456,0.026729779317975,0.0186318028718233,0.0422177948057651,0.0458592325448989,1.0611002445220947,0.0422177948057651,0.1000749625187406,0.0766315087676048,mixed,485.49456787109375,4381.9921875,0.0,,0.0,0,0.0,0,none,mixed,,,0.0,0.0,0.0,0.0,0.0,0.1849368661642074,0.0003426773182582,0.000195604559849,0.9443007019967457,0.00331731303595,0.0026540665421634,unimodal_or_gradient,True,0.0,0.0,1.0,0.0,,homogeneous_single_region,,,,,0.0,0.294418088133846,0.1208606985829778,0.5766921043395996,247|328|23|225|336,30|267|264|265|279,1.868997792239426,0.7725479187653298,0.0666350722312927,0.095942273736
10,2024-10-10,2,class_02_homogeneous,homogeneous,83.1122055053711,112.32830810546875,29.216102600097656,0.26009562611579895,5,2,True,False,2,class_02_homogeneous,70,homogeneous,single_gradient,warm_homogeneous,0.7948435544967651,0.1575272530317306,0.4003757536411285,1.010189652442932,0.4855498671531677,0.8390796184539795,0.9812673926353456,0.026729779317975,0.0186318028718233,0.0422177948057651,0.0458592325448989,1.0611002445220947,0.0422177948057651,0.1000749625187406,0.0766315087676048,mixed,485.49456787109375,4381.9921875,0.0,,0.0,0,0.0,0,none,mixed,,,0.0,0.0,0.0,0.0,0.0,0.1849368661642074,0.0003426773182582,0.000195604559849,0.9443007019967457,0.00331731303595,0.0026540665421634,unimodal_or_gradient,True,0.0,0.0,1.0,0.0,,homogeneous_single_region,,,,,0.0,0.294418088133846,0.1208606985829778,0.5766921043395996,247|328|23|225|336,30|267|264|265|279,1.868997792239426,0.7725479187653298,0.0666350722312927,0.095942273736
